taxon_key,koeder,n_videos,n_present,occurrence_rate,mean_maxn,median_maxn,std_maxn,max_maxn
family_label::triggerfishes (balistidae),mackerel,4,0,0.0,0.0,0.0,0.0,0.0
family_label::trumpetfishes (aulostomidae),algae_strings,3,0,0.0,0.0,0.0,0.0,0.0
family_label::trumpetfishes (aulostomidae),algaemix,3,0,0.0,0.0,0.0,0.0,0.0
family_label::trumpetfishes (aulostomidae),control,1,0,0.0,0.0,0.0,0.0,0.0
family_label::trumpetfishes (aulostomidae),mackerel,4,1,0.25,0.25,0.0,0.5,1.0
family_label::wrasses (labridae),algae_strings,3,1,0.3333333333333333,0.3333333333333333,0.0,0.5773502691896258,1.0
family_label::wrasses (labridae),algaemix,3,1,0.3333333333333333,0.3333333333333333,0.0,0.5773502691896258,1.0
family_label::wrasses (labridae),control,1,0,0.0,0.0,0.0,0.0,0.0
family_label::wrasses (labridae),mackerel,4,0,0.0,0.0,0.0,0.0,0.0
family_label::wrasses interested,algae_strings,3,1,0.3333333333333333,0.3333333333333333,0.0,0.5773502691896258,1.0
family_label::wrasses interested,algaemix,3,0,0.0,0.0,0.0,0.0,0.0
family_label::wrasses interested,control,1,0,0.0,0.0,0.0,0.0,0.0
family_label::wrasses interested,mackerel,4,0,0.0,0.0,0.0,0.0,0.0
genus::canthigaster,algae_strings,3,0,0.0,0.0,0.0,0.0,0.0
genus::canthigaster,algaemix,3,0,0.0,0.0,0.0,0.0,0.0
genus::canthigaster,control,1,0,0.0,0.0,0.0,0.0,0.0
genus::canthigaster,mackerel,4,1,0.25,0.5,0.0,1.0,2.0
genus::chromis,algae_strings,3,0,0.0,0.0,0.0,0.0,0.0
genus::chromis,algaemix,3,0,0.0,0.0,0.0,0.0,0.0
genus::chromis,control,1,1,1.0,1.0,1.0,0.0,1.0
genus::chromis,mackerel,4,1,0.25,0.25,0.0,0.5,1.0
genus::dascyllus,algae_strings,3,0,0.0,0.0,0.0,0.0,0.0
genus::dascyllus,algaemix,3,0,0.0,0.0,0.0,0.0,0.0
genus::dascyllus,control,1,0,0.0,0.0,0.0,0.0,0.0
genus::dascyllus,mackerel,4,3,0.75,6.5,6.5,5.32290647422377,13.0
genus::genus acanthurus,algae_strings,3,0,0.0,0.0,0.0,0.0,0.0
genus::genus acanthurus,algaemix,3,1,0.3333333333333333,0.3333333333333333,0.0,0.5773502691896258,1.0
genus::genus acanthurus,control,1,0,0.0,0.0,0.0,0.0,0.0
genus::genus acanthurus,mackerel,4,0,0.0,0.0,0.0,0.0,0.0
genus::genus caesio,algae_strings,3,0,0.0,0.0,0.0,0.0,0.0
genus::genus caesio,algaemix,3,1,0.3333333333333333,1.6666666666666667,0.0,2.8867513459481287,5.0
genus::genus caesio,control,1,0,0.0,0.0,0.0,0.0,0.0
genus::genus caesio,mackerel,4,0,0.0,0.0,0.0,0.0,0.0
genus::genus chromis,algae_strings,3,1,0.3333333333333333,0.3333333333333333,0.0,0.5773502691896258,1.0
genus::genus chromis,algaemix,3,3,1.0,3.3333333333333335,4.0,2.081665999466133,5.0
genus::genus chromis,control,1,0,0.0,0.0,0.0,0.0,0.0
genus::genus chromis,mackerel,4,3,0.75,1.75,2.0,1.5,3.0
genus::genus siganus,algae_strings,3,2,0.6666666666666666,1.6666666666666667,2.0,1.5275252316519468,3.0
genus::genus siganus,algaemix,3,2,0.6666666666666666,2.6666666666666665,1.0,3.785938897200183,7.0
genus::genus siganus,control,1,0,0.0,0.0,0.0,0.0,0.0
genus::genus siganus,mackerel,4,0,0.0,0.0,0.0,0.0,0.0
genus::zebrasoma,algae_strings,3,3,1.0,1.6666666666666667,2.0,0.5773502691896257,2.0
genus::zebrasoma,algaemix,3,1,0.3333333333333333,0.6666666666666666,0.0,1.1547005383792517,2.0
genus::zebrasoma,control,1,0,0.0,0.0,0.0,0.0,0.0
genus::zebrasoma,mackerel,4,0,0.0,0.0,0.0,0.0,0.0
label::stomatapoda,algae_strings,3,0,0.0,0.0,0.0,0.0,0.0
label::stomatapoda,algaemix,3,0,0.0,0.0,0.0,0.0,0.0
label::stomatapoda,control,1,1,1.0,1.0,1.0,0.0,1.0
label::stomatapoda,mackerel,4,0,0.0,0.0,0.0,0.0,0.0
species::arabian monocle (scolopsis ghanam),algae_strings,3,3,1.0,8.666666666666666,8.0,1.1547005383792517,10.0
species::arabian monocle (scolopsis ghanam),algaemix,3,3,1.0,14.0,12.0,5.291502622129181,20.0
species::arabian monocle (scolopsis ghanam),control,1,1,1.0,1.0,1.0,0.0,1.0
species::arabian monocle (scolopsis ghanam),mackerel,4,2,0.5,2.0,1.0,2.8284271247461903,6.0
species::bicolor (labroides bicolor),algae_strings,3,0,0.0,0.0,0.0,0.0,0.0
species::bicolor (labroides bicolor),algaemix,3,1,0.3333333333333333,0.3333333333333333,0.0,0.5773502691896258,1.0
species::bicolor (labroides bicolor),control,1,0,0.0,0.0,0.0,0.0,0.0
species::bicolor (labroides bicolor),mackerel,4,0,0.0,0.0,0.0,0.0,0.0
species::bird wrasse (gomphosus caeruleus),algae_strings,3,0,0.0,0.0,0.0,0.0,0.0
species::bird wrasse (gomphosus caeruleus),algaemix,3,1,0.3333333333333333,0.3333333333333333,0.0,0.5773502691896258,1.0
species::bird wrasse (gomphosus caeruleus),control,1,0,0.0,0.0,0.0,0.0,0.0
species::bird wrasse (gomphosus caeruleus),mackerel,4,0,0.0,0.0,0.0,0.0,0.0
species::black saddled toby (canthigaster valentini),algae_strings,3,0,0.0,0.0,0.0,0.0,0.0
species::black saddled toby (canthigaster valentini),algaemix,3,1,0.3333333333333333,0.3333333333333333,0.0,0.5773502691896258,1.0
species::black saddled toby (canthigaster valentini),control,1,0,0.0,0.0,0.0,0.0,0.0
species::black saddled toby (canthigaster valentini),mackerel,4,3,0.75,0.75,1.0,0.5,1.0
species::black-backed (chaetodon melannotus),algae_strings,3,3,1.0,4.333333333333333,2.0,4.932882862316247,10.0
species::black-backed (chaetodon melannotus),algaemix,3,3,1.0,4.333333333333333,4.0,3.5118845842842465,8.0
species::black-backed (chaetodon melannotus),control,1,0,0.0,0.0,0.0,0.0,0.0
species::black-backed (chaetodon melannotus),mackerel,4,3,0.75,1.5,1.5,1.2909944487358056,3.0
species::black-lipped (chaetodon kleinii),algae_strings,3,0,0.0,0.0,0.0,0.0,0.0
species::black-lipped (chaetodon kleinii),algaemix,3,0,0.0,0.0,0.0,0.0,0.0
species::black-lipped (chaetodon kleinii),control,1,0,0.0,0.0,0.0,0.0,0.0
species::black-lipped (chaetodon kleinii),mackerel,4,3,0.75,1.75,1.0,2.217355782608345,5.0
species::blackspot (lutjanus fulviflamma),algae_strings,3,2,0.6666666666666666,1.0,1.0,1.0,2.0
species::blackspot (lutjanus fulviflamma),algaemix,3,3,1.0,4.333333333333333,6.0,2.8867513459481287,6.0
species::blackspot (lutjanus fulviflamma),control,1,0,0.0,0.0,0.0,0.0,0.0
species::blackspot (lutjanus fulviflamma),mackerel,4,2,0.5,6.75,4.0,8.99536917900909,19.0
species::blackspot feeding (lutjanus fulviflamma),algae_strings,3,0,0.0,0.0,0.0,0.0,0.0
species::blackspot feeding (lutjanus fulviflamma),algaemix,3,0,0.0,0.0,0.0,0.0,0.0
species::blackspot feeding (lutjanus fulviflamma),control,1,0,0.0,0.0,0.0,0.0,0.0
species::blackspot feeding (lutjanus fulviflamma),mackerel,4,1,0.25,1.5,0.0,3.0,6.0
species::blackwhite (macolor niger),algae_strings,3,3,1.0,1.0,1.0,0.0,1.0
species::blackwhite (macolor niger),algaemix,3,2,0.6666666666666666,0.6666666666666666,1.0,0.5773502691896258,1.0
species::blackwhite (macolor niger),control,1,1,1.0,1.0,1.0,0.0,1.0
species::blackwhite (macolor niger),mackerel,4,4,1.0,1.0,1.0,0.0,1.0
species::blackwhite feeding (macolor niger),algae_strings,3,0,0.0,0.0,0.0,0.0,0.0
species::blackwhite feeding (macolor niger),algaemix,3,0,0.0,0.0,0.0,0.0,0.0
species::blackwhite feeding (macolor niger),control,1,0,0.0,0.0,0.0,0.0,0.0
species::blackwhite feeding (macolor niger),mackerel,4,1,0.25,0.25,0.0,0.5,1.0
species::blue barred (scarus ghobban),algae_strings,3,3,1.0,4.0,4.0,1.0,5.0
species::blue barred (scarus ghobban),algaemix,3,3,1.0,2.0,2.0,1.0,3.0
species::blue barred (scarus ghobban),control,1,0,0.0,0.0,0.0,0.0,0.0
species::blue barred (scarus ghobban),mackerel,4,1,0.25,0.25,0.0,0.5,1.0
species::blue-streak (labroides dimidiatus),algae_strings,3,0,0.0,0.0,0.0,0.0,0.0
species::blue-streak (labroides dimidiatus),algaemix,3,0,0.0,0.0,0.0,0.0,0.0
