filename,date,standort,koeder,species_richness,rows_total,rows_used,is_short_video,bait_color_hex,bait_color_marker,rank
20241209-utumbi-fischmix.csv,20241209,utumbi,fischmix,63,373,373,False,#d62728,🔴,1
20240516-utumbi-mackerel.csv,20240516,utumbi,mackerel,62,529,529,False,#1f77b4,🔵,2
20241128-utumbi-sargassum.csv,20241128,utumbi,sargassum,61,235,235,False,#ff7f0e,🟠,3
20241124-milimani-mackerel.csv,20241124,milimani,mackerel,59,287,287,False,#1f77b4,🔵,4
20241110-milimani-ulva_salad.csv,20241110,milimani,ulva_salad,57,320,320,False,#2ca02c,🟢,5
20241129-utumbi-sargassum.csv,20241129,utumbi,sargassum,56,251,251,False,#ff7f0e,🟠,6
20241027-utumbi-ulva_salad.csv,20241027,utumbi,ulva_salad,55,381,381,False,#2ca02c,🟢,7
20241112-utumbi-ulva_gutweed.csv,20241112,utumbi,ulva_gutweed,55,213,213,False,#17becf,🩵,8
20241030-utumbi-ulva_gutweed.csv,20241030,utumbi,ulva_gutweed,54,227,227,False,#17becf,🩵,9
20241115-utumbi-control.csv,20241115,utumbi,control,54,235,235,False,#7f7f7f,⚪,10
20241127-utumbi-sargassum.csv,20241127,utumbi,sargassum,54,293,293,False,#ff7f0e,🟠,11
20240515-milimani-mackerel.csv,20240515,milimani,mackerel,53,375,375,False,#1f77b4,🔵,12
20241110-utumbi-ulva_salad.csv,20241110,utumbi,ulva_salad,53,316,316,False,#2ca02c,🟢,13
20241210-utumbi-fischmix.csv,20241210,utumbi,fischmix,52,249,249,False,#d62728,🔴,14
20241124-utumbi-mackerel.csv,20241124,utumbi,mackerel,51,343,343,False,#1f77b4,🔵,15
20241026-utumbi-mackerel.csv,20241026,utumbi,mackerel,50,395,395,False,#1f77b4,🔵,16
20241029-utumbi-ulva_gutweed.csv,20241029,utumbi,ulva_gutweed,50,367,367,False,#17becf,🩵,17
20241111-utumbi-control.csv,20241111,utumbi,control,50,219,219,False,#7f7f7f,⚪,18
20241029-milimani-ulva_gutweed.csv,20241029,milimani,ulva_gutweed,49,149,149,False,#17becf,🩵,19
20241025-utumbi-ulva_salad.csv,20241025,utumbi,ulva_salad,48,527,527,False,#2ca02c,🟢,20
20241210-milimani-fischmix.csv,20241210,milimani,fischmix,47,409,409,False,#d62728,🔴,21
20241030-milimani-ulva_gutweed.csv,20241030,milimani,ulva_gutweed,46,181,181,False,#17becf,🩵,22
20241111-milimani-control.csv,20241111,milimani,control,46,334,334,False,#7f7f7f,⚪,23
20241128-milimani-sargassum.csv,20241128,milimani,sargassum,46,391,391,False,#ff7f0e,🟠,24
20241129-milimani-sargassum.csv,20241129,milimani,sargassum,46,320,320,False,#ff7f0e,🟠,25
20241115-milimani-control.csv,20241115,milimani,control,45,148,148,False,#7f7f7f,⚪,26
20241105-utumbi-control.csv,20241105,utumbi,control,44,398,398,False,#7f7f7f,⚪,27
20241127-milimani-sargassum.csv,20241127,milimani,sargassum,44,214,214,False,#ff7f0e,🟠,28
20241112-milimani-ulva_salad.csv,20241112,milimani,ulva_salad,43,268,268,False,#2ca02c,🟢,29
20241114-utumbi-control.csv,20241114,utumbi,control,43,135,135,False,#7f7f7f,⚪,30
20241208-nursery-algaemix.csv,20241208,nursery,algaemix,43,420,420,False,#8c564b,🟤,31
20241209-nursery-algaemix.csv,20241209,nursery,algaemix,42,303,303,False,#8c564b,🟤,32
20241126-nursery-mackerel.csv,20241126,nursery,mackerel,41,361,361,False,#1f77b4,🔵,33
20241204-nursery-algae_strings.csv,20241204,nursery,algae_strings,41,224,224,False,#9467bd,🟣,34
20241027-milimani-ulva_salad.csv,20241027,milimani,ulva_salad,40,106,106,False,#2ca02c,🟢,35
20241026-milimani-ulva_gutweed.csv,20241026,milimani,ulva_gutweed,39,128,128,False,#17becf,🩵,36
20241114-milimani-control.csv,20241114,milimani,control,36,180,180,False,#7f7f7f,⚪,37
20241206-nursery-algae_strings.csv,20241206,nursery,algae_strings,36,168,168,False,#9467bd,🟣,38
20251212-nursery-mackerel.csv,20251212,nursery,mackerel,36,159,159,False,#1f77b4,🔵,39
20240223-nursery-mackerel.csv,20240223,nursery,mackerel,34,211,211,False,#1f77b4,🔵,40
20241025-milimani-mackerel.csv,20241025,milimani,mackerel,34,259,259,False,#1f77b4,🔵,41
20241205-nursery-algae_strings.csv,20241205,nursery,algae_strings,34,204,204,False,#9467bd,🟣,42
20241210-nursery-algaemix.csv,20241210,nursery,algaemix,34,201,201,False,#8c564b,🟤,43
20241105-milimani-ulva_salad.csv,20241105,milimani,ulva_salad,31,100,100,False,#2ca02c,🟢,44
20240106-nursery-mackerel.csv,20240106,nursery,mackerel,29,107,103,False,#1f77b4,🔵,45
20240108-nursery-control.csv,20240108,nursery,control,29,69,69,True,#7f7f7f,⚪,46
