section,item,value,standort,koeder,koeder_farbe,koeder_hex,species_richness,rows_used,rows_total,is_short_video,n_videos,mean_species_richness,median_species_richness,sd_species_richness,min_species_richness,max_species_richness,rank,h_stat,p_value,significant,note,p_value_holm
summary,text,"Die Analyse umfasst 46 cut_47min-Videos. Der globale Standorteffekt ist signifikant (p=2.307e-06), waehrend der globale Koedereffekt nicht signifikant ist (p=0.128). Das kuerzere Sondervideo 20240108-nursery-control.csv ist durchgehend markiert.",,,,,,,,,,,,,,,,,,,,
videos_grouped,20240515-milimani-mackerel.csv,,milimani,mackerel,🔵,#1f77b4,53.0,375.0,375.0,False,,,,,,,,,,,,
videos_grouped,20240516-utumbi-mackerel.csv,,utumbi,mackerel,🔵,#1f77b4,61.0,518.0,529.0,False,,,,,,,,,,,,
videos_grouped,20241025-milimani-mackerel.csv,,milimani,mackerel,🔵,#1f77b4,34.0,259.0,259.0,False,,,,,,,,,,,,
videos_grouped,20241025-utumbi-ulva_salad.csv,,utumbi,ulva_salad,🟢,#2ca02c,48.0,525.0,527.0,False,,,,,,,,,,,,
videos_grouped,20241026-milimani-ulva_gutweed.csv,,milimani,ulva_gutweed,🩵,#17becf,39.0,126.0,128.0,False,,,,,,,,,,,,
videos_grouped,20241026-utumbi-mackerel.csv,,utumbi,mackerel,🔵,#1f77b4,49.0,366.0,395.0,False,,,,,,,,,,,,
videos_grouped,20241027-milimani-ulva_salad.csv,,milimani,ulva_salad,🟢,#2ca02c,40.0,105.0,106.0,False,,,,,,,,,,,,
videos_grouped,20241027-utumbi-ulva_salad.csv,,utumbi,ulva_salad,🟢,#2ca02c,55.0,376.0,381.0,False,,,,,,,,,,,,
videos_grouped,20241029-milimani-ulva_gutweed.csv,,milimani,ulva_gutweed,🩵,#17becf,49.0,149.0,149.0,False,,,,,,,,,,,,
videos_grouped,20241029-utumbi-ulva_gutweed.csv,,utumbi,ulva_gutweed,🩵,#17becf,50.0,365.0,367.0,False,,,,,,,,,,,,
videos_grouped,20241030-milimani-ulva_gutweed.csv,,milimani,ulva_gutweed,🩵,#17becf,46.0,181.0,181.0,False,,,,,,,,,,,,
videos_grouped,20241030-utumbi-ulva_gutweed.csv,,utumbi,ulva_gutweed,🩵,#17becf,54.0,227.0,227.0,False,,,,,,,,,,,,
videos_grouped,20241105-milimani-ulva_salad.csv,,milimani,ulva_salad,🟢,#2ca02c,31.0,100.0,100.0,False,,,,,,,,,,,,
videos_grouped,20241105-utumbi-control.csv,,utumbi,control,⚪,#7f7f7f,44.0,396.0,398.0,False,,,,,,,,,,,,
