filename,site_group,original_seconds,original_minutes,cut47_seconds,cut47_minutes,cut_deficit_to_47min_seconds,cut_deficit_to_47min_minutes
20240515-milimani-mackerel.csv,coral_reef,708.708,11.8118,708.708,11.8118,2111.292,35.1882
20240516-utumbi-mackerel.csv,coral_reef,698.7549274,11.645915456666668,698.7549274,11.645915456666668,2121.2450725999997,35.35408454333333
20241025-milimani-mackerel.csv,coral_reef,3531.226579,58.85377631666667,2777.2701229103354,46.287835381838924,42.72987708966457,0.7121646181610761
20241025-utumbi-ulva_salad.csv,coral_reef,3228.893962,53.814899366666666,2800.8752603,46.68125433833333,19.12473970000019,0.31874566166666984
20241026-milimani-ulva_gutweed.csv,coral_reef,3352.449312957996,55.8741552159666,2712.3298822266624,45.20549803711104,107.67011777333755,1.7945019628889591
20241026-utumbi-mackerel.csv,coral_reef,2589.0136204473415,43.15022700745569,2589.0136204473415,43.15022700745569,230.9863795526585,3.8497729925443083
20241027-milimani-ulva_salad.csv,coral_reef,3478.0497336404997,57.967495560675,2679.6184785226665,44.660307975377776,140.38152147733354,2.3396920246222255
20241027-utumbi-ulva_salad.csv,coral_reef,3475.1895808479753,57.919826347466255,2802.6002728,46.71000454666667,17.399727200000143,0.2899954533333357
20241029-milimani-ulva_gutweed.csv,coral_reef,2661.282729,44.35471215,2661.282729,44.35471215,158.71727099999998,2.64528785
20241029-utumbi-ulva_gutweed.csv,coral_reef,3595.6480132906668,59.92746688817778,2705.1247801673335,45.08541300278889,114.87521983266652,1.9145869972111087
20241030-milimani-ulva_gutweed.csv,coral_reef,3144.431689883664,52.4071948313944,2735.178771852,45.586312864199996,84.82122814800005,1.4136871358000007
20241030-utumbi-ulva_gutweed.csv,coral_reef,3440.8453642,57.347422736666665,2788.1367986,46.46894664333333,31.86320139999998,0.5310533566666663
20241105-milimani-ulva_salad.csv,coral_reef,3524.4523189,58.74087198166667,3335.0236168,55.583726946666665,-515.0236168000001,-8.583726946666669
20241105-utumbi-control.csv,coral_reef,2831.3682533,47.18947088833333,2396.8363687,39.94727281166667,423.1636312999999,7.052727188333332
20241110-milimani-ulva_salad.csv,coral_reef,3563.5562715,59.392604525,2810.9355772,46.84892628666667,9.064422800000102,0.15107371333333502
20241110-utumbi-ulva_salad.csv,coral_reef,3561.9889445,59.36648240833333,2805.459699,46.75766165,14.540301,0.24233834999999998
20241111-milimani-control.csv,coral_reef,3534.878734,58.914645566666664,2786.0874993,46.434791655000005,33.91250069999978,0.5652083449999964
20241111-utumbi-control.csv,coral_reef,3435.4584612,57.25764102,3337.5723272,55.626205453333334,-517.5723272,-8.626205453333334
20241112-milimani-ulva_salad.csv,coral_reef,3556.761094,59.27935156666667,2448.6155687,40.810259478333336,371.38443129999996,6.189740521666666
20241112-utumbi-ulva_gutweed.csv,coral_reef,3536.0376285,58.933960475000006,3413.610194,56.893503233333334,-593.6101939999999,-9.89350323333333
20241114-milimani-control.csv,coral_reef,3440.973949605509,57.349565826758486,2677.3993272,44.62332212,142.6006728000002,2.3766778800000035
20241114-utumbi-control.csv,coral_reef,3509.0102529169994,58.483504215283325,2699.2141164156656,44.98690194026109,120.78588358433444,2.0130980597389074
20241115-milimani-control.csv,coral_reef,3452.5216998,57.54202833,2753.9016942,45.89836157,66.09830580000016,1.1016384300000026
20241115-utumbi-control.csv,coral_reef,3545.5483517,59.09247252833333,2744.6678774,45.744464623333336,75.33212259999982,1.2555353766666637
20241124-milimani-mackerel.csv,coral_reef,3481.4041967,58.02340327833333,2652.2565858,44.20427643,167.7434142000002,2.795723570000003
20241124-utumbi-mackerel.csv,coral_reef,3425.7621572,57.09603595333333,3121.4765774,52.02460962333334,-301.4765774000002,-5.024609623333337
20241127-milimani-sargassum.csv,coral_reef,3516.5110530113275,58.60851755018879,2815.0949692,46.91824948666667,4.905030800000077,0.08175051333333462
20241127-utumbi-sargassum.csv,coral_reef,3417.089846276,56.951497437933334,2782.0304774903348,46.36717462483891,37.96952250966524,0.6328253751610873
20241128-milimani-sargassum.csv,coral_reef,3481.1784674,58.01964112333334,2693.1688979,44.88614829833333,126.83110209999995,2.113851701666666
20241128-utumbi-sargassum.csv,coral_reef,3535.5263853,58.925439755,2751.3175755,45.855292925,68.6824244999998,1.1447070749999966
20241129-milimani-sargassum.csv,coral_reef,3415.1131073,56.91855178833334,2792.6090811,46.543484684999996,27.390918900000088,0.4565153150000015
20241129-utumbi-sargassum.csv,coral_reef,3421.6025137,57.026708561666666,3421.6025137,57.026708561666666,-601.6025137000001,-10.02670856166667
20241209-utumbi-fischmix.csv,coral_reef,3542.1334532,59.035557553333334,2733.1431624,45.55238604,86.85683759999984,1.4476139599999973
