signal,label,family,sites,expected_direction,n_algae_total,n_fish_total,n_algae_present,n_fish_present,presence_rate_algae,presence_rate_fish,maxn_median_algae,maxn_median_fish,presence_coef,presence_or,presence_ci_low,presence_ci_high,presence_p_one_sided,presence_p_two_sided,presence_method,intensity_coef_log1p,intensity_ci_low,intensity_ci_high,intensity_p_one_sided,intensity_p_two_sided,positive_algae_n,positive_fish_n,median_diff_positive_maxn,median_diff_ci_low,median_diff_ci_high,intensity_method,presence_q_bh,intensity_q_bh,presence_sig_q_0_05,intensity_sig_q_0_05
coral_muraenidae,Coral reef: Muraenidae,muraenidae,"milimani, utumbi",fish > algae,19,9,0,5,0.0,0.5555555555555556,0.0,1.0,,,,,0.001282051282051282,,fisher_fallback,,,,,,0,5,,,,insufficient_positive_data,0.007692307692307693,,True,False
nursery_acanthuridae,Nursery: Acanthuridae,acanthuridae,nursery,algae > fish,6,4,6,4,1.0,1.0,22.0,4.5,,,,,1.0,,fisher_fallback,1.3477373553406826,0.778213000153711,1.9172617105276544,1.7580472051470508e-06,3.516094410328738e-06,6,4,17.5,10.0,27.5,ols_hc3,1.0,8.790236025735254e-06,False,True
coral_labridae,Coral reef: Labridae,labridae,"milimani, utumbi",fish > algae,19,9,19,9,1.0,1.0,2.0,5.0,,,,,1.0,,fisher_fallback,-0.5911622244807365,-0.8545102227462797,-0.32781422621519324,5.419606633059282e-06,1.0839213266118563e-05,19,9,-3.0,-4.0,-1.0,ols_hc3,1.0,1.3549016582648203e-05,False,True
coral_balistidae,Coral reef: Balistidae,balistidae,"milimani, utumbi",fish > algae,19,9,19,9,1.0,1.0,2.0,5.0,,,,,1.0,,fisher_fallback,-0.5332761912037943,-0.8720297555508316,-0.19452262685675697,0.0010162729755610882,0.0020325459511221764,19,9,-3.0,-4.0,0.0,ols_hc3,1.0,0.0016937882926018135,False,True
coral_siganidae,Coral reef: Siganidae,siganidae,"milimani, utumbi",algae > fish,19,9,12,6,0.631578947368421,0.6666666666666666,2.0,1.0,-0.15415067982706832,0.85714285714302,0.16131936598022548,4.554281955468125,0.5717739679961956,0.8564520640076088,glm_binomial,0.2168908071203653,-0.031462076574908654,0.4652436908156392,0.043478753778345536,0.08695750755669117,12,6,0.0,0.0,1.0,ols_hc3,1.0,0.05434844222293192,False,False
coral_scaridae,Coral reef: Scaridae,scaridae,"milimani, utumbi",algae > fish,19,9,19,9,1.0,1.0,9.0,7.0,,,,,1.0,,fisher_fallback,0.1867302886222365,-0.360791966990773,0.734252544235246,0.25192704679136146,0.5038540935827228,19,9,2.0,-7.0,6.0,ols_hc3,1.0,0.25192704679136146,False,False
