filename,date,standort,koeder,duration_sec_non_behavior,species_richness,family_richness,general_richness,total_non_behavior_annotations,shannon_species,median_first_seen_species_sec,median_first_seen_family_sec,sum_species_maxn,sum_family_maxn,peak_species_maxn,peak_family_maxn,total_feeding_events,total_interested_events,feeding_unique_species,feeding_unique_family,interested_unique_species,interested_unique_family,feeding_ratio_total,interested_ratio_total,species_maxn_by_taxon,family_maxn_by_taxon,feeding_species_by_taxon,feeding_family_by_taxon,interested_species_by_taxon,interested_family_by_taxon
20240515-milimani-mackerel.csv,20240515,milimani,mackerel,708.708,47,20,53,375,2.657351324901913,152.5104999,246.50355925,206.0,166.0,105.0,105.0,0,0,0,0,0,0,0.0,0.0,"{'goldbar (thalassoma hebraicum)': 1, 'brown tang (zebrasoma scopas)': 4, 'indian half-and-half (pycnochromis dimidiatus)': 105, 'speckled (parapercis hexophthalma)': 2, 'indian longnose (hipposcarus harid)': 12, 'bird wrasse (gomphosus caeruleus)': 3, 'lined bristletooth (ctenochaetus striatus)': 7, 'moon (thalassoma lunare)': 1, 'swarthy (scarus niger)': 1, 'brown pigmy (centropyge multispinis)': 4, 'bullethead (chlorurus sordidus)': 1, 'orange-lined (balistapus undulatus)': 2, 'raccoon (chaetodon lunula)': 2, 'green (amblyglyphidodon indicus)': 3, 'paletail unicorn (naso brevirostris)': 2, 'longbarbel (parupeneus macronemus)': 3, 'spotted toby (canthigaster solandri)': 2, 'disappearing (pseudocheilinus evanidus)': 4, 'mozambique fangblenny (meiacanthus mossambicus)': 3, 'regal (pygoplites diacanthus)': 2, 'sixbar (thalassoma hardwicke)': 1, 'wirenet (cantherhines pardalis)': 1, 'redmouth (aethaloperca rogaa)': 1, 'peacock (cephalopholis argus)': 1, 'freckled (paracirrhites forsteri)': 1, 'red-breasted (cheilinus fasciatus)': 1, 'moorish idol (zanclus cornutus)': 2, 'red (lutjanus bohar)': 1, 'yellowhead (chaetodon xanthocephalus)': 1, 'blackeye (hemigymnus melapterus)': 1, 'potato (epinephelus tukula)': 1, 'threadfin (chaetodon auriga)': 3, 'axilspot hogfish (bodianus axillaris)': 1, 'eclipse (chaetodon bennetti)': 1, 'honeycomb (siganus stellatus)': 2, 'humpnose bigeye (monotaxis grandoculis)': 5, 'lined (chaetodon lineolatus)': 2, 'titan (balistoides viridescens)': 1, 'checkerboard (halichoeres hortulanus)': 1, 'barred (hemigymnus fasciatus)': 3, 'indian redfin (chaetodon trifasciatus)': 2, 'black-backed (chaetodon melannotus)': 2, 'saddleback (chaetodon falcula)': 2, 'longfin banner (heniochus acuminatus)': 2, 'humpback unicorn (naso brachycentron)': 1, ""meyer's (chaetodon meyeri)"": 1, 'trumpetfish (aulostomus chinensis)': 1}","{'labridae': 4, 'acanthuridae': 7, 'pomacentridae': 105, 'pinguipedidae': 2, 'scaridae': 16, 'pomacanthidae': 4, 'balistidae': 2, 'chaetodontidae': 3, 'tetraodontidae': 2, 'mullidae': 3, 'blenniidae': 3, 'monacanthidae': 1, 'serranidae': 1, 'cirrhitidae': 1, 'zanclidae': 2, 'lutjanidae': 1, 'siganidae': 2, 'lethrinidae': 5, 'fistulariidae': 1, 'aulostomidae': 1}",{},{},{},{}
20241025-milimani-mackerel.csv,20241025,milimani,mackerel,2777.2701229103354,33,14,34,259,2.349675785046391,325.432430107,119.23207573449926,217.0,177.0,82.0,82.0,0,0,0,0,0,0,0.0,0.0,"{'undulated (gymnothorax undulatus)': 1, 'sixbar (thalassoma hardwicke)': 5, 'scissortail sergeant (abudefduf sexfasciatus)': 5, 'green (amblyglyphidodon indicus)': 1, 'moon (thalassoma lunare)': 3, 'longbarbel (parupeneus macronemus)': 2, 'goldbar (thalassoma hebraicum)': 2, 'ternate (chromis ternatensis)': 82, 'lined bristletooth (ctenochaetus striatus)': 4, 'black-lipped (chaetodon kleinii)': 1, 'regal (pygoplites diacanthus)': 2, 'bluefin (caranx melampygus)': 2, 'indian longnose (hipposcarus harid)': 2, 'bird wrasse (gomphosus caeruleus)': 2, 'brown tang (zebrasoma scopas)': 8, 'threadfin (chaetodon auriga)': 2, 'peacock (cephalopholis argus)': 1, 'orange-lined (balistapus undulatus)': 2, 'trumpetfish (aulostomus chinensis)': 1, 'red (lutjanus bohar)': 3, 'spotted (chaetodon guttatissimus)': 2, 'paletail unicorn (naso brevirostris)': 2, 'black-backed (chaetodon melannotus)': 2, 'sailfin tang (zebrasoma desjardinii)': 67, 'checkerboard (halichoeres hortulanus)': 1, 'indian redfin (chaetodon trifasciatus)': 2, 'moorish idol (zanclus cornutus)': 3, 'titan (balistoides viridescens)': 1, 'red-breasted (cheilinus fasciatus)': 1, 'barred (hemigymnus fasciatus)': 1, 'blue-streak (labroides dimidiatus)': 1, 'redmouth (aethaloperca rogaa)': 2, 'indian half-and-half (pycnochromis dimidiatus)': 1}","{'muraenidae': 1, 'labridae': 5, 'pomacentridae': 82, 'mullidae': 2, 'acanthuridae': 67, 'chaetodontidae': 2, 'pomacanthidae': 2, 'carangidae': 2, 'scaridae': 3, 'serranidae': 2, 'balistidae': 2, 'aulostomidae': 1, 'lutjanidae': 3, 'zanclidae': 3}",{},{},{},{}
20241124-milimani-mackerel.csv,20241124,milimani,mackerel,2652.2565858,48,18,59,287,3.0274998475945303,408.9365782,192.83338765,201.0,112.0,40.0,40.0,0,0,0,0,0,0,0.0,0.0,"{'green (amblyglyphidodon indicus)': 8, 'lined bristletooth (ctenochaetus striatus)': 3, 'goldbar (thalassoma hebraicum)': 3, 'indian half-and-half (pycnochromis dimidiatus)': 30, 'bird wrasse (gomphosus caeruleus)': 1, 'sixbar (thalassoma hardwicke)': 3, 'brown pigmy (centropyge multispinis)': 1, 'brown tang (zebrasoma scopas)': 6, 'redmouth (aethaloperca rogaa)': 2, 'spotted (chaetodon guttatissimus)': 2, 'scissortail sergeant (abudefduf sexfasciatus)': 2, 'paletail unicorn (naso brevirostris)': 5, 'moon (thalassoma lunare)': 3, 'red (lutjanus bohar)': 2, 'orange-lined (balistapus undulatus)': 2, 'pyramid (hemitaurichthys zoster)': 1, 'honeycomb (siganus stellatus)': 2, 'black-backed (chaetodon melannotus)': 2, 'mozambique fangblenny (meiacanthus mossambicus)': 1, 'humpnose bigeye (monotaxis grandoculis)': 2, 'indian redfin (chaetodon trifasciatus)': 3, 'regal (pygoplites diacanthus)': 1, 'moorish idol (zanclus cornutus)': 2, 'raccoon (chaetodon lunula)': 2, 'bullethead (chlorurus sordidus)': 6, 'threadfin (chaetodon auriga)': 1, 'longbarbel (parupeneus macronemus)': 2, 'barred (hemigymnus fasciatus)': 1, 'blackeye (hemigymnus melapterus)': 1, 'swarthy (scarus niger)': 1, 'leopard (cephalopholis leopardus)': 1, 'peacock (cephalopholis argus)': 1, 'checkerboard (halichoeres hortulanus)': 1, 'chevroned (chaetodon trifascialis)': 1, 'humpback unicorn (naso brachycentron)': 1, 'axilspot hogfish (bodianus axillaris)': 1, 'bluefin (caranx melampygus)': 1, 'red-breasted (cheilinus fasciatus)': 1, 'speckled (parapercis hexophthalma)': 1, 'lyretail hogfish (bodianus anthioides)': 1, 'titan (balistoides viridescens)': 1, 'sailfin tang (zebrasoma desjardinii)': 38, 'monk (acanthurus gahhm)': 2, 'ternate (chromis ternatensis)': 40, ""weber's puller (chromis weberi)"": 4, 'wirenet (cantherhines pardalis)': 1, 'arabian monocle (scolopsis ghanam)': 2, 'longnose (oxymonacanthus longirostris)': 2}","{'pomacentridae': 40, 'acanthuridae': 38, 'labridae': 3, 'pomacanthidae': 1, 'scaridae': 6, 'serranidae': 2, 'chaetodontidae': 3, 'balistidae': 2, 'lutjanidae': 2, 'siganidae': 2, 'blenniidae': 1, 'lethrinidae': 2, 'monacanthidae': 2, 'zanclidae': 2, 'mullidae': 2, 'carangidae': 1, 'pinguipedidae': 1, 'nemipteridae': 2}",{},{},{},{}
20240106-nursery-mackerel.csv,20240106,nursery,mackerel,528.83204,25,15,29,103,2.7961076054788996,208.487671,145.785099,56.0,49.0,7.0,7.0,4,0,2,2,0,0,0.037383177570093455,0.0,"{'moon (thalassoma lunare)': 4, 'lined bristletooth (ctenochaetus striatus)': 5, 'peacock damsel (pomacentrus pavo)': 5, 'brassy trevally (caranx papuensis)': 7, 'speckled (parapercis hexophthalma)': 4, 'longnose (lethrinus olivaceus)': 2, 'humpnose bigeye (monotaxis grandoculis)': 2, 'blue-streak (labroides dimidiatus)': 1, 'blackwhite (macolor niger)': 1, 'sailfin tang (zebrasoma desjardinii)': 1, 'humpback (lutjanus gibbus)': 5, 'paletail unicorn (naso brevirostris)': 1, 'threespot dascyllus (dascyllus trimaculatus)': 2, 'threadfin (chaetodon auriga)': 1, 'monk (acanthurus gahhm)': 1, 'black saddled toby (canthigaster valentini)': 1, 'mozambique fangblenny (meiacanthus mossambicus)': 1, 'red (lutjanus bohar)': 1, 'disappearing (pseudocheilinus evanidus)': 2, 'emperor (pomacanthus imperator)': 2, 'longbarbel (parupeneus macronemus)': 1, 'sixbar (thalassoma hardwicke)': 1, 'arabian monocle (scolopsis ghanam)': 2, 'titan (balistoides viridescens)': 2, 'snubnose (lethrinus borbonicus)': 1}","{'pomacentridae': 5, 'labridae': 4, 'acanthuridae': 5, 'carangidae': 7, 'pinguipedidae': 4, 'lethrinidae': 2, 'lutjanidae': 5, 'chaetodontidae': 1, 'blenniidae': 1, 'tetraodontidae': 2, 'pomacanthidae': 2, 'mullidae': 1, 'scaridae': 6, 'nemipteridae': 2, 'balistidae': 2}","{'longnose (lethrinus olivaceus)': 1, 'humpback (lutjanus gibbus)': 3}","{'lethrinidae': 1, 'lutjanidae': 3}",{},{}
20240223-nursery-mackerel.csv,20240223,nursery,mackerel,523.079321,27,15,34,211,2.479919161730799,119.500002,25.262454,89.0,81.0,18.0,18.0,0,0,0,0,0,0,0.0,0.0,"{'longfin banner (heniochus acuminatus)': 2, 'false-eye (abudefduf sparoides)': 1, 'black-lipped (chaetodon kleinii)': 5, 'threespot dascyllus (dascyllus trimaculatus)': 13, 'speckled (parapercis hexophthalma)': 3, 'humpnose bigeye (monotaxis grandoculis)': 2, 'green (amblyglyphidodon indicus)': 4, 'moon (thalassoma lunare)': 11, 'humpback (lutjanus gibbus)': 18, 'red (lutjanus bohar)': 2, 'monk (acanthurus gahhm)': 3, 'blue barred (scarus ghobban)': 1, 'coral (cephalopholis miniata)': 2, 'threadfin (chaetodon auriga)': 2, 'longbarbel (parupeneus macronemus)': 4, 'lined bristletooth (ctenochaetus striatus)': 2, 'paletail unicorn (naso brevirostris)': 2, 'moorish idol (zanclus cornutus)': 1, 'emperor (pomacanthus imperator)': 1, 'snubnose (lethrinus borbonicus)': 1, 'yellowhead (chaetodon xanthocephalus)': 1, 'blue-streak (labroides dimidiatus)': 1, 'blackwhite (macolor niger)': 1, 'saddleback (chaetodon falcula)': 1, 'black-backed (chaetodon melannotus)': 2, 'indian redfin (chaetodon trifasciatus)': 2, 'titan (balistoides viridescens)': 1}","{'chaetodontidae': 5, 'pomacentridae': 13, 'caesionidae': 7, 'pinguipedidae': 3, 'lethrinidae': 2, 'labridae': 11, 'lutjanidae': 18, 'serranidae': 3, 'acanthuridae': 3, 'scaridae': 3, 'mullidae': 4, 'zanclidae': 1, 'pomacanthidae': 1, 'fistulariidae': 6, 'balistidae': 1}",{},{},{},{}
20241126-nursery-mackerel.csv,20241126,nursery,mackerel,660.011122,35,17,41,361,2.6361868936606556,121.159542,44.27963,157.0,112.0,30.0,30.0,0,0,0,0,0,0,0.0,0.0,"{'arabian monocle (scolopsis ghanam)': 6, 'threespot dascyllus (dascyllus trimaculatus)': 20, 'longbarbel (parupeneus macronemus)': 6, 'humpnose bigeye (monotaxis grandoculis)': 1, 'moon (thalassoma lunare)': 1, 'humpback (lutjanus gibbus)': 30, 'speckled (parapercis hexophthalma)': 1, 'sidespot (parupeneus pleurostigma)': 8, 'green (amblyglyphidodon indicus)': 2, 'blackspot (lutjanus fulviflamma)': 19, 'false-eye (abudefduf sparoides)': 1, 'paletail unicorn (naso brevirostris)': 10, 'blackwhite (macolor niger)': 1, 'black-backed (chaetodon melannotus)': 3, 'black-lipped (chaetodon kleinii)': 1, 'threadfin (chaetodon auriga)': 4, 'moorish idol (zanclus cornutus)': 8, 'queen (coris formosa)': 1, 'thumbprint (lethrinus harak)': 2, 'honeycomb (siganus stellatus)': 5, 'longfin banner (heniochus acuminatus)': 1, 'monk (acanthurus gahhm)': 2, 'yellowhead (chaetodon xanthocephalus)': 4, 'raccoon (chaetodon lunula)': 1, 'black saddled toby (canthigaster valentini)': 1, 'saddleback (chaetodon falcula)': 1, 'scissortail sergeant (abudefduf sexfasciatus)': 3, 'blackspot feeding (lutjanus fulviflamma)': 6, 'indian redfin (chaetodon trifasciatus)': 2, 'snubnose (lethrinus borbonicus)': 1, 'blue-streak (labroides dimidiatus)': 1, 'bluefin (caranx melampygus)': 1, 'redmouth (aethaloperca rogaa)': 1, 'mahsena (lethrinus mahsena)': 1, 'red-breasted (cheilinus fasciatus)': 1}","{'nemipteridae': 6, 'pomacentridae': 20, 'mullidae': 8, 'lethrinidae': 2, 'labridae': 1, 'lutjanidae': 30, 'pinguipedidae': 1, 'scaridae': 11, 'acanthuridae': 10, 'chaetodontidae': 5, 'fistulariidae': 1, 'zanclidae': 8, 'siganidae': 5, 'carangidae': 1, 'tetraodontidae': 1, 'serranidae': 1, 'aulostomidae': 1}",{},{},{},{}
20251212-nursery-mackerel.csv,20251212,nursery,mackerel,531.562,30,17,36,159,2.9314063348178085,143.0621445,116.251923,72.0,57.0,8.0,11.0,0,0,0,0,0,0,0.0,0.0,"{'speckled (parapercis hexophthalma)': 1, 'moon (thalassoma lunare)': 2, 'blackwhite (macolor niger)': 1, 'longbarbel (parupeneus macronemus)': 1, 'threespot dascyllus (dascyllus trimaculatus)': 7, 'red (lutjanus bohar)': 2, 'linedcheeked (oxycheilinus digramma)': 1, 'mozambique fangblenny (meiacanthus mossambicus)': 2, 'humpback (lutjanus gibbus)': 6, 'scissortail sergeant (abudefduf sexfasciatus)': 2, 'whitetail (acanthurus thompsoni)': 2, 'honeycomb (siganus stellatus)': 2, 'lined bristletooth (ctenochaetus striatus)': 4, 'green (amblyglyphidodon indicus)': 6, 'threadfin (chaetodon auriga)': 1, 'indian redfin (chaetodon trifasciatus)': 1, 'black-backed (chaetodon melannotus)': 1, 'monk (acanthurus gahhm)': 2, 'scrawled (aluterus scriptus)': 1, 'brassy trevally (caranx papuensis)': 6, 'sailfin tang (zebrasoma desjardinii)': 1, 'black saddled toby (canthigaster valentini)': 1, 'spotted toby (canthigaster solandri)': 2, 'blackspot (lutjanus fulviflamma)': 8, 'titan (balistoides viridescens)': 1, 'yellowhead (chaetodon xanthocephalus)': 4, 'black-lipped (chaetodon kleinii)': 1, 'brown tang (zebrasoma scopas)': 1, 'spotted (diodon hystrix)': 1, 'blackwhite feeding (macolor niger)': 1}","{'pinguipedidae': 1, 'pomacentridae': 7, 'labridae': 2, 'lutjanidae': 8, 'mullidae': 2, 'blenniidae': 2, 'acanthuridae': 4, 'siganidae': 2, 'scaridae': 11, 'chaetodontidae': 4, 'monacanthidae': 1, 'carangidae': 6, 'caesionidae': 2, 'tetraodontidae': 2, 'balistidae': 1, 'serranidae': 1, 'diodontidae': 1}",{},{},{},{}
20240516-utumbi-mackerel.csv,20240516,utumbi,mackerel,698.7549274,53,18,62,529,2.6420654081524613,197.87775158364968,36.1949176,342.0,185.0,121.0,121.0,0,0,0,0,0,0,0.0,0.0,"{'indian half-and-half (pycnochromis dimidiatus)': 96, 'disappearing (pseudocheilinus evanidus)': 11, 'regal (pygoplites diacanthus)': 2, 'orange-lined (balistapus undulatus)': 5, 'indian redfin (chaetodon trifasciatus)': 2, 'monk (acanthurus gahhm)': 1, 'brown tang (zebrasoma scopas)': 2, 'humpback unicorn (naso brachycentron)': 6, 'leopard (cephalopholis leopardus)': 2, 'paletail unicorn (naso brevirostris)': 12, 'blue-streak (labroides dimidiatus)': 4, 'bird wrasse (gomphosus caeruleus)': 3, 'lined bristletooth (ctenochaetus striatus)': 1, 'sailfin tang (zebrasoma desjardinii)': 12, 'axilspot hogfish (bodianus axillaris)': 1, 'moon (thalassoma lunare)': 3, 'golden (ctenochaetus truncates)': 2, 'linedcheeked (oxycheilinus digramma)': 1, 'whitetail (acanthurus thompsoni)': 5, 'barred (hemigymnus fasciatus)': 1, 'red-breasted (cheilinus fasciatus)': 1, 'blue-green (chromis viridis)': 4, 'queenfish (scomberoides lysan)': 1, 'goldbar (thalassoma hebraicum)': 2, 'sulfur (pomacentrus sulfureus)': 1, 'sixbar (thalassoma hardwicke)': 2, 'moorish idol (zanclus cornutus)': 2, 'red (lutjanus bohar)': 3, 'longfin banner (heniochus acuminatus)': 2, 'yellowhead (chaetodon xanthocephalus)': 1, 'threadfin (chaetodon auriga)': 2, 'humpnose bigeye (monotaxis grandoculis)': 2, 'undulated (gymnothorax undulatus)': 2, 'black-lipped (chaetodon kleinii)': 1, 'false-eye (abudefduf sparoides)': 2, 'bicolor (labroides bicolor)': 2, 'scrawled (aluterus scriptus)': 1, 'green (amblyglyphidodon indicus)': 1, 'elegant unicorn (naso elegans)': 1, 'redmouth (aethaloperca rogaa)': 2, 'eclipse (chaetodon bennetti)': 2, 'piano fangblenny (plagiotremus tapeinosoma)': 1, 'bullethead (chlorurus sordidus)': 1, 'blackeye (hemigymnus melapterus)': 1, 'honeycomb (siganus stellatus)': 1, 'longbarbel (parupeneus macronemus)': 1, 'stareye (calotomus carolinus)': 1, ""meyer's (chaetodon meyeri)"": 1, 'tubelip (labrichthys unilineatus)': 1, 'brown pigmy (centropyge multispinis)': 1, 'mozambique fangblenny (meiacanthus mossambicus)': 2, 'indian half-and-half (pycnochromis dimidiatusf)': 1, 'ternate (chromis ternatensis)': 121}","{'pomacentridae': 121, 'labridae': 11, 'scaridae': 7, 'pomacanthidae': 2, 'balistidae': 5, 'chaetodontidae': 2, 'acanthuridae': 12, 'serranidae': 3, 'holocentridae': 7, 'carangidae': 1, 'zanclidae': 2, 'lutjanidae': 3, 'lethrinidae': 2, 'muraenidae': 2, 'monacanthidae': 1, 'blenniidae': 2, 'siganidae': 1, 'mullidae': 1}",{},{},{},{}
20241026-utumbi-mackerel.csv,20241026,utumbi,mackerel,2589.0136204473415,41,15,50,395,2.302714641425133,290.7123584987468,39.30653326633635,211.0,210.0,127.0,127.0,0,0,0,0,0,0,0.0,0.0,"{'orange-lined (balistapus undulatus)': 6, 'sulfur (pomacentrus sulfureus)': 2, 'green (amblyglyphidodon indicus)': 6, 'indian half-and-half (pycnochromis dimidiatus)': 127, 'swarthy (scarus niger)': 1, 'red (lutjanus bohar)': 1, 'goldbar (thalassoma hebraicum)': 2, 'redmouth (aethaloperca rogaa)': 2, 'moon (thalassoma lunare)': 3, 'five-saddle (scarus saber)': 1, 'longbarbel (parupeneus macronemus)': 1, 'whitetail (acanthurus thompsoni)': 1, 'brown tang (zebrasoma scopas)': 1, 'brassy trevally (caranx papuensis)': 1, 'bird wrasse (gomphosus caeruleus)': 1, 'regal (pygoplites diacanthus)': 1, 'bicolor (labroides bicolor)': 2, 'bullethead (chlorurus sordidus)': 1, 'blue-green (chromis viridis)': 1, 'bluefin (caranx melampygus)': 3, 'ternate (chromis ternatensis)': 17, 'eclipse (chaetodon bennetti)': 2, 'red-breasted (cheilinus fasciatus)': 1, 'black-backed (chaetodon melannotus)': 1, 'humpback unicorn (naso brachycentron)': 1, 'indian redfin (chaetodon trifasciatus)': 2, 'trumpetfish (aulostomus chinensis)': 2, 'blue-streak (labroides dimidiatus)': 1, 'elegant unicorn (naso elegans)': 1, 'disappearing (pseudocheilinus evanidus)': 5, 'blackeye (hemigymnus melapterus)': 2, 'brown pigmy (centropyge multispinis)': 1, 'golden (ctenochaetus truncates)': 2, 'humphead (cheilinus undulatus)': 1, 'linedcheeked (oxycheilinus digramma)': 1, 'peacock (cephalopholis argus)': 1, 'spot-tail (coris caudimacula)': 1, 'claudia (halichoeres claudia)': 1, 'blacktip (epinephelus fasciatus)': 2, 'chevroned (chaetodon trifascialis)': 1, 'barred (hemigymnus fasciatus)': 1}","{'balistidae': 6, 'pomacentridae': 127, 'scaridae': 12, 'lutjanidae': 1, 'labridae': 5, 'serranidae': 2, 'mullidae': 1, 'acanthuridae': 2, 'carangidae': 3, 'pomacanthidae': 1, 'holocentridae': 3, 'chaetodontidae': 2, 'aulostomidae': 2, 'blenniidae': 1, 'caesionidae': 42}",{},{},{},{}
20241124-utumbi-mackerel.csv,20241124,utumbi,mackerel,3121.4765774,42,19,51,343,2.9018444005463473,526.24597535,286.1244522,117.0,148.0,27.0,94.0,0,0,0,0,0,0,0.0,0.0,"{'green (amblyglyphidodon indicus)': 18, 'orange-lined (balistapus undulatus)': 5, 'brown tang (zebrasoma scopas)': 2, 'indian half-and-half (pycnochromis dimidiatus)': 27, 'bird wrasse (gomphosus caeruleus)': 2, 'goldbar (thalassoma hebraicum)': 6, 'leopard (cephalopholis leopardus)': 2, 'lined bristletooth (ctenochaetus striatus)': 3, 'freckled (paracirrhites forsteri)': 1, 'golden (ctenochaetus truncates)': 2, 'red (lutjanus bohar)': 3, 'moon (thalassoma lunare)': 1, 'redmouth (aethaloperca rogaa)': 2, 'paletail unicorn (naso brevirostris)': 1, 'brown pigmy (centropyge multispinis)': 1, 'sulfur (pomacentrus sulfureus)': 1, 'humpnose bigeye (monotaxis grandoculis)': 1, 'false-eye (abudefduf sparoides)': 8, 'regal (pygoplites diacanthus)': 1, 'queenfish (scomberoides lysan)': 1, 'claudia (halichoeres claudia)': 1, 'blue-streak (labroides dimidiatus)': 1, 'bicolor (labroides bicolor)': 3, 'blacktip (epinephelus fasciatus)': 2, 'trumpetfish (aulostomus chinensis)': 1, 'spotted (chaetodon guttatissimus)': 2, 'black-backed (chaetodon melannotus)': 2, 'longbarbel (parupeneus macronemus)': 1, 'bullethead (chlorurus sordidus)': 1, 'honeycomb (siganus stellatus)': 2, 'barred (hemigymnus fasciatus)': 1, 'red-breasted (cheilinus fasciatus)': 1, 'sixbar (thalassoma hardwicke)': 1, 'axilspot hogfish (bodianus axillaris)': 1, 'blackeye (hemigymnus melapterus)': 1, 'wirenet (cantherhines pardalis)': 1, 'indian redfin (chaetodon trifasciatus)': 1, 'palenose (scarus psittacus)': 1, 'swarthy (scarus niger)': 1, 'five-saddle (scarus saber)': 1, 'black-lipped (chaetodon kleinii)': 1, ""meyer's (chaetodon meyeri)"": 2}","{'pomacentridae': 94, 'balistidae': 5, 'scaridae': 16, 'acanthuridae': 3, 'labridae': 6, 'holocentridae': 5, 'serranidae': 2, 'cirrhitidae': 1, 'lutjanidae': 3, 'pomacanthidae': 1, 'lethrinidae': 1, 'carangidae': 1, 'scombridae': 1, 'muraenidae': 2, 'aulostomidae': 1, 'chaetodontidae': 2, 'mullidae': 1, 'siganidae': 2, 'monacanthidae': 1}",{},{},{},{}
