filename,date,standort,koeder,species_richness,n_taxa_set
20240515-milimani-mackerel.csv,20240515,milimani,mackerel,53,53
20241025-milimani-mackerel.csv,20241025,milimani,mackerel,34,34
20241026-milimani-ulva_gutweed.csv,20241026,milimani,ulva_gutweed,39,39
20241027-milimani-ulva_salad.csv,20241027,milimani,ulva_salad,40,40
20241029-milimani-ulva_gutweed.csv,20241029,milimani,ulva_gutweed,49,49
20241030-milimani-ulva_gutweed.csv,20241030,milimani,ulva_gutweed,46,46
20241105-milimani-ulva_salad.csv,20241105,milimani,ulva_salad,31,31
20241110-milimani-ulva_salad.csv,20241110,milimani,ulva_salad,57,57
20241111-milimani-control.csv,20241111,milimani,control,46,46
20241112-milimani-ulva_salad.csv,20241112,milimani,ulva_salad,43,43
20241114-milimani-control.csv,20241114,milimani,control,36,36
20241115-milimani-control.csv,20241115,milimani,control,45,45
20241124-milimani-mackerel.csv,20241124,milimani,mackerel,59,59
20241127-milimani-sargassum.csv,20241127,milimani,sargassum,44,44
20241128-milimani-sargassum.csv,20241128,milimani,sargassum,46,46
20241129-milimani-sargassum.csv,20241129,milimani,sargassum,46,46
20241210-milimani-fischmix.csv,20241210,milimani,fischmix,47,47
20240106-nursery-mackerel.csv,20240106,nursery,mackerel,29,29
20240108-nursery-control.csv,20240108,nursery,control,29,29
20240223-nursery-mackerel.csv,20240223,nursery,mackerel,34,34
20241126-nursery-mackerel.csv,20241126,nursery,mackerel,41,41
20241204-nursery-algae_strings.csv,20241204,nursery,algae_strings,41,41
20241205-nursery-algae_strings.csv,20241205,nursery,algae_strings,34,34
20241206-nursery-algae_strings.csv,20241206,nursery,algae_strings,36,36
20241208-nursery-algaemix.csv,20241208,nursery,algaemix,43,43
20241209-nursery-algaemix.csv,20241209,nursery,algaemix,42,42
20241210-nursery-algaemix.csv,20241210,nursery,algaemix,34,34
20251212-nursery-mackerel.csv,20251212,nursery,mackerel,36,36
20240516-utumbi-mackerel.csv,20240516,utumbi,mackerel,62,62
20241025-utumbi-ulva_salad.csv,20241025,utumbi,ulva_salad,48,48
20241026-utumbi-mackerel.csv,20241026,utumbi,mackerel,50,50
20241027-utumbi-ulva_salad.csv,20241027,utumbi,ulva_salad,55,55
20241029-utumbi-ulva_gutweed.csv,20241029,utumbi,ulva_gutweed,50,50
20241030-utumbi-ulva_gutweed.csv,20241030,utumbi,ulva_gutweed,54,54
20241105-utumbi-control.csv,20241105,utumbi,control,44,44
20241110-utumbi-ulva_salad.csv,20241110,utumbi,ulva_salad,53,53
20241111-utumbi-control.csv,20241111,utumbi,control,50,50
20241112-utumbi-ulva_gutweed.csv,20241112,utumbi,ulva_gutweed,55,55
20241114-utumbi-control.csv,20241114,utumbi,control,43,43
20241115-utumbi-control.csv,20241115,utumbi,control,54,54
20241124-utumbi-mackerel.csv,20241124,utumbi,mackerel,51,51
20241127-utumbi-sargassum.csv,20241127,utumbi,sargassum,54,54
20241128-utumbi-sargassum.csv,20241128,utumbi,sargassum,61,61
20241129-utumbi-sargassum.csv,20241129,utumbi,sargassum,56,56
20241209-utumbi-fischmix.csv,20241209,utumbi,fischmix,63,63
20241210-utumbi-fischmix.csv,20241210,utumbi,fischmix,52,52
