metric,n,spearman_rho,spearman_p,kendall_tau,kendall_p,pearson_r,pearson_p,spearman_q_bh
maxn_video_peak,46,0.4667499861857232,0.001076080911099781,0.3422675855690056,0.001853042984892649,0.4330149932405567,0.0026488658275836217,0.0016141213666496716
species_richness,46,0.5631503136286102,4.6131972784700506e-05,0.4219123679527383,0.00014458999109938603,0.5674785737678599,3.9114231778123135e-05,0.0001383959183541015
first_seen_median_sec,46,0.15959234612989032,0.28940480600751944,0.11869282030941178,0.27888855910826604,0.05399148088584341,0.7215631467510449,0.28940480600751944
