metric,n,partial_spearman_rho,partial_spearman_p,q_partial_bh
maxn_video_peak,46,0.09224979527053957,0.5420259349451045,0.5420259349451045
species_richness,46,0.1385598095518372,0.3584429609959489,0.5376644414939233
first_seen_median_sec,46,-0.18313642107914424,0.22313138705023658,0.5376644414939233
