site,feature_type,feature,bait_a,bait_b,n_a,n_b,mean_a,mean_b,u_stat,p_value,cliffs_delta,p_value_holm_within_feature,p_value_bh_within_feature,significant_holm_within_feature,significant_bh_within_feature
milimani,unspecific,blennies,control,fischmix,3,1,1.3333333333333333,0.0,3.0,0.3457785861511603,1.0,1.0,0.8644464653779007,False,False
milimani,unspecific,blennies,control,mackerel,3,3,1.3333333333333333,1.3333333333333333,5.0,1.0,0.1111111111111111,1.0,1.0,False,False
milimani,unspecific,blennies,control,sargassum,3,3,1.3333333333333333,0.6666666666666666,7.0,0.3016995824783478,0.5555555555555556,1.0,0.8644464653779007,False,False
milimani,unspecific,blennies,control,ulva_gutweed,3,3,1.3333333333333333,0.3333333333333333,8.0,0.15729920705028502,0.7777777777777778,1.0,0.7864960352514251,False,False
milimani,unspecific,blennies,control,ulva_salad,3,4,1.3333333333333333,1.75,3.5,0.4142161782425252,-0.4166666666666667,1.0,0.869116211228096,False,False
milimani,unspecific,blennies,fischmix,mackerel,1,3,0.0,1.3333333333333333,0.5,0.6373518882339371,-0.6666666666666666,1.0,0.869116211228096,False,False
milimani,unspecific,blennies,fischmix,sargassum,1,3,0.0,0.6666666666666666,0.5,0.6170750774519738,-0.6666666666666666,1.0,0.869116211228096,False,False
milimani,unspecific,blennies,fischmix,ulva_gutweed,1,3,0.0,0.3333333333333333,1.0,1.0,-0.3333333333333333,1.0,1.0,False,False
milimani,unspecific,blennies,fischmix,ulva_salad,1,4,0.0,1.75,0.0,0.2356799134290376,-1.0,1.0,0.8644464653779007,False,False
milimani,unspecific,blennies,mackerel,sargassum,3,3,1.3333333333333333,0.6666666666666666,5.5,0.8136637157667919,0.2222222222222222,1.0,0.938842748961683,False,False
milimani,unspecific,blennies,mackerel,ulva_gutweed,3,3,1.3333333333333333,0.3333333333333333,6.5,0.47950012218695337,0.4444444444444444,1.0,0.869116211228096,False,False
milimani,unspecific,blennies,mackerel,ulva_salad,3,4,1.3333333333333333,1.75,4.5,0.7110254070787286,-0.25,1.0,0.8887817588484107,False,False
milimani,unspecific,blennies,sargassum,ulva_gutweed,3,3,0.6666666666666666,0.3333333333333333,6.0,0.6192567541768621,0.3333333333333333,1.0,0.869116211228096,False,False
milimani,unspecific,blennies,sargassum,ulva_salad,3,4,0.6666666666666666,1.75,1.0,0.08571167175529873,-0.8333333333333334,1.0,0.6428375381647404,False,False
milimani,unspecific,blennies,ulva_gutweed,ulva_salad,3,4,0.3333333333333333,1.75,0.5,0.061368829139402156,-0.9166666666666666,0.9205324370910324,0.6428375381647404,False,False
milimani,unspecific,disk-shaped/colourful,control,fischmix,3,1,2.3333333333333335,3.0,0.5,0.6170750774519738,-0.6666666666666666,1.0,1.0,False,False
milimani,unspecific,disk-shaped/colourful,control,mackerel,3,3,2.3333333333333335,3.0,2.5,0.47950012218695337,-0.4444444444444444,1.0,1.0,False,False
milimani,unspecific,disk-shaped/colourful,control,sargassum,3,3,2.3333333333333335,3.3333333333333335,2.0,0.3457785861511603,-0.5555555555555556,1.0,1.0,False,False
milimani,unspecific,disk-shaped/colourful,control,ulva_gutweed,3,3,2.3333333333333335,2.6666666666666665,3.0,0.6192567541768621,-0.3333333333333333,1.0,1.0,False,False
milimani,unspecific,disk-shaped/colourful,control,ulva_salad,3,4,2.3333333333333335,2.75,4.5,0.693281817504481,-0.25,1.0,1.0,False,False
milimani,unspecific,disk-shaped/colourful,fischmix,mackerel,1,3,3.0,3.0,1.5,1.0,0.0,1.0,1.0,False,False
milimani,unspecific,disk-shaped/colourful,fischmix,sargassum,1,3,3.0,3.3333333333333335,1.0,1.0,-0.3333333333333333,1.0,1.0,False,False
milimani,unspecific,disk-shaped/colourful,fischmix,ulva_gutweed,1,3,3.0,2.6666666666666665,2.0,1.0,0.3333333333333333,1.0,1.0,False,False
milimani,unspecific,disk-shaped/colourful,fischmix,ulva_salad,1,4,3.0,2.75,2.5,1.0,0.25,1.0,1.0,False,False
milimani,unspecific,disk-shaped/colourful,mackerel,sargassum,3,3,3.0,3.3333333333333335,3.5,0.8136637157667919,-0.2222222222222222,1.0,1.0,False,False
milimani,unspecific,disk-shaped/colourful,mackerel,ulva_gutweed,3,3,3.0,2.6666666666666665,5.5,0.8136637157667919,0.2222222222222222,1.0,1.0,False,False
