video_annotation_label_id,label_name,label_hierarchy,unspecific,family,genus,species,interested,feeding,frames
4523681,Peacock Damsel (Pomacentrus pavo),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Peacock Damsel (Pomacentrus pavo),Small Ovals - Damselfishes,Pomacentridae,Pomacentrus,Peacock Damsel (Pomacentrus pavo),,,[259.02084]
4523682,Peacock Damsel (Pomacentrus pavo),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Peacock Damsel (Pomacentrus pavo),Small Ovals - Damselfishes,Pomacentridae,Pomacentrus,Peacock Damsel (Pomacentrus pavo),,,[259.02084]
4523683,Humpback (Lutjanus gibbus),Sloping Heads > Snappers (Lutjanidae) > Humpback (Lutjanus gibbus),Sloping Heads,Lutjanidae,Lutjanus,Humpback (Lutjanus gibbus),,,[304.411401]
4523684,Humpback (Lutjanus gibbus),Sloping Heads > Snappers (Lutjanidae) > Humpback (Lutjanus gibbus),Sloping Heads,Lutjanidae,Lutjanus,Humpback (Lutjanus gibbus),,,[304.411401]
4523685,Humpback (Lutjanus gibbus),Sloping Heads > Snappers (Lutjanidae) > Humpback (Lutjanus gibbus),Sloping Heads,Lutjanidae,Lutjanus,Humpback (Lutjanus gibbus),,,[304.411401]
4523686,Brassy Trevally (Caranx papuensis),Silvery > Jacks/Trevallyes (Carangidae) > Brassy Trevally (Caranx papuensis),Silvery,Carangidae,Caranx,Brassy Trevally (Caranx papuensis),,,[310.742993]
4523687,Brassy Trevally (Caranx papuensis),Silvery > Jacks/Trevallyes (Carangidae) > Brassy Trevally (Caranx papuensis),Silvery,Carangidae,Caranx,Brassy Trevally (Caranx papuensis),,,[310.742993]
4523688,Brassy Trevally (Caranx papuensis),Silvery > Jacks/Trevallyes (Carangidae) > Brassy Trevally (Caranx papuensis),Silvery,Carangidae,Caranx,Brassy Trevally (Caranx papuensis),,,[310.742993]
4523689,Paletail Unicorn (Naso brevirostris),Large Ovals > Surgeonfishes (Acanthuridae) > Paletail Unicorn (Naso brevirostris),Large Ovals,Acanthuridae,Naso,Paletail Unicorn (Naso brevirostris),,,[324.031089]
4523690,Humpback (Lutjanus gibbus),Sloping Heads > Snappers (Lutjanidae) > Humpback (Lutjanus gibbus),Sloping Heads,Lutjanidae,Lutjanus,Humpback (Lutjanus gibbus),,,[347.27374]
4523691,Humpback (Lutjanus gibbus),Sloping Heads > Snappers (Lutjanidae) > Humpback (Lutjanus gibbus),Sloping Heads,Lutjanidae,Lutjanus,Humpback (Lutjanus gibbus),,,[347.27374]
4523692,Humpback (Lutjanus gibbus),Sloping Heads > Snappers (Lutjanidae) > Humpback (Lutjanus gibbus),Sloping Heads,Lutjanidae,Lutjanus,Humpback (Lutjanus gibbus),,,[347.27374]
4523693,Humpback (Lutjanus gibbus),Sloping Heads > Snappers (Lutjanidae) > Humpback (Lutjanus gibbus),Sloping Heads,Lutjanidae,Lutjanus,Humpback (Lutjanus gibbus),,,[347.27374]
4523694,Humpback (Lutjanus gibbus),Sloping Heads > Snappers (Lutjanidae) > Humpback (Lutjanus gibbus),Sloping Heads,Lutjanidae,Lutjanus,Humpback (Lutjanus gibbus),,,[347.27374]
4523695,Threespot Dascyllus (Dascyllus trimaculatus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Threespot Dascyllus (Dascyllus trimaculatus),Small Ovals - Damselfishes,Pomacentridae,Dascyllus,Threespot Dascyllus (Dascyllus trimaculatus),,,[417.662138]
4523696,Threespot Dascyllus (Dascyllus trimaculatus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Threespot Dascyllus (Dascyllus trimaculatus),Small Ovals - Damselfishes,Pomacentridae,Dascyllus,Threespot Dascyllus (Dascyllus trimaculatus),,,[417.662138]
4523697,Threadfin (Chaetodon auriga),Disk-shaped/Colourful > Butterflyfishes (Chaetodontidae) > Threadfin (Chaetodon auriga),Disk-shaped/Colourful,Chaetodontidae,Chaetodon,Threadfin (Chaetodon auriga),,,[460.961817]
4523698,Monk (Acanthurus gahhm),Large Ovals > Surgeonfishes (Acanthuridae) > Monk (Acanthurus gahhm),Large Ovals,Acanthuridae,Acanthurus,Monk (Acanthurus gahhm),,,[483.550163]
4523699,Speckled (Parapercis hexophthalma),Elongate Sand & Burrow Dwellers > Sandperches (Pinguipedidae) > Speckled (Parapercis hexophthalma),Elongate Sand & Burrow Dwellers,Pinguipedidae,Parapercis,Speckled (Parapercis hexophthalma),,,[95.014733]
