endpoint,n_videos,n_fish,n_algae,beta_fish_vs_algae,se,ci95_low,ci95_high,p_value,q_bh,q_holm,pct_change_fish_vs_algae,random_intercept_variance_site,residual_variance,converged
species_richness,38,13,25,-0.024034571106222244,0.049942406049589,-0.12192168696341668,0.0738525447509722,0.6303418423488512,0.6303418423488512,0.6303418423488512,-2.374804093566322,0.015924149618107692,0.01667117201464702,True
maxn_video_peak,38,13,25,-0.31982723761627496,0.21194718801631607,-0.7352437261282545,0.09558925089570453,0.13130007183634884,0.19695010775452326,0.2626001436726977,-27.372550085047298,1.5609166823067336e-10,0.42364651727095515,True
first_seen_median_sec,38,13,25,-0.4665410741127107,0.12246042940691096,-0.7065635157502561,-0.2265186324751652,0.00013911908374178932,0.00041735725122536796,0.00041735725122536796,-37.28321520612678,0.11509149127425096,0.09916246410218327,True
