filename,standort,koeder,bait_type,visibility_mean,endpoint,value,y_log,visibility_z
20241110-milimani-ulva_salad.csv,milimani,ulva_salad,algae,7.0,first_seen_median_sec,408.9621283,6.016064785431983,-0.7405697210373806
20241110-utumbi-ulva_salad.csv,utumbi,ulva_salad,algae,7.0,species_richness,52.0,3.970291913552122,-0.7405697210373806
20241110-utumbi-ulva_salad.csv,utumbi,ulva_salad,algae,7.0,maxn_video_peak,87.0,4.477336814478207,-0.7405697210373806
20241110-utumbi-ulva_salad.csv,utumbi,ulva_salad,algae,7.0,first_seen_median_sec,621.45146545,6.433665658150672,-0.7405697210373806
20241112-milimani-ulva_salad.csv,milimani,ulva_salad,algae,10.0,species_richness,43.0,3.784189633918261,0.013224459304238868
20241112-milimani-ulva_salad.csv,milimani,ulva_salad,algae,10.0,maxn_video_peak,123.0,4.820281565605037,0.013224459304238868
20241112-milimani-ulva_salad.csv,milimani,ulva_salad,algae,10.0,first_seen_median_sec,535.1086171,6.284336784384595,0.013224459304238868
20241112-utumbi-ulva_gutweed.csv,utumbi,ulva_gutweed,algae,10.0,species_richness,55.0,4.02535169073515,0.013224459304238868
20241112-utumbi-ulva_gutweed.csv,utumbi,ulva_gutweed,algae,10.0,maxn_video_peak,66.0,4.204692619390966,0.013224459304238868
20241112-utumbi-ulva_gutweed.csv,utumbi,ulva_gutweed,algae,10.0,first_seen_median_sec,446.359034,6.103361480268296,0.013224459304238868
20241124-milimani-mackerel.csv,milimani,mackerel,fish,7.0,species_richness,57.0,4.060443010546419,-0.7405697210373806
20241124-milimani-mackerel.csv,milimani,mackerel,fish,7.0,maxn_video_peak,40.0,3.713572066704308,-0.7405697210373806
20241124-milimani-mackerel.csv,milimani,mackerel,fish,7.0,first_seen_median_sec,388.5472273,5.964985109051626,-0.7405697210373806
20241124-utumbi-mackerel.csv,utumbi,mackerel,fish,12.0,species_richness,50.0,3.9318256327243257,0.5157539128653186
20241124-utumbi-mackerel.csv,utumbi,mackerel,fish,12.0,maxn_video_peak,94.0,4.553876891600541,0.5157539128653186
20241124-utumbi-mackerel.csv,utumbi,mackerel,fish,12.0,first_seen_median_sec,461.32443325,6.1362668811009415,0.5157539128653186
20241126-nursery-mackerel.csv,nursery,mackerel,fish,6.0,species_richness,41.0,3.7376696182833684,-0.9918344478179204
20241126-nursery-mackerel.csv,nursery,mackerel,fish,6.0,maxn_video_peak,30.0,3.4339872044851463,-0.9918344478179204
20241126-nursery-mackerel.csv,nursery,mackerel,fish,6.0,first_seen_median_sec,121.159542,4.805327911721947,-0.9918344478179204
20241127-milimani-sargassum.csv,milimani,sargassum,algae,10.0,species_richness,43.0,3.784189633918261,0.013224459304238868
20241127-milimani-sargassum.csv,milimani,sargassum,algae,10.0,maxn_video_peak,42.0,3.7612001156935624,0.013224459304238868
20241127-milimani-sargassum.csv,milimani,sargassum,algae,10.0,first_seen_median_sec,510.184661248336,6.2367308972304,0.013224459304238868
20241127-utumbi-sargassum.csv,utumbi,sargassum,algae,10.0,species_richness,54.0,4.007333185232471,0.013224459304238868
20241127-utumbi-sargassum.csv,utumbi,sargassum,algae,10.0,maxn_video_peak,54.0,4.007333185232471,0.013224459304238868
20241127-utumbi-sargassum.csv,utumbi,sargassum,algae,10.0,first_seen_median_sec,424.67798564449726,6.053683158188253,0.013224459304238868
20241128-milimani-sargassum.csv,milimani,sargassum,algae,10.0,species_richness,46.0,3.8501476017100584,0.013224459304238868
20241128-milimani-sargassum.csv,milimani,sargassum,algae,10.0,maxn_video_peak,171.0,5.147494476813453,0.013224459304238868
20241128-milimani-sargassum.csv,milimani,sargassum,algae,10.0,first_seen_median_sec,327.1720629,5.793538052851296,0.013224459304238868
20241128-utumbi-sargassum.csv,utumbi,sargassum,algae,10.0,species_richness,61.0,4.127134385045092,0.013224459304238868
20241128-utumbi-sargassum.csv,utumbi,sargassum,algae,10.0,maxn_video_peak,62.0,4.143134726391533,0.013224459304238868
20241128-utumbi-sargassum.csv,utumbi,sargassum,algae,10.0,first_seen_median_sec,409.4634603,6.017286912263142,0.013224459304238868
20241129-milimani-sargassum.csv,milimani,sargassum,algae,15.0,species_richness,46.0,3.8501476017100584,1.269548093206938
20241129-milimani-sargassum.csv,milimani,sargassum,algae,15.0,maxn_video_peak,129.0,4.867534450455582,1.269548093206938
20241129-milimani-sargassum.csv,milimani,sargassum,algae,15.0,first_seen_median_sec,470.855252,6.156672269061326,1.269548093206938
20241129-utumbi-sargassum.csv,utumbi,sargassum,algae,15.0,species_richness,56.0,4.04305126783455,1.269548093206938
20241129-utumbi-sargassum.csv,utumbi,sargassum,algae,15.0,maxn_video_peak,34.0,3.5553480614894135,1.269548093206938
20241129-utumbi-sargassum.csv,utumbi,sargassum,algae,15.0,first_seen_median_sec,412.6892231000001,6.0251150230918,1.269548093206938
20241204-nursery-algae_strings.csv,nursery,algae_strings,algae,5.0,species_richness,38.0,3.6635616461296463,-1.2430991745984603
20241204-nursery-algae_strings.csv,nursery,algae_strings,algae,5.0,maxn_video_peak,23.0,3.1780538303479458,-1.2430991745984603
20241204-nursery-algae_strings.csv,nursery,algae_strings,algae,5.0,first_seen_median_sec,384.38582,5.954244962360992,-1.2430991745984603
20241205-nursery-algae_strings.csv,nursery,algae_strings,algae,5.0,species_richness,34.0,3.5553480614894135,-1.2430991745984603
20241205-nursery-algae_strings.csv,nursery,algae_strings,algae,5.0,maxn_video_peak,14.0,2.70805020110221,-1.2430991745984603
20241205-nursery-algae_strings.csv,nursery,algae_strings,algae,5.0,first_seen_median_sec,222.5204925,5.409503098888472,-1.2430991745984603
20241206-nursery-algae_strings.csv,nursery,algae_strings,algae,5.0,species_richness,35.0,3.58351893845611,-1.2430991745984603
20241206-nursery-algae_strings.csv,nursery,algae_strings,algae,5.0,maxn_video_peak,23.0,3.1780538303479458,-1.2430991745984603
20241206-nursery-algae_strings.csv,nursery,algae_strings,algae,5.0,first_seen_median_sec,252.4745,5.535263226255576,-1.2430991745984603
20241208-nursery-algaemix.csv,nursery,algaemix,algae,5.0,species_richness,43.0,3.784189633918261,-1.2430991745984603
20241208-nursery-algaemix.csv,nursery,algaemix,algae,5.0,maxn_video_peak,43.0,3.784189633918261,-1.2430991745984603
20241208-nursery-algaemix.csv,nursery,algaemix,algae,5.0,first_seen_median_sec,433.3108554,6.073760534393035,-1.2430991745984603
20241209-nursery-algaemix.csv,nursery,algaemix,algae,6.0,species_richness,41.0,3.7376696182833684,-0.9918344478179204
20241209-nursery-algaemix.csv,nursery,algaemix,algae,6.0,maxn_video_peak,45.0,3.828641396489095,-0.9918344478179204
20241209-nursery-algaemix.csv,nursery,algaemix,algae,6.0,first_seen_median_sec,230.6871168,5.4453878269576,-0.9918344478179204
20241209-utumbi-fischmix.csv,utumbi,fischmix,fish,17.0,species_richness,60.0,4.110873864173311,1.7720775467680177
20241209-utumbi-fischmix.csv,utumbi,fischmix,fish,17.0,maxn_video_peak,49.0,3.912023005428146,1.7720775467680177
20241209-utumbi-fischmix.csv,utumbi,fischmix,fish,17.0,first_seen_median_sec,415.5690528,6.032052240901965,1.7720775467680177
20241210-milimani-fischmix.csv,milimani,fischmix,fish,15.0,species_richness,45.0,3.828641396489095,1.269548093206938
20241210-milimani-fischmix.csv,milimani,fischmix,fish,15.0,maxn_video_peak,56.0,4.04305126783455,1.269548093206938
20241210-milimani-fischmix.csv,milimani,fischmix,fish,15.0,first_seen_median_sec,109.1312047,4.701672425007426,1.269548093206938
20241210-nursery-algaemix.csv,nursery,algaemix,algae,5.0,species_richness,33.0,3.5263605246161616,-1.2430991745984603
20241210-nursery-algaemix.csv,nursery,algaemix,algae,5.0,maxn_video_peak,21.0,3.091042453358316,-1.2430991745984603
20241210-nursery-algaemix.csv,nursery,algaemix,algae,5.0,first_seen_median_sec,288.776395,5.6691095738431105,-1.2430991745984603
20241210-utumbi-fischmix.csv,utumbi,fischmix,fish,15.0,species_richness,52.0,3.970291913552122,1.269548093206938
20241210-utumbi-fischmix.csv,utumbi,fischmix,fish,15.0,maxn_video_peak,27.0,3.332204510175204,1.269548093206938
20241210-utumbi-fischmix.csv,utumbi,fischmix,fish,15.0,first_seen_median_sec,383.33365955,5.951511080386365,1.269548093206938
20251212-nursery-mackerel.csv,nursery,mackerel,fish,5.0,species_richness,36.0,3.6109179126442243,-1.2430991745984603
20251212-nursery-mackerel.csv,nursery,mackerel,fish,5.0,maxn_video_peak,11.0,2.4849066497880004,-1.2430991745984603
20251212-nursery-mackerel.csv,nursery,mackerel,fish,5.0,first_seen_median_sec,173.662391,5.162854916345683,-1.2430991745984603
