feature,best_side,indval,p_perm,fish_score,algae_score,fish_specificity,algae_specificity,fish_fidelity,algae_fidelity,mean_fish,mean_algae,feature_type,p_bh,sig_bh
wrasses,fish,68.75923190546528,0.0033333333333333335,68.75923190546528,31.240768094534708,0.6875923190546529,0.3124076809453471,1.0,1.0,5.444444444444445,2.473684210526316,word_group,0.030000000000000002,True
triggerfishes,fish,68.45180136319377,0.0033333333333333335,68.45180136319377,31.548198636806234,0.6845180136319376,0.31548198636806235,1.0,1.0,4.111111111111111,1.894736842105263,word_group,0.030000000000000002,True
surgeonfishes,fish,79.54545454545455,0.013333333333333334,79.54545454545455,20.454545454545453,0.7954545454545454,0.20454545454545453,1.0,1.0,15.555555555555555,4.0,word_group,0.08,False
snappers,fish,62.8099173553719,0.02,62.8099173553719,29.360591561548507,0.628099173553719,0.37190082644628103,1.0,0.7894736842105263,1.7777777777777777,1.0526315789473684,word_group,0.09,False
groupers_large,fish,60.12658227848101,0.04,60.12658227848101,39.87341772151898,0.6012658227848101,0.39873417721518983,1.0,1.0,2.2222222222222223,1.4736842105263157,word_group,0.144,False
trumpetfishes,algae,53.684210526315795,0.17,22.22222222222222,53.684210526315795,0.4,0.6000000000000001,0.5555555555555556,0.8947368421052632,0.6666666666666666,1.0,word_group,0.495,False
goatfishes,algae,62.177985948477755,0.21666666666666667,37.822014051522245,62.177985948477755,0.37822014051522246,0.6217798594847775,1.0,1.0,1.8888888888888888,3.1052631578947367,word_group,0.495,False
angelfishes,algae,56.00578871201159,0.22,43.99421128798843,56.00578871201159,0.4399421128798843,0.5600578871201158,1.0,1.0,1.7777777777777777,2.263157894736842,word_group,0.495,False
elongate_sand_burrow_dwellers,fish,28.33706189410887,0.3333333333333333,28.33706189410887,9.537265983751324,0.6375838926174496,0.3624161073825503,0.4444444444444444,0.2631578947368421,0.5555555555555556,0.3157894736842105,word_group,0.6666666666666666,False
filefishes,algae,34.736842105263165,0.52,22.22222222222222,34.736842105263165,0.4,0.6000000000000001,0.5555555555555556,0.5789473684210527,0.6666666666666666,1.0,word_group,0.82875,False
emperors,algae,50.25827167387966,0.53,31.358679634541698,50.25827167387966,0.403183023872679,0.596816976127321,0.7777777777777778,0.8421052631578947,1.7777777777777777,2.6315789473684212,word_group,0.82875,False
parrotfishes,algae,61.12929623567922,0.5766666666666667,38.870703764320794,61.12929623567922,0.3887070376432079,0.6112929623567922,1.0,1.0,8.333333333333334,13.105263157894736,word_group,0.82875,False
moorish_idol,fish,41.49268058555316,0.6133333333333333,41.49268058555316,31.919972717972037,0.5334773218142549,0.46652267818574517,0.7777777777777778,0.6842105263157895,1.4444444444444444,1.263157894736842,word_group,0.82875,False
rabbitfishes,algae,36.55035593418134,0.7,28.08573540280857,36.55035593418134,0.4212860310421286,0.5787139689578713,0.6666666666666666,0.631578947368421,1.1111111111111112,1.5263157894736843,word_group,0.82875,False
small_ovals_damselfishes,fish,52.33193194766413,0.7166666666666667,52.33193194766413,47.66806805233586,0.5233193194766413,0.4766806805233586,1.0,1.0,77.88888888888889,70.94736842105263,word_group,0.82875,False
blennies,fish,37.924151696606785,0.7366666666666667,37.924151696606785,29.49889694295619,0.5688622754491018,0.43113772455089816,0.6666666666666666,0.6842105263157895,1.1111111111111112,0.8421052631578947,word_group,0.82875,False
butterflyfishes,fish,51.35135135135135,0.82,51.35135135135135,48.64864864864865,0.5135135135135135,0.4864864864864865,1.0,1.0,2.3333333333333335,2.210526315789474,word_group,0.868235294117647,False
hawkfishes,algae,33.28591749644381,0.9966666666666667,28.52852852852853,33.28591749644381,0.5135135135135135,0.48648648648648646,0.5555555555555556,0.6842105263157895,0.7777777777777778,0.7368421052631579,word_group,0.9966666666666667,False
