feature,best_side,indval,p_perm,fish_score,algae_score,fish_specificity,algae_specificity,fish_fidelity,algae_fidelity,mean_fish,mean_algae,feature_type,p_bh,sig_bh
balistapus,fish,68.45180136319377,0.0033333333333333335,68.45180136319377,31.548198636806234,0.6845180136319376,0.31548198636806235,1.0,1.0,4.111111111111111,1.894736842105263,genus,0.05000000000000001,False
aethaloperca,fish,60.94339622641509,0.0033333333333333335,60.94339622641509,39.056603773584904,0.6094339622641509,0.390566037735849,1.0,1.0,1.8888888888888888,1.2105263157894737,genus,0.05000000000000001,False
labroides,fish,59.531332280147446,0.0033333333333333335,59.531332280147446,11.112496882015463,0.7654028436018957,0.23459715639810427,0.7777777777777778,0.47368421052631576,1.8888888888888888,0.5789473684210527,genus,0.05000000000000001,False
cephalopholis,fish,66.43356643356643,0.006666666666666667,66.43356643356643,26.49981597350018,0.6643356643356643,0.3356643356643356,1.0,0.7894736842105263,1.6666666666666667,0.8421052631578947,genus,0.06000000000000001,False
thalassoma,fish,65.51724137931035,0.006666666666666667,65.51724137931035,34.48275862068966,0.6551724137931035,0.3448275862068966,1.0,1.0,4.0,2.1052631578947367,genus,0.06000000000000001,False
amblyglyphidodon,fish,68.59205776173285,0.02,68.59205776173285,29.754892646779396,0.6859205776173285,0.31407942238267145,1.0,0.9473684210526315,6.666666666666667,3.0526315789473686,genus,0.1,False
chlorurus,algae,67.36196319018404,0.02,29.011588275391947,67.36196319018404,0.32638036809815946,0.6736196319018405,0.8888888888888888,1.0,1.5555555555555556,3.210526315789474,genus,0.1,False
lutjanus,fish,62.8099173553719,0.02,62.8099173553719,29.360591561548507,0.628099173553719,0.37190082644628103,1.0,0.7894736842105263,1.7777777777777777,1.0526315789473684,genus,0.1,False
abudefduf,fish,61.702621201577365,0.02,61.702621201577365,7.614547851884408,0.7933194154488518,0.20668058455114824,0.7777777777777778,0.3684210526315789,2.2222222222222223,0.5789473684210527,genus,0.1,False
heniochus,fish,44.91725768321513,0.02666666666666667,44.91725768321513,3.0235162374020157,0.8085106382978723,0.19148936170212766,0.5555555555555556,0.15789473684210525,0.8888888888888888,0.21052631578947367,genus,0.12000000000000002,False
zebrasoma,fish,78.47002229261997,0.03333333333333333,78.47002229261997,10.487411771244375,0.8827877507919747,0.11721224920802535,0.8888888888888888,0.8947368421052632,14.666666666666666,1.9473684210526316,genus,0.13636363636363635,False
naso,fish,69.57746478873239,0.043333333333333335,69.57746478873239,24.017790956263898,0.6957746478873239,0.30422535211267604,1.0,0.7894736842105263,2.888888888888889,1.263157894736842,genus,0.1625,False
caranx,fish,52.13882163034706,0.05333333333333334,52.13882163034706,5.734675672231425,0.7820823244552059,0.2179176755447942,0.6666666666666666,0.2631578947368421,1.8888888888888888,0.5263157894736842,genus,0.18461538461538465,False
chromis,fish,41.414421492059084,0.06333333333333334,41.414421492059084,6.698431924814114,0.7454595868570636,0.25454041314293635,0.5555555555555556,0.2631578947368421,31.444444444444443,10.736842105263158,genus,0.20357142857142857,False
epinephelus,fish,35.933806146572095,0.07,35.933806146572095,2.015677491601344,0.8085106382978723,0.19148936170212766,0.4444444444444444,0.10526315789473684,0.4444444444444444,0.10526315789473684,genus,0.21000000000000002,False
centropyge,algae,59.9025974025974,0.10333333333333333,35.642135642135635,59.9025974025974,0.4009740259740259,0.599025974025974,0.8888888888888888,1.0,1.4444444444444444,2.1578947368421053,genus,0.290625,False
gomphosus,fish,57.06713780918727,0.15,57.06713780918727,42.93286219081272,0.5706713780918727,0.4293286219081272,1.0,1.0,1.8888888888888888,1.4210526315789473,genus,0.39705882352941174,False
aulostomus,algae,53.684210526315795,0.17,22.22222222222222,53.684210526315795,0.4,0.6000000000000001,0.5555555555555556,0.8947368421052632,0.6666666666666666,1.0,genus,0.42000000000000004,False
scarus,algae,50.73772296850914,0.18333333333333332,22.082752208275224,50.73772296850914,0.397489539748954,0.602510460251046,0.5555555555555556,0.8421052631578947,0.5555555555555556,0.8421052631578947,genus,0.42000000000000004,False
genus naso,algae,42.678478374153215,0.18666666666666668,12.541254125412543,42.678478374153215,0.3762376237623763,0.6237623762376239,0.3333333333333333,0.6842105263157895,0.4444444444444444,0.7368421052631579,genus,0.42000000000000004,False
hemigymnus,fish,56.65137614678899,0.24333333333333335,56.65137614678899,43.34862385321101,0.5665137614678899,0.4334862385321101,1.0,1.0,1.4444444444444444,1.105263157894737,genus,0.5214285714285715,False
lethrinus,algae,32.223415682062296,0.26666666666666666,8.616780045351474,32.223415682062296,0.3877551020408163,0.6122448979591837,0.2222222222222222,0.5263157894736842,0.3333333333333333,0.5263157894736842,genus,0.5454545454545454,False
parapercis,fish,28.33706189410887,0.3333333333333333,28.33706189410887,9.537265983751324,0.6375838926174496,0.3624161073825503,0.4444444444444444,0.2631578947368421,0.5555555555555556,0.3157894736842105,genus,0.6521739130434783,False
cheilinus,fish,48.60111910471622,0.36333333333333334,48.60111910471622,31.010980689132904,0.5467625899280575,0.4532374100719424,0.8888888888888888,0.6842105263157895,0.8888888888888888,0.7368421052631579,genus,0.68125,False
parupeneus,algae,58.214747736093145,0.43333333333333335,41.785252263906855,58.214747736093145,0.4178525226390685,0.5821474773609314,1.0,1.0,1.8888888888888888,2.6315789473684212,genus,0.78,False
cantherhines,algae,30.060728744939272,0.49,12.179487179487177,30.060728744939272,0.36538461538461536,0.6346153846153847,0.3333333333333333,0.47368421052631576,0.3333333333333333,0.5789473684210527,genus,0.832258064516129,False
oxymonacanthus,algae,20.66985645933014,0.5166666666666667,7.6767676767676765,20.66985645933014,0.34545454545454546,0.6545454545454545,0.2222222222222222,0.3157894736842105,0.3333333333333333,0.631578947368421,genus,0.832258064516129,False
ctenochaetus,fish,51.771117166212534,0.5433333333333333,51.771117166212534,45.69052057937759,0.5177111716621253,0.4822888283378746,1.0,0.9473684210526315,3.3333333333333335,3.1052631578947367,genus,0.832258064516129,False
pygoplites,fish,52.33050847457626,0.57,52.33050847457626,45.16057091882248,0.5233050847457626,0.4766949152542373,1.0,0.9473684210526315,1.4444444444444444,1.3157894736842106,genus,0.832258064516129,False
pycnochromis,fish,54.60132890365449,0.5733333333333334,54.60132890365449,45.39867109634552,0.5460132890365449,0.45398671096345516,1.0,1.0,57.666666666666664,47.94736842105263,genus,0.832258064516129,False
monotaxis,algae,47.95563288386255,0.5733333333333334,30.5325987144169,47.95563288386255,0.3925619834710744,0.6074380165289256,0.7777777777777778,0.7894736842105263,1.6666666666666667,2.5789473684210527,genus,0.832258064516129,False
zanclus,fish,41.49268058555316,0.6133333333333333,41.49268058555316,31.919972717972037,0.5334773218142549,0.46652267818574517,0.7777777777777778,0.6842105263157895,1.4444444444444444,1.263157894736842,genus,0.8624999999999999,False
halichoeres,algae,48.58299595141701,0.6466666666666666,37.8917378917379,48.58299595141701,0.4871794871794872,0.5128205128205129,0.7777777777777778,0.9473684210526315,1.0,1.0526315789473684,genus,0.8818181818181817,False
oxycheilinus,algae,30.892448512585812,0.6833333333333333,18.35748792270531,30.892448512585812,0.41304347826086957,0.5869565217391305,0.4444444444444444,0.5263157894736842,0.4444444444444444,0.631578947368421,genus,0.9044117647058824,False
