video_annotation_label_id,label_name,label_hierarchy,unspecific,family,genus,species,interested,feeding,frames,time_sec_local,time_sec_local_first,time_sec_local_last,time_sec_local_max,included_47min,is_short_control_nursery,is_split_video,frames_kept_47min,frame_count_raw,frame_count_kept_47min
3401489,Black-backed (Chaetodon melannotus),Disk-shaped/Colourful > Butterflyfishes (Chaetodontidae) > Black-backed (Chaetodon melannotus),Disk-shaped/Colourful,Chaetodontidae,Chaetodon,Black-backed (Chaetodon melannotus),,,[840.6754778],[840.675478],840.675478,840.675478,840.675478,TRUE,FALSE,FALSE,[840.675478],1,1
3401490,Puffers (Tetraodontidae),Odd-shaped Swimmers > Puffers (Tetraodontidae),Odd-shaped Swimmers,Tetraodontidae,,,,,[894.5196159],[894.519616],894.519616,894.519616,894.519616,TRUE,FALSE,FALSE,[894.519616],1,1
3401491,Genus Naso,Large Ovals > Surgeonfishes (Acanthuridae) > Genus Naso,Large Ovals,Acanthuridae,Genus Naso,,,,[1026.0294697],[1026.029470],1026.029470,1026.029470,1026.029470,TRUE,FALSE,FALSE,[1026.029470],1,1
3401496,Mozambique Fangblenny (Meiacanthus mossambicus),Blennies > Blennies (Blenniidae) > Mozambique Fangblenny (Meiacanthus mossambicus),Blennies,Blenniidae,Meiacanthus,Mozambique Fangblenny (Meiacanthus mossambicus),,,[1214.2151438],[1214.215144],1214.215144,1214.215144,1214.215144,TRUE,FALSE,FALSE,[1214.215144],1,1
3401497,Paletail Unicorn (Naso brevirostris),Large Ovals > Surgeonfishes (Acanthuridae) > Paletail Unicorn (Naso brevirostris),Large Ovals,Acanthuridae,Naso,Paletail Unicorn (Naso brevirostris),,,[1272.8568601],[1272.856860],1272.856860,1272.856860,1272.856860,TRUE,FALSE,FALSE,[1272.856860],1,1
3401498,Disappearing (Pseudocheilinus evanidus),Wrasses > Wrasses (Labridae) > Disappearing (Pseudocheilinus evanidus),Wrasses,Labridae,Pseudocheilinus,Disappearing (Pseudocheilinus evanidus),,,[1367.7728433],[1367.772843],1367.772843,1367.772843,1367.772843,TRUE,FALSE,FALSE,[1367.772843],1,1
3401499,Peacock (Cephalopholis argus),Heavy Bodies/Large Lips > Groupers (Serranidae) > Peacock (Cephalopholis argus),Heavy Bodies/Large Lips,Serranidae,Cephalopholis,Peacock (Cephalopholis argus),,,[1421.551398],[1421.551398],1421.551398,1421.551398,1421.551398,TRUE,FALSE,FALSE,[1421.551398],1,1
3401500,Chevroned (Chaetodon trifascialis),Disk-shaped/Colourful > Butterflyfishes (Chaetodontidae) > Chevroned (Chaetodon trifascialis),Disk-shaped/Colourful,Chaetodontidae,Chaetodon,Chevroned (Chaetodon trifascialis),,,[1423.6640461],[1423.664046],1423.664046,1423.664046,1423.664046,TRUE,FALSE,FALSE,[1423.664046],1,1
3401501,Parrotfishes (Scaridae),Parrotfishes > Parrotfishes (Scaridae),Parrotfishes,Scaridae,,,,,[1429.6209983],[1429.620998],1429.620998,1429.620998,1429.620998,TRUE,FALSE,FALSE,[1429.620998],1,1
3401502,Parrotfishes (Scaridae),Parrotfishes > Parrotfishes (Scaridae),Parrotfishes,Scaridae,,,,,[1429.6209983],[1429.620998],1429.620998,1429.620998,1429.620998,TRUE,FALSE,FALSE,[1429.620998],1,1
3401503,Mozambique Fangblenny (Meiacanthus mossambicus),Blennies > Blennies (Blenniidae) > Mozambique Fangblenny (Meiacanthus mossambicus),Blennies,Blenniidae,Meiacanthus,Mozambique Fangblenny (Meiacanthus mossambicus),,,[1550.5180525],[1550.518053],1550.518053,1550.518053,1550.518053,TRUE,FALSE,FALSE,[1550.518053],1,1
3401504,Mozambique Fangblenny (Meiacanthus mossambicus),Blennies > Blennies (Blenniidae) > Mozambique Fangblenny (Meiacanthus mossambicus),Blennies,Blenniidae,Meiacanthus,Mozambique Fangblenny (Meiacanthus mossambicus),,,[1550.5180525],[1550.518053],1550.518053,1550.518053,1550.518053,TRUE,FALSE,FALSE,[1550.518053],1,1
3401505,Redmouth (Aethaloperca rogaa),Heavy Bodies/Large Lips > Groupers (Serranidae) > Redmouth (Aethaloperca rogaa),Heavy Bodies/Large Lips,Serranidae,Aethaloperca,Redmouth (Aethaloperca rogaa),,,[1602.8381608],[1602.838161],1602.838161,1602.838161,1602.838161,TRUE,FALSE,FALSE,[1602.838161],1,1
3401506,Disappearing (Pseudocheilinus evanidus),Wrasses > Wrasses (Labridae) > Disappearing (Pseudocheilinus evanidus),Wrasses,Labridae,Pseudocheilinus,Disappearing (Pseudocheilinus evanidus),,,[2107.5327467],[2107.532747],2107.532747,2107.532747,2107.532747,TRUE,FALSE,FALSE,[2107.532747],1,1
3401507,Disappearing (Pseudocheilinus evanidus),Wrasses > Wrasses (Labridae) > Disappearing (Pseudocheilinus evanidus),Wrasses,Labridae,Pseudocheilinus,Disappearing (Pseudocheilinus evanidus),,,[2107.5327467],[2107.532747],2107.532747,2107.532747,2107.532747,TRUE,FALSE,FALSE,[2107.532747],1,1
3401510,Speckled (Parapercis hexophthalma),Elongate Sand & Burrow Dwellers > Sandperches (Pinguipedidae) > Speckled (Parapercis hexophthalma),Elongate Sand & Burrow Dwellers,Pinguipedidae,Parapercis,Speckled (Parapercis hexophthalma),,,[2196.1386188],[2196.138619],2196.138619,2196.138619,2196.138619,TRUE,FALSE,FALSE,[2196.138619],1,1
3401511,Paletail Unicorn (Naso brevirostris),Large Ovals > Surgeonfishes (Acanthuridae) > Paletail Unicorn (Naso brevirostris),Large Ovals,Acanthuridae,Naso,Paletail Unicorn (Naso brevirostris),,,[2270.2871568],[2270.287157],2270.287157,2270.287157,2270.287157,TRUE,FALSE,FALSE,[2270.287157],1,1
3401512,Paletail Unicorn (Naso brevirostris),Large Ovals > Surgeonfishes (Acanthuridae) > Paletail Unicorn (Naso brevirostris),Large Ovals,Acanthuridae,Naso,Paletail Unicorn (Naso brevirostris),,,[2270.2871568],[2270.287157],2270.287157,2270.287157,2270.287157,TRUE,FALSE,FALSE,[2270.287157],1,1
3401513,Speckled (Parapercis hexophthalma),Elongate Sand & Burrow Dwellers > Sandperches (Pinguipedidae) > Speckled (Parapercis hexophthalma),Elongate Sand & Burrow Dwellers,Pinguipedidae,Parapercis,Speckled (Parapercis hexophthalma),,,[2275.9920553],[2275.992055],2275.992055,2275.992055,2275.992055,TRUE,FALSE,FALSE,[2275.992055],1,1
3401514,Speckled (Parapercis hexophthalma),Elongate Sand & Burrow Dwellers > Sandperches (Pinguipedidae) > Speckled (Parapercis hexophthalma),Elongate Sand & Burrow Dwellers,Pinguipedidae,Parapercis,Speckled (Parapercis hexophthalma),,,[2275.9920553],[2275.992055],2275.992055,2275.992055,2275.992055,TRUE,FALSE,FALSE,[2275.992055],1,1
3401515,Slingjaw (Epibulus insidiator),Wrasses > Wrasses (Labridae) > Slingjaw (Epibulus insidiator),Wrasses,Labridae,Epibulus,Slingjaw (Epibulus insidiator),,,[2383.3193722],[2383.319372],2383.319372,2383.319372,2383.319372,TRUE,FALSE,FALSE,[2383.319372],1,1
3401516,Bird wrasse (Gomphosus caeruleus),Wrasses > Wrasses (Labridae) > Bird wrasse (Gomphosus caeruleus),Wrasses,Labridae,Gomphosus,Bird wrasse (Gomphosus caeruleus),,,[2585.3411749],[2585.341175],2585.341175,2585.341175,2585.341175,TRUE,FALSE,FALSE,[2585.341175],1,1
3401518,Eclipse (Chaetodon bennetti),Disk-shaped/Colourful > Butterflyfishes (Chaetodontidae) > Eclipse (Chaetodon bennetti),Disk-shaped/Colourful,Chaetodontidae,Chaetodon,Eclipse (Chaetodon bennetti),,,[2639.2303423],[2639.230342],2639.230342,2639.230342,2639.230342,TRUE,FALSE,FALSE,[2639.230342],1,1
3401519,Regal (Pygoplites diacanthus),Disk-shaped/Colourful > Angelfishes (Pomacanthidae) > Regal (Pygoplites diacanthus),Disk-shaped/Colourful,Pomacanthidae,Pygoplites,Regal (Pygoplites diacanthus),,,[2646.7689885],[2646.768988],2646.768988,2646.768988,2646.768988,TRUE,FALSE,FALSE,[2646.768988],1,1
3401520,Regal (Pygoplites diacanthus),Disk-shaped/Colourful > Angelfishes (Pomacanthidae) > Regal (Pygoplites diacanthus),Disk-shaped/Colourful,Pomacanthidae,Pygoplites,Regal (Pygoplites diacanthus),,,[2716.3255121],[2716.325512],2716.325512,2716.325512,2716.325512,TRUE,FALSE,FALSE,[2716.325512],1,1
3401521,Regal (Pygoplites diacanthus),Disk-shaped/Colourful > Angelfishes (Pomacanthidae) > Regal (Pygoplites diacanthus),Disk-shaped/Colourful,Pomacanthidae,Pygoplites,Regal (Pygoplites diacanthus),,,[2716.3255121],[2716.325512],2716.325512,2716.325512,2716.325512,TRUE,FALSE,FALSE,[2716.325512],1,1
3401522,Leopard (Cephalopholis leopardus),Heavy Bodies/Large Lips > Groupers (Serranidae) > Leopard (Cephalopholis leopardus),Heavy Bodies/Large Lips,Serranidae,Cephalopholis,Leopard (Cephalopholis leopardus),,,[2779.188583],[2779.188583],2779.188583,2779.188583,2779.188583,TRUE,FALSE,FALSE,[2779.188583],1,1
3401523,Puffers (Tetraodontidae),Odd-shaped Swimmers > Puffers (Tetraodontidae),Odd-shaped Swimmers,Tetraodontidae,,,,,[2803.4836864],[2803.483686],2803.483686,2803.483686,2803.483686,TRUE,FALSE,FALSE,[2803.483686],1,1
3620534,Longnose (Oxymonacanthus longirostris),Odd-shaped Swimmers > Filefishes (Monacanthidae) > Longnose (Oxymonacanthus longirostris),Odd-shaped Swimmers,Monacanthidae,Oxymonacanthus,Longnose (Oxymonacanthus longirostris),,,[1042.998122],[1042.998122],1042.998122,1042.998122,1042.998122,TRUE,FALSE,FALSE,[1042.998122],1,1
3620535,Longnose (Oxymonacanthus longirostris),Odd-shaped Swimmers > Filefishes (Monacanthidae) > Longnose (Oxymonacanthus longirostris),Odd-shaped Swimmers,Monacanthidae,Oxymonacanthus,Longnose (Oxymonacanthus longirostris),,,[1042.998122],[1042.998122],1042.998122,1042.998122,1042.998122,TRUE,FALSE,FALSE,[1042.998122],1,1
3620536,Longnose (Oxymonacanthus longirostris),Odd-shaped Swimmers > Filefishes (Monacanthidae) > Longnose (Oxymonacanthus longirostris),Odd-shaped Swimmers,Monacanthidae,Oxymonacanthus,Longnose (Oxymonacanthus longirostris),,,[1042.998122],[1042.998122],1042.998122,1042.998122,1042.998122,TRUE,FALSE,FALSE,[1042.998122],1,1
