video_annotation_label_id,label_name,label_hierarchy,unspecific,family,genus,species,interested,feeding,frames,time_sec_local,time_sec_local_first,time_sec_local_last,time_sec_local_max,included_47min,is_short_control_nursery,is_split_video,split_time_reset_note,frames_kept_47min,frame_count_raw,frame_count_kept_47min
3369819,Regal (Pygoplites diacanthus),Disk-shaped/Colourful > Angelfishes (Pomacanthidae) > Regal (Pygoplites diacanthus),Disk-shaped/Colourful,Pomacanthidae,Pygoplites,Regal (Pygoplites diacanthus),,,[2410.6149374526667],[2410.614937],2410.614937,2410.614937,2410.614937,TRUE,FALSE,FALSE,FALSE,[2410.614937],1,1
3369820,Regal (Pygoplites diacanthus),Disk-shaped/Colourful > Angelfishes (Pomacanthidae) > Regal (Pygoplites diacanthus),Disk-shaped/Colourful,Pomacanthidae,Pygoplites,Regal (Pygoplites diacanthus),,,[2410.6149374526667],[2410.614937],2410.614937,2410.614937,2410.614937,TRUE,FALSE,FALSE,FALSE,[2410.614937],1,1
3369874,Groupers (Serranidae),Heavy Bodies/Large Lips > Groupers (Serranidae),Heavy Bodies/Large Lips,Serranidae,,,,,[2679.6184785226665],[2679.618479],2679.618479,2679.618479,2679.618479,TRUE,FALSE,FALSE,FALSE,[2679.618479],1,1
3369894,Indian Half-and-Half (Pycnochromis dimidiatus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Indian Half-and-Half (Pycnochromis dimidiatus),Small Ovals - Damselfishes,Pomacentridae,Pycnochromis,Indian Half-and-Half (Pycnochromis dimidiatus),,,[731.8477133356668],[731.847713],731.847713,731.847713,731.847713,TRUE,FALSE,FALSE,FALSE,[731.847713],1,1
3369895,Indian Half-and-Half (Pycnochromis dimidiatus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Indian Half-and-Half (Pycnochromis dimidiatus),Small Ovals - Damselfishes,Pomacentridae,Pycnochromis,Indian Half-and-Half (Pycnochromis dimidiatus),,,[731.8477133],[731.847713],731.847713,731.847713,731.847713,TRUE,FALSE,FALSE,FALSE,[731.847713],1,1
3369896,Indian Half-and-Half (Pycnochromis dimidiatus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Indian Half-and-Half (Pycnochromis dimidiatus),Small Ovals - Damselfishes,Pomacentridae,Pycnochromis,Indian Half-and-Half (Pycnochromis dimidiatus),,,[731.8477133],[731.847713],731.847713,731.847713,731.847713,TRUE,FALSE,FALSE,FALSE,[731.847713],1,1
3369897,Indian Half-and-Half (Pycnochromis dimidiatus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Indian Half-and-Half (Pycnochromis dimidiatus),Small Ovals - Damselfishes,Pomacentridae,Pycnochromis,Indian Half-and-Half (Pycnochromis dimidiatus),,,[731.8477133],[731.847713],731.847713,731.847713,731.847713,TRUE,FALSE,FALSE,FALSE,[731.847713],1,1
3369898,Indian Half-and-Half (Pycnochromis dimidiatus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Indian Half-and-Half (Pycnochromis dimidiatus),Small Ovals - Damselfishes,Pomacentridae,Pycnochromis,Indian Half-and-Half (Pycnochromis dimidiatus),,,[731.8477133],[731.847713],731.847713,731.847713,731.847713,TRUE,FALSE,FALSE,FALSE,[731.847713],1,1
3369900,Indian Half-and-Half (Pycnochromis dimidiatus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Indian Half-and-Half (Pycnochromis dimidiatus),Small Ovals - Damselfishes,Pomacentridae,Pycnochromis,Indian Half-and-Half (Pycnochromis dimidiatus),,,[731.8477133],[731.847713],731.847713,731.847713,731.847713,TRUE,FALSE,FALSE,FALSE,[731.847713],1,1
3369901,Indian Half-and-Half (Pycnochromis dimidiatus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Indian Half-and-Half (Pycnochromis dimidiatus),Small Ovals - Damselfishes,Pomacentridae,Pycnochromis,Indian Half-and-Half (Pycnochromis dimidiatus),,,[731.8477133],[731.847713],731.847713,731.847713,731.847713,TRUE,FALSE,FALSE,FALSE,[731.847713],1,1
3369902,Indian Half-and-Half (Pycnochromis dimidiatus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Indian Half-and-Half (Pycnochromis dimidiatus),Small Ovals - Damselfishes,Pomacentridae,Pycnochromis,Indian Half-and-Half (Pycnochromis dimidiatus),,,[731.8477133],[731.847713],731.847713,731.847713,731.847713,TRUE,FALSE,FALSE,FALSE,[731.847713],1,1
3369903,Indian Half-and-Half (Pycnochromis dimidiatus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Indian Half-and-Half (Pycnochromis dimidiatus),Small Ovals - Damselfishes,Pomacentridae,Pycnochromis,Indian Half-and-Half (Pycnochromis dimidiatus),,,[731.8477133],[731.847713],731.847713,731.847713,731.847713,TRUE,FALSE,FALSE,FALSE,[731.847713],1,1
3369904,Indian Half-and-Half (Pycnochromis dimidiatus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Indian Half-and-Half (Pycnochromis dimidiatus),Small Ovals - Damselfishes,Pomacentridae,Pycnochromis,Indian Half-and-Half (Pycnochromis dimidiatus),,,[731.8477133],[731.847713],731.847713,731.847713,731.847713,TRUE,FALSE,FALSE,FALSE,[731.847713],1,1
3401647,Black-backed (Chaetodon melannotus),Disk-shaped/Colourful > Butterflyfishes (Chaetodontidae) > Black-backed (Chaetodon melannotus),Disk-shaped/Colourful,Chaetodontidae,Chaetodon,Black-backed (Chaetodon melannotus),,,[54.5758725],[54.575873],54.575873,54.575873,54.575873,TRUE,FALSE,FALSE,FALSE,[54.575873],1,1
3559235,Linedcheeked (Oxycheilinus digramma),Wrasses > Wrasses (Labridae) > Linedcheeked (Oxycheilinus digramma),Wrasses,Labridae,Oxycheilinus,Linedcheeked (Oxycheilinus digramma),,,[2498.6321626],[2498.632163],2498.632163,2498.632163,2498.632163,TRUE,FALSE,FALSE,FALSE,[2498.632163],1,1
3620521,Longnose (Oxymonacanthus longirostris),Odd-shaped Swimmers > Filefishes (Monacanthidae) > Longnose (Oxymonacanthus longirostris),Odd-shaped Swimmers,Monacanthidae,Oxymonacanthus,Longnose (Oxymonacanthus longirostris),,,[376.874342],[376.874342],376.874342,376.874342,376.874342,TRUE,FALSE,FALSE,FALSE,[376.874342],1,1
3620522,Longnose (Oxymonacanthus longirostris),Odd-shaped Swimmers > Filefishes (Monacanthidae) > Longnose (Oxymonacanthus longirostris),Odd-shaped Swimmers,Monacanthidae,Oxymonacanthus,Longnose (Oxymonacanthus longirostris),,,[376.874342],[376.874342],376.874342,376.874342,376.874342,TRUE,FALSE,FALSE,FALSE,[376.874342],1,1
3620523,Tunas/Mackerels (Scombridae),Silvery > Tunas/Mackerels (Scombridae),Silvery,Scombridae,,,,,[1104.129371],[1104.129371],1104.129371,1104.129371,1104.129371,TRUE,FALSE,FALSE,FALSE,[1104.129371],1,1
