video_annotation_label_id,label_name,label_hierarchy,frames
3474683,Brown Tang (Zebrasoma scopas),Large Ovals > Surgeonfishes (Acanthuridae) > Brown Tang (Zebrasoma scopas),[170.299629]
3474687,Fusiliers (Caesionidae),Slender Schoolers/Colourful > Fusiliers (Caesionidae),[202.0572282]
3474688,Fusiliers (Caesionidae),Slender Schoolers/Colourful > Fusiliers (Caesionidae),[202.0572282]
3474689,Fusiliers (Caesionidae),Slender Schoolers/Colourful > Fusiliers (Caesionidae),[202.0572282]
3474690,Fusiliers (Caesionidae),Slender Schoolers/Colourful > Fusiliers (Caesionidae),[202.0572282]
3474691,Fusiliers (Caesionidae),Slender Schoolers/Colourful > Fusiliers (Caesionidae),[202.0572282]
3474692,Fusiliers (Caesionidae),Slender Schoolers/Colourful > Fusiliers (Caesionidae),[202.0572282]
3474693,Fusiliers (Caesionidae),Slender Schoolers/Colourful > Fusiliers (Caesionidae),[202.0572282]
3474694,Fusiliers (Caesionidae),Slender Schoolers/Colourful > Fusiliers (Caesionidae),[202.0572282]
3474695,Fusiliers (Caesionidae),Slender Schoolers/Colourful > Fusiliers (Caesionidae),[202.0572282]
3474696,Fusiliers (Caesionidae),Slender Schoolers/Colourful > Fusiliers (Caesionidae),[202.0572282]
3474697,Fusiliers (Caesionidae),Slender Schoolers/Colourful > Fusiliers (Caesionidae),[202.0572282]
3474698,Fusiliers (Caesionidae),Slender Schoolers/Colourful > Fusiliers (Caesionidae),[202.0572282]
3474699,Fusiliers (Caesionidae),Slender Schoolers/Colourful > Fusiliers (Caesionidae),[202.0572282]
3474700,Fusiliers (Caesionidae),Slender Schoolers/Colourful > Fusiliers (Caesionidae),[202.0572282]
3474701,Fusiliers (Caesionidae),Slender Schoolers/Colourful > Fusiliers (Caesionidae),[202.0572282]
3474702,Fusiliers (Caesionidae),Slender Schoolers/Colourful > Fusiliers (Caesionidae),[202.0572282]
3474703,Fusiliers (Caesionidae),Slender Schoolers/Colourful > Fusiliers (Caesionidae),[202.0572282]
3474704,Fusiliers (Caesionidae),Slender Schoolers/Colourful > Fusiliers (Caesionidae),[202.0572282]
3474705,Genus Chromis,Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Genus Chromis,[207.8431068]
3474707,Genus Soldier (Myripristis),Reddish/Big Eyes > Soldier-&Squirrelfishes (Holocentridae) > Genus Soldier (Myripristis),[211.361037]
3474708,Disappearing (Pseudocheilinus evanidus),Wrasses > Wrasses (Labridae) > Disappearing (Pseudocheilinus evanidus),[256.3720764]
3474713,Bullethead (Chlorurus sordidus),Parrotfishes > Parrotfishes (Scaridae) > Bullethead (Chlorurus sordidus),[315.4754087]
3474714,Bullethead (Chlorurus sordidus),Parrotfishes > Parrotfishes (Scaridae) > Bullethead (Chlorurus sordidus),[315.4754087]
3474715,Trumpetfish (Aulostomus chinensis),Odd-shaped Swimmers > Trumpetfishes (Aulostomidae) > Trumpetfish (Aulostomus chinensis),[329.8010063]
3474975,Genus Naso,Large Ovals > Surgeonfishes (Acanthuridae) > Genus Naso,[369.6806372]
3474976,Freckled (Paracirrhites forsteri),Heavy Bodies/Large Lips > Hawkfishes (Cirrhitidae) > Freckled (Paracirrhites forsteri),[409.4634603]
3474977,Golden (Ctenochaetus truncates),Large Ovals > Surgeonfishes (Acanthuridae) > Golden (Ctenochaetus truncates),[445.775551]
3474978,Golden (Ctenochaetus truncates),Large Ovals > Surgeonfishes (Acanthuridae) > Golden (Ctenochaetus truncates),[445.775551]
3474979,Golden (Ctenochaetus truncates),Large Ovals > Surgeonfishes (Acanthuridae) > Golden (Ctenochaetus truncates),[445.775551]
3474980,Linedcheeked (Oxycheilinus digramma),Wrasses > Wrasses (Labridae) > Linedcheeked (Oxycheilinus digramma),[460.0242951]
3474981,Paletail Unicorn (Naso brevirostris),Large Ovals > Surgeonfishes (Acanthuridae) > Paletail Unicorn (Naso brevirostris),[470.3568851]
3474983,Freckled (Paracirrhites forsteri),Heavy Bodies/Large Lips > Hawkfishes (Cirrhitidae) > Freckled (Paracirrhites forsteri),[528.6155878]
3474984,Freckled (Paracirrhites forsteri),Heavy Bodies/Large Lips > Hawkfishes (Cirrhitidae) > Freckled (Paracirrhites forsteri),[528.6155878]
3474985,Freckled (Paracirrhites forsteri),Heavy Bodies/Large Lips > Hawkfishes (Cirrhitidae) > Freckled (Paracirrhites forsteri),[575.3502236049171]
3474986,Sailfin Tang (Zebrasoma desjardinii),Large Ovals > Surgeonfishes (Acanthuridae) > Sailfin Tang (Zebrasoma desjardinii),[588.2610537]
3474987,Sailfin Tang (Zebrasoma desjardinii),Large Ovals > Surgeonfishes (Acanthuridae) > Sailfin Tang (Zebrasoma desjardinii),[621.8373369794247]
3474989,Brown Pigmy (Centropyge multispinis),Disk-shaped/Colourful > Angelfishes (Pomacanthidae) > Brown Pigmy (Centropyge multispinis),[661.6601331]
3474991,Red-breasted (Cheilinus fasciatus),Wrasses > Wrasses (Labridae) > Red-breasted (Cheilinus fasciatus),[684.716782]
3474993,Genus Soldier (Myripristis),Reddish/Big Eyes > Soldier-&Squirrelfishes (Holocentridae) > Genus Soldier (Myripristis),[689.0075975]
3474994,Genus Soldier (Myripristis),Reddish/Big Eyes > Soldier-&Squirrelfishes (Holocentridae) > Genus Soldier (Myripristis),[689.0075975]
3475003,Red (Lutjanus bohar),Sloping Heads > Snappers (Lutjanidae) > Red (Lutjanus bohar),[779.1571576]
3475004,Red (Lutjanus bohar),Sloping Heads > Snappers (Lutjanidae) > Red (Lutjanus bohar),[779.1571576]
3475007,Genus Squirrel (Sargocentron),Reddish/Big Eyes > Soldier-&Squirrelfishes (Holocentridae) > Genus Squirrel (Sargocentron),[787.4651952]
3475008,Genus Squirrel (Sargocentron),Reddish/Big Eyes > Soldier-&Squirrelfishes (Holocentridae) > Genus Squirrel (Sargocentron),[787.4651952]
3475009,Axilspot Hogfish (Bodianus axillaris),Wrasses > Wrasses (Labridae) > Axilspot Hogfish (Bodianus axillaris),[860.6347657]
