standort,n,mean,median,std,min,max
milimani,17,44.76470588235294,46.0,7.462652107031939,31,59
nursery,11,36.27272727272727,36.0,4.941475672122834,29,43
utumbi,18,53.05555555555556,53.5,5.439206497299164,43,63
