site,algae_videos,fish_videos,algae_feeding_rate_mean,algae_feeding_rate_median,algae_feeding_rate_std,fish_feeding_rate_mean,fish_feeding_rate_median,fish_feeding_rate_std,rate_diff_mean_algae_minus_fish,rate_diff_median_algae_minus_fish,p_value,cliffs_delta,p_value_holm
milimani,10,4,0.002857142857142857,0.0,0.009035079029052512,0.0,0.0,0.0,0.002857142857142857,0.0,0.31762814799862416,0.1,0.5509849875850934
utumbi,9,5,0.003003003003003003,0.0,0.009009009009009009,0.0,0.0,0.0,0.003003003003003003,0.0,0.2754924937925467,0.1111111111111111,0.5509849875850934
nursery,6,4,0.2037569744644844,0.19375713741910927,0.07302911878955567,0.0,0.0,0.0,0.2037569744644844,0.19375713741910927,0.005708610743955862,1.0,0.017125832231867585
