site,family,koeder_type,koeder,maxn
nursery,scaridae,algae,algaemix,3.0
nursery,scaridae,algae,algaemix,2.0
nursery,scaridae,algae,algaemix,8.0
nursery,scaridae,fish,mackerel,6.0
nursery,scaridae,fish,mackerel,3.0
nursery,scaridae,fish,mackerel,11.0
nursery,scaridae,fish,mackerel,11.0
nursery,siganidae,algae,algae_strings,4.0
nursery,siganidae,algae,algae_strings,1.0
nursery,siganidae,algae,algae_strings,4.0
nursery,siganidae,algae,algaemix,4.0
nursery,siganidae,algae,algaemix,7.0
nursery,siganidae,algae,algaemix,4.0
nursery,siganidae,fish,mackerel,0.0
nursery,siganidae,fish,mackerel,0.0
nursery,siganidae,fish,mackerel,5.0
nursery,siganidae,fish,mackerel,2.0
