feature,n_videos,n_fish,n_algae,mean_fish,mean_algae,beta_bait_fish_vs_algae,beta_site_utumbi,beta_interaction,p_perm_bait,p_perm_interaction,r2,direction,feature_type,p_bh_bait,p_bh_interaction,sig_bait_bh,sig_interaction_bh
serranidae,10,4,6,1.25,0.3333333333333333,0.46209812037329673,0.0,0.0,0.16333333333333333,1.0,0.24242424242424243,fish,family,0.32300000000000006,1.0,False,False
siganidae,10,4,6,1.75,4.0,-0.8124637891886557,0.0,0.0,0.13666666666666666,1.0,0.3206743725515293,algae,family,0.32300000000000006,1.0,False,False
tetraodontidae,10,4,6,1.25,0.8333333333333334,0.19291730108271665,0.0,0.0,0.5833333333333334,1.0,0.04801997918548395,fish,family,0.7388888888888889,1.0,False,False
zanclidae,10,4,6,2.25,2.8333333333333335,-0.489473459287633,0.0,0.0,0.38333333333333336,1.0,0.10912451625121367,algae,family,0.5602564102564103,1.0,False,False
abudefduf,10,4,6,1.5,2.0,-0.14931328910233793,0.0,0.0,0.6566666666666666,1.0,0.017299682080100354,algae,genus,0.7916666666666666,1.0,False,False
acanthurus,10,4,6,2.0,2.3333333333333335,-0.1145833628750945,0.0,0.0,0.49666666666666665,1.0,0.06396012032513654,algae,genus,0.7916666666666666,1.0,False,False
balistoides,10,4,6,1.0,1.5,-0.17668862801667434,0.0,0.0,0.6033333333333334,1.0,0.03538091146639166,algae,genus,0.7916666666666666,1.0,False,False
chaetodon,10,4,6,3.75,4.833333333333333,-0.1598201089749279,0.0,0.0,0.6666666666666666,1.0,0.02525569731934918,algae,genus,0.7916666666666666,1.0,False,False
ctenochaetus,10,4,6,2.75,1.5,0.34459721306186275,0.0,0.0,0.5133333333333333,1.0,0.06918160494983938,fish,genus,0.7916666666666666,1.0,False,False
dascyllus,10,4,6,10.5,7.5,0.13441264431115804,0.0,0.0,0.72,1.0,0.015085460241839765,fish,genus,0.8047058823529412,1.0,False,False
genus chromis,10,4,6,1.75,1.8333333333333333,0.06851868523625736,0.0,0.0,0.9233333333333333,1.0,0.0026362386189501263,fish,genus,0.9233333333333333,1.0,False,False
lethrinus,10,4,6,1.25,0.5,0.42396636126936504,0.0,0.0,0.27666666666666667,1.0,0.18053599446654234,fish,genus,0.6570833333333334,1.0,False,False
lutjanus,10,4,6,15.25,27.0,-0.6468100572506644,0.0,0.0,0.17,1.0,0.26876780174488024,algae,genus,0.46142857142857147,1.0,False,False
macolor,10,4,6,1.0,0.8333333333333334,0.11552453009332407,0.0,0.0,0.8,1.0,0.07407407407407407,fish,genus,0.8444444444444446,1.0,False,False
naso,10,4,6,3.25,23.333333333333332,-2.096670423729179,0.0,0.0,0.006666666666666667,1.0,0.7460883965492814,algae,genus,0.042222222222222223,1.0,True,False
parapercis,10,4,6,2.25,0.5,0.7489330683884975,0.0,0.0,0.04666666666666667,1.0,0.4914235964174326,fish,genus,0.19,1.0,False,False
parupeneus,10,4,6,3.5,4.166666666666667,-0.28003128226182505,0.0,0.0,0.48,1.0,0.07158864815962385,algae,genus,0.7916666666666666,1.0,False,False
pomacanthus,10,4,6,0.75,0.5,0.1493132891023377,0.0,0.0,0.6566666666666666,1.0,0.025593416023462545,fish,genus,0.7916666666666666,1.0,False,False
scolopsis,10,4,6,2.0,11.333333333333334,-1.7054879731448342,0.0,0.0,0.006666666666666667,1.0,0.6874083102275481,algae,genus,0.042222222222222223,1.0,True,False
