presence_pattern,n_taxa
111111,43
001000,9
000001,4
100111,4
111101,4
101111,4
011000,4
000010,3
100101,3
101011,3
010000,3
000100,2
111110,2
110100,2
011100,2
001100,2
010001,2
011111,2
100000,2
001110,2
100100,2
110111,2
000011,1
010100,1
000110,1
001010,1
001001,1
011001,1
011011,1
010010,1
100010,1
100011,1
101100,1
100001,1
101110,1
111010,1
