taxon_key,koeder,n_videos,n_present,occurrence_rate,mean_maxn,median_maxn,std_maxn,max_maxn
family_label::parrotfishes (scaridae),sargassum,3,3,1.0,11.333333333333334,15.0,8.144527815247077,17.0
family_label::parrotfishes (scaridae),ulva_gutweed,3,3,1.0,9.666666666666666,11.0,4.163331998932265,13.0
family_label::parrotfishes (scaridae),ulva_salad,3,3,1.0,33.333333333333336,9.0,43.890014050274964,84.0
family_label::scorpion-&lionfishes (scorpaenidae),control,4,0,0.0,0.0,0.0,0.0,0.0
family_label::scorpion-&lionfishes (scorpaenidae),fischmix,2,0,0.0,0.0,0.0,0.0,0.0
family_label::scorpion-&lionfishes (scorpaenidae),mackerel,3,0,0.0,0.0,0.0,0.0,0.0
family_label::scorpion-&lionfishes (scorpaenidae),sargassum,3,0,0.0,0.0,0.0,0.0,0.0
family_label::scorpion-&lionfishes (scorpaenidae),ulva_gutweed,3,1,0.3333333333333333,0.3333333333333333,0.0,0.5773502691896258,1.0
family_label::scorpion-&lionfishes (scorpaenidae),ulva_salad,3,0,0.0,0.0,0.0,0.0,0.0
family_label::surgeonfishes (acanthuridae),control,4,2,0.5,0.5,0.5,0.5773502691896257,1.0
family_label::surgeonfishes (acanthuridae),fischmix,2,0,0.0,0.0,0.0,0.0,0.0
family_label::surgeonfishes (acanthuridae),mackerel,3,0,0.0,0.0,0.0,0.0,0.0
family_label::surgeonfishes (acanthuridae),sargassum,3,0,0.0,0.0,0.0,0.0,0.0
family_label::surgeonfishes (acanthuridae),ulva_gutweed,3,0,0.0,0.0,0.0,0.0,0.0
family_label::surgeonfishes (acanthuridae),ulva_salad,3,2,0.6666666666666666,0.6666666666666666,1.0,0.5773502691896258,1.0
family_label::triggerfishes (balistidae),control,4,0,0.0,0.0,0.0,0.0,0.0
family_label::triggerfishes (balistidae),fischmix,2,1,0.5,0.5,0.5,0.7071067811865476,1.0
family_label::triggerfishes (balistidae),mackerel,3,0,0.0,0.0,0.0,0.0,0.0
family_label::triggerfishes (balistidae),sargassum,3,0,0.0,0.0,0.0,0.0,0.0
family_label::triggerfishes (balistidae),ulva_gutweed,3,0,0.0,0.0,0.0,0.0,0.0
family_label::triggerfishes (balistidae),ulva_salad,3,0,0.0,0.0,0.0,0.0,0.0
family_label::tunas/mackerels (scombridae),control,4,0,0.0,0.0,0.0,0.0,0.0
family_label::tunas/mackerels (scombridae),fischmix,2,0,0.0,0.0,0.0,0.0,0.0
family_label::tunas/mackerels (scombridae),mackerel,3,1,0.3333333333333333,0.3333333333333333,0.0,0.5773502691896258,1.0
family_label::tunas/mackerels (scombridae),sargassum,3,1,0.3333333333333333,0.3333333333333333,0.0,0.5773502691896258,1.0
family_label::tunas/mackerels (scombridae),ulva_gutweed,3,1,0.3333333333333333,0.3333333333333333,0.0,0.5773502691896258,1.0
family_label::tunas/mackerels (scombridae),ulva_salad,3,0,0.0,0.0,0.0,0.0,0.0
family_label::wrasses (labridae),control,4,4,1.0,1.0,1.0,0.0,1.0
family_label::wrasses (labridae),fischmix,2,2,1.0,2.0,2.0,0.0,2.0
family_label::wrasses (labridae),mackerel,3,3,1.0,1.6666666666666667,2.0,0.5773502691896257,2.0
family_label::wrasses (labridae),sargassum,3,1,0.3333333333333333,0.6666666666666666,0.0,1.1547005383792517,2.0
family_label::wrasses (labridae),ulva_gutweed,3,3,1.0,1.3333333333333333,1.0,0.5773502691896257,2.0
family_label::wrasses (labridae),ulva_salad,3,3,1.0,1.3333333333333333,1.0,0.5773502691896257,2.0
family_label::wrasses interested,control,4,0,0.0,0.0,0.0,0.0,0.0
family_label::wrasses interested,fischmix,2,0,0.0,0.0,0.0,0.0,0.0
family_label::wrasses interested,mackerel,3,1,0.3333333333333333,0.3333333333333333,0.0,0.5773502691896258,1.0
family_label::wrasses interested,sargassum,3,0,0.0,0.0,0.0,0.0,0.0
family_label::wrasses interested,ulva_gutweed,3,0,0.0,0.0,0.0,0.0,0.0
family_label::wrasses interested,ulva_salad,3,0,0.0,0.0,0.0,0.0,0.0
genus::genus caesio,control,4,1,0.25,0.5,0.0,1.0,2.0
genus::genus caesio,fischmix,2,0,0.0,0.0,0.0,0.0,0.0
genus::genus caesio,mackerel,3,0,0.0,0.0,0.0,0.0,0.0
genus::genus caesio,sargassum,3,1,0.3333333333333333,8.0,0.0,13.856406460551018,24.0
genus::genus caesio,ulva_gutweed,3,0,0.0,0.0,0.0,0.0,0.0
genus::genus caesio,ulva_salad,3,1,0.3333333333333333,16.0,0.0,27.712812921102035,48.0
genus::genus chromis,control,4,3,0.75,32.75,24.0,40.03644173333423,83.0
genus::genus chromis,fischmix,2,2,1.0,18.5,18.5,3.5355339059327378,21.0
genus::genus chromis,mackerel,3,3,1.0,59.666666666666664,72.0,41.88476254359494,94.0
genus::genus chromis,sargassum,3,3,1.0,34.0,34.0,28.0,62.0
genus::genus chromis,ulva_gutweed,3,2,0.6666666666666666,12.333333333333334,2.0,19.655363983740756,35.0
genus::genus chromis,ulva_salad,3,2,0.6666666666666666,39.0,56.0,33.8673884437522,61.0
genus::genus ctenochaetus,control,4,0,0.0,0.0,0.0,0.0,0.0
genus::genus ctenochaetus,fischmix,2,0,0.0,0.0,0.0,0.0,0.0
genus::genus ctenochaetus,mackerel,3,0,0.0,0.0,0.0,0.0,0.0
genus::genus ctenochaetus,sargassum,3,0,0.0,0.0,0.0,0.0,0.0
genus::genus ctenochaetus,ulva_gutweed,3,1,0.3333333333333333,1.0,0.0,1.7320508075688772,3.0
genus::genus ctenochaetus,ulva_salad,3,0,0.0,0.0,0.0,0.0,0.0
genus::genus naso,control,4,3,0.75,3.25,2.0,4.031128874149275,9.0
genus::genus naso,fischmix,2,1,0.5,1.0,1.0,1.4142135623730951,2.0
genus::genus naso,mackerel,3,2,0.6666666666666666,0.6666666666666666,1.0,0.5773502691896258,1.0
genus::genus naso,sargassum,3,2,0.6666666666666666,0.6666666666666666,1.0,0.5773502691896258,1.0
genus::genus naso,ulva_gutweed,3,3,1.0,1.0,1.0,0.0,1.0
genus::genus naso,ulva_salad,3,3,1.0,1.0,1.0,0.0,1.0
genus::genus siganus,control,4,0,0.0,0.0,0.0,0.0,0.0
genus::genus siganus,fischmix,2,1,0.5,0.5,0.5,0.7071067811865476,1.0
genus::genus siganus,mackerel,3,0,0.0,0.0,0.0,0.0,0.0
genus::genus siganus,sargassum,3,0,0.0,0.0,0.0,0.0,0.0
genus::genus siganus,ulva_gutweed,3,0,0.0,0.0,0.0,0.0,0.0
genus::genus siganus,ulva_salad,3,1,0.3333333333333333,2.3333333333333335,0.0,4.041451884327381,7.0
genus::genus soldier,control,4,4,1.0,2.5,2.0,1.0,4.0
genus::genus soldier,fischmix,2,2,1.0,1.5,1.5,0.7071067811865476,2.0
genus::genus soldier,mackerel,3,3,1.0,4.333333333333333,3.0,2.309401076758503,7.0
genus::genus soldier,sargassum,3,3,1.0,2.6666666666666665,3.0,0.5773502691896258,3.0
genus::genus soldier,ulva_gutweed,3,3,1.0,3.3333333333333335,3.0,0.5773502691896258,4.0
genus::genus soldier,ulva_salad,3,3,1.0,4.333333333333333,4.0,1.5275252316519465,6.0
genus::genus squirrel,control,4,4,1.0,4.25,4.0,1.2583057392117916,6.0
genus::genus squirrel,fischmix,2,2,1.0,5.0,5.0,2.8284271247461903,7.0
genus::genus squirrel,mackerel,3,2,0.6666666666666666,3.0,4.0,2.6457513110645907,5.0
genus::genus squirrel,sargassum,3,3,1.0,4.666666666666667,5.0,0.5773502691896258,5.0
genus::genus squirrel,ulva_gutweed,3,3,1.0,5.666666666666667,6.0,0.5773502691896258,6.0
genus::genus squirrel,ulva_salad,3,3,1.0,2.3333333333333335,1.0,2.3094010767585034,5.0
species::arabian monocle (scolopsis ghanam),control,4,2,0.5,0.5,0.5,0.5773502691896257,1.0
species::arabian monocle (scolopsis ghanam),fischmix,2,0,0.0,0.0,0.0,0.0,0.0
species::arabian monocle (scolopsis ghanam),mackerel,3,0,0.0,0.0,0.0,0.0,0.0
species::arabian monocle (scolopsis ghanam),sargassum,3,0,0.0,0.0,0.0,0.0,0.0
species::arabian monocle (scolopsis ghanam),ulva_gutweed,3,1,0.3333333333333333,1.0,0.0,1.7320508075688772,3.0
species::arabian monocle (scolopsis ghanam),ulva_salad,3,2,0.6666666666666666,1.0,1.0,1.0,2.0
species::axilspot hogfish (bodianus axillaris),control,4,4,1.0,1.0,1.0,0.0,1.0
species::axilspot hogfish (bodianus axillaris),fischmix,2,2,1.0,1.5,1.5,0.7071067811865476,2.0
species::axilspot hogfish (bodianus axillaris),mackerel,3,2,0.6666666666666666,0.6666666666666666,1.0,0.5773502691896258,1.0
species::axilspot hogfish (bodianus axillaris),sargassum,3,2,0.6666666666666666,0.6666666666666666,1.0,0.5773502691896258,1.0
species::axilspot hogfish (bodianus axillaris),ulva_gutweed,3,2,0.6666666666666666,0.6666666666666666,1.0,0.5773502691896258,1.0
species::axilspot hogfish (bodianus axillaris),ulva_salad,3,2,0.6666666666666666,0.6666666666666666,1.0,0.5773502691896258,1.0
species::barred (hemigymnus fasciatus),control,4,4,1.0,1.25,1.0,0.5,2.0
species::barred (hemigymnus fasciatus),fischmix,2,1,0.5,0.5,0.5,0.7071067811865476,1.0
species::barred (hemigymnus fasciatus),mackerel,3,3,1.0,1.0,1.0,0.0,1.0
species::barred (hemigymnus fasciatus),sargassum,3,2,0.6666666666666666,0.6666666666666666,1.0,0.5773502691896258,1.0
species::barred (hemigymnus fasciatus),ulva_gutweed,3,3,1.0,1.0,1.0,0.0,1.0
species::barred (hemigymnus fasciatus),ulva_salad,3,3,1.0,1.0,1.0,0.0,1.0
species::bicolor (labroides bicolor),control,4,2,0.5,0.5,0.5,0.5773502691896257,1.0
species::bicolor (labroides bicolor),fischmix,2,2,1.0,2.0,2.0,1.4142135623730951,3.0
species::bicolor (labroides bicolor),mackerel,3,3,1.0,2.3333333333333335,2.0,0.5773502691896258,3.0
species::bicolor (labroides bicolor),sargassum,3,3,1.0,1.3333333333333333,1.0,0.5773502691896257,2.0
species::bicolor (labroides bicolor),ulva_gutweed,3,3,1.0,1.0,1.0,0.0,1.0
species::bicolor (labroides bicolor),ulva_salad,3,2,0.6666666666666666,0.6666666666666666,1.0,0.5773502691896258,1.0
species::bird wrasse (gomphosus caeruleus),control,4,4,1.0,1.75,2.0,0.5,2.0
species::bird wrasse (gomphosus caeruleus),fischmix,2,2,1.0,1.5,1.5,0.7071067811865476,2.0
species::bird wrasse (gomphosus caeruleus),mackerel,3,3,1.0,2.0,2.0,1.0,3.0
species::bird wrasse (gomphosus caeruleus),sargassum,3,3,1.0,1.6666666666666667,1.0,1.1547005383792517,3.0
species::bird wrasse (gomphosus caeruleus),ulva_gutweed,3,3,1.0,1.6666666666666667,2.0,0.5773502691896257,2.0
species::bird wrasse (gomphosus caeruleus),ulva_salad,3,3,1.0,1.6666666666666667,2.0,0.5773502691896257,2.0
species::black saddled toby (canthigaster valentini),control,4,3,0.75,0.75,1.0,0.5,1.0
species::black saddled toby (canthigaster valentini),fischmix,2,0,0.0,0.0,0.0,0.0,0.0
species::black saddled toby (canthigaster valentini),mackerel,3,0,0.0,0.0,0.0,0.0,0.0
species::black saddled toby (canthigaster valentini),sargassum,3,1,0.3333333333333333,0.3333333333333333,0.0,0.5773502691896258,1.0
species::black saddled toby (canthigaster valentini),ulva_gutweed,3,1,0.3333333333333333,0.3333333333333333,0.0,0.5773502691896258,1.0
species::black saddled toby (canthigaster valentini),ulva_salad,3,1,0.3333333333333333,0.3333333333333333,0.0,0.5773502691896258,1.0
species::black-backed (chaetodon melannotus),control,4,0,0.0,0.0,0.0,0.0,0.0
species::black-backed (chaetodon melannotus),fischmix,2,0,0.0,0.0,0.0,0.0,0.0
species::black-backed (chaetodon melannotus),mackerel,3,2,0.6666666666666666,1.0,1.0,1.0,2.0
species::black-backed (chaetodon melannotus),sargassum,3,2,0.6666666666666666,0.6666666666666666,1.0,0.5773502691896258,1.0
species::black-backed (chaetodon melannotus),ulva_gutweed,3,0,0.0,0.0,0.0,0.0,0.0
species::black-backed (chaetodon melannotus),ulva_salad,3,0,0.0,0.0,0.0,0.0,0.0
species::black-lipped (chaetodon kleinii),control,4,0,0.0,0.0,0.0,0.0,0.0
species::black-lipped (chaetodon kleinii),fischmix,2,2,1.0,2.0,2.0,0.0,2.0
species::black-lipped (chaetodon kleinii),mackerel,3,2,0.6666666666666666,0.6666666666666666,1.0,0.5773502691896258,1.0
species::black-lipped (chaetodon kleinii),sargassum,3,2,0.6666666666666666,1.3333333333333333,2.0,1.1547005383792517,2.0
species::black-lipped (chaetodon kleinii),ulva_gutweed,3,3,1.0,1.3333333333333333,1.0,0.5773502691896257,2.0
species::black-lipped (chaetodon kleinii),ulva_salad,3,2,0.6666666666666666,0.6666666666666666,1.0,0.5773502691896258,1.0
species::blackeye (hemigymnus melapterus),control,4,2,0.5,0.5,0.5,0.5773502691896257,1.0
