taxon_key,n_total,n_koeder,h_stat,p_value,eta_sq,dominant_koeder_mean,lowest_koeder_mean,mean_diff_max_minus_min,mean_control,median_control,mean_fischmix,median_fischmix,mean_mackerel,median_mackerel,mean_sargassum,median_sargassum,mean_ulva_gutweed,median_ulva_gutweed,mean_ulva_salad,median_ulva_salad,p_value_holm,significant_0_05,significant_0_05_holm,sig_label_raw,sig_label_holm,occurrence_rate_control,occurrence_rate_fischmix,occurrence_rate_mackerel,occurrence_rate_sargassum,occurrence_rate_ulva_gutweed,occurrence_rate_ulva_salad,mean_maxn_control,mean_maxn_fischmix,mean_maxn_mackerel,mean_maxn_sargassum,mean_maxn_ulva_gutweed,mean_maxn_ulva_salad,mean_ratio_max_min
species::bird wrasse (gomphosus caeruleus),18,6,0.7297979797979658,0.9812933535484871,0.0,mackerel,fischmix,0.5,1.75,2.0,1.5,1.5,2.0,2.0,1.6666666666666667,1.0,1.6666666666666667,2.0,1.6666666666666667,2.0,1.0,False,False,ns,ns,1.0,1.0,1.0,1.0,1.0,1.0,1.75,1.5,2.0,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.3333333333333333
species::indian redfin (chaetodon trifasciatus),18,6,0.5620471014492705,0.9896749254687812,0.0,mackerel,control,0.41666666666666674,1.25,1.5,1.5,1.5,1.6666666666666667,2.0,1.3333333333333333,1.0,1.6666666666666667,1.0,1.3333333333333333,2.0,1.0,False,False,ns,ns,0.75,1.0,1.0,1.0,1.0,0.6666666666666666,1.25,1.5,1.6666666666666667,1.3333333333333333,1.6666666666666667,1.3333333333333333,1.3333333333333335
