algae_strings,algaemix,control,mackerel
family_label::cornetfishes (fistulariidae),family_label::cornetfishes (fistulariidae),family_label::batfishes (ephippidae),family_label::blennies (blenniidae)
family_label::fusiliers (caesionidae),family_label::emperors (lethrinidae),family_label::blennies (blenniidae),family_label::cornetfishes (fistulariidae)
family_label::jacks/trevallyes (carangidae),family_label::fusiliers (caesionidae),family_label::fusiliers (caesionidae),family_label::fusiliers (caesionidae)
family_label::parrotfishes (scaridae),family_label::groupers (serranidae),family_label::jacks/trevallyes (carangidae),family_label::goatfishes (mullidae)
family_label::parrotfishes feeding,family_label::jacks/trevallyes (carangidae),family_label::parrotfishes (scaridae),family_label::groupers (serranidae)
family_label::siganus feeding,family_label::parrotfishes (scaridae),family_label::puffers (tetraodontidae),family_label::groupers feeding
family_label::wrasses (labridae),family_label::parrotfishes feeding,family_label::snappers (lutjanidae),family_label::jacks/trevallyes (carangidae)
family_label::wrasses interested,family_label::triggerfishes (balistidae),genus::chromis,family_label::parrotfishes (scaridae)
genus::genus chromis,family_label::wrasses (labridae),label::stomatapoda,family_label::trumpetfishes (aulostomidae)
genus::genus siganus,genus::genus acanthurus,species::arabian monocle (scolopsis ghanam),genus::canthigaster
genus::zebrasoma,genus::genus caesio,species::blackwhite (macolor niger),genus::chromis
species::arabian monocle (scolopsis ghanam),genus::genus chromis,species::brassy trevally (caranx papuensis),genus::dascyllus
species::black-backed (chaetodon melannotus),genus::genus siganus,species::bullethead (chlorurus sordidus),genus::genus chromis
species::blackspot (lutjanus fulviflamma),genus::zebrasoma,species::disappearing (pseudocheilinus evanidus),species::arabian monocle (scolopsis ghanam)
species::blackwhite (macolor niger),species::arabian monocle (scolopsis ghanam),species::humpback (lutjanus gibbus),species::black saddled toby (canthigaster valentini)
species::blue barred (scarus ghobban),species::bicolor (labroides bicolor),species::humpnose bigeye (monotaxis grandoculis),species::black-backed (chaetodon melannotus)
species::brown pigmy (centropyge multispinis),species::bird wrasse (gomphosus caeruleus),species::lined bristletooth (ctenochaetus striatus),species::black-lipped (chaetodon kleinii)
species::brown tang (zebrasoma scopas),species::black saddled toby (canthigaster valentini),species::longbarbel (parupeneus macronemus),species::blackspot (lutjanus fulviflamma)
species::bullethead (chlorurus sordidus),species::black-backed (chaetodon melannotus),species::monk (acanthurus gahhm),species::blackspot feeding (lutjanus fulviflamma)
species::checkerboard (halichoeres hortulanus),species::blackspot (lutjanus fulviflamma),species::moon (thalassoma lunare),species::blackwhite (macolor niger)
species::emperor (pomacanthus imperator),species::blackwhite (macolor niger),species::peacock damsel (pomacentrus pavo),species::blackwhite feeding (macolor niger)
species::false-eye (abudefduf sparoides),species::blue barred (scarus ghobban),species::red (lutjanus bohar),species::blue barred (scarus ghobban)
species::goldsaddle (parupeneus cyclostomus),species::bluefin (caranx melampygus),species::red-breasted (cheilinus fasciatus),species::blue-streak (labroides dimidiatus)
species::halfmoon (sufflamen chrysopterum),species::brown tang (zebrasoma scopas),species::sailfin tang (zebrasoma desjardinii),species::bluefin (caranx melampygus)
species::honeycomb (siganus stellatus),species::emperor (pomacanthus imperator),species::speckled (parapercis hexophthalma),species::brassy trevally (caranx papuensis)
species::humpback (lutjanus gibbus),species::false-eye (abudefduf sparoides),species::threadfin (chaetodon auriga),species::brown tang (zebrasoma scopas)
species::indian redfin (chaetodon trifasciatus),species::goldbar (thalassoma hebraicum),species::threespot dascyllus (dascyllus trimaculatus),species::coral (cephalopholis miniata)
species::lined bristletooth (ctenochaetus striatus),species::halfmoon (sufflamen chrysopterum),species::titan (balistoides viridescens),species::disappearing (pseudocheilinus evanidus)
species::linedcheeked (oxycheilinus digramma),species::honeycomb (siganus stellatus),species::wirenet (cantherhines pardalis),species::emperor (pomacanthus imperator)
species::longbarbel (parupeneus macronemus),species::humpback (lutjanus gibbus),,species::false-eye (abudefduf sparoides)
species::longnose (lethrinus olivaceus),species::indian longnose (hipposcarus harid),,species::green (amblyglyphidodon indicus)
species::map (arothron mappa),species::indian redfin (chaetodon trifasciatus),,species::honeycomb (siganus stellatus)
species::monk (acanthurus gahhm),species::lined bristletooth (ctenochaetus striatus),,species::humpback (lutjanus gibbus)
species::moon (thalassoma lunare),species::longbarbel (parupeneus macronemus),,species::humpnose bigeye (monotaxis grandoculis)
species::moorish idol (zanclus cornutus),species::longnose (lethrinus olivaceus),,species::indian redfin (chaetodon trifasciatus)
species::paletail unicorn (naso brevirostris),species::mahsena (lethrinus mahsena),,species::lined bristletooth (ctenochaetus striatus)
species::queen (coris formosa),species::map (arothron mappa),,species::linedcheeked (oxycheilinus digramma)
species::raccoon (chaetodon lunula),species::monk (acanthurus gahhm),,species::longbarbel (parupeneus macronemus)
species::red-breasted (cheilinus fasciatus),species::moon (thalassoma lunare),,species::longfin banner (heniochus acuminatus)
species::rockmover (novaculichthys taeniourus),species::moorish idol (zanclus cornutus),,species::longnose (lethrinus olivaceus)
species::sailfin tang (zebrasoma desjardinii),species::paletail unicorn (naso brevirostris),,species::mahsena (lethrinus mahsena)
species::scissortail sergeant (abudefduf sexfasciatus),species::queen (coris formosa),,species::monk (acanthurus gahhm)
species::scrawled (aluterus scriptus),species::raccoon (chaetodon lunula),,species::moon (thalassoma lunare)
species::speckled (parapercis hexophthalma),species::red-breasted (cheilinus fasciatus),,species::moorish idol (zanclus cornutus)
species::spotted (diodon hystrix),species::redmouth (aethaloperca rogaa),,species::mozambique fangblenny (meiacanthus mossambicus)
species::threadfin (chaetodon auriga),species::sailfin tang (zebrasoma desjardinii),,species::paletail unicorn (naso brevirostris)
species::threespot dascyllus (dascyllus trimaculatus),species::scissortail sergeant (abudefduf sexfasciatus),,species::peacock damsel (pomacentrus pavo)
species::thumbprint (lethrinus harak),species::scrawled (aluterus scriptus),,species::queen (coris formosa)
species::titan (balistoides viridescens),species::speckled (parapercis hexophthalma),,species::raccoon (chaetodon lunula)
species::trumpetfish (aulostomus chinensis),species::spotted (diodon hystrix),,species::red (lutjanus bohar)
species::weber's puller (chromis weberi),species::threadfin (chaetodon auriga),,species::red-breasted (cheilinus fasciatus)
species::yellow-margin (gymnothorax flavimarginatus),species::threespot dascyllus (dascyllus trimaculatus),,species::redmouth (aethaloperca rogaa)
species::yellowhead (chaetodon xanthocephalus),species::titan (balistoides viridescens),,species::saddleback (chaetodon falcula)
species::yellowstripe (mulloidichthys flavolineatus),species::trumpetfish (aulostomus chinensis),,species::sailfin tang (zebrasoma desjardinii)
,species::weber's puller (chromis weberi),,species::scissortail sergeant (abudefduf sexfasciatus)
,species::yellow-margin (gymnothorax flavimarginatus),,species::scrawled (aluterus scriptus)
,species::yellowhead (chaetodon xanthocephalus),,species::sidespot (parupeneus pleurostigma)
,species::yellowmargin (pseudobalistes flavimarginatus),,species::sixbar (thalassoma hardwicke)
,species::yellowstripe (mulloidichthys flavolineatus),,species::snubnose (lethrinus borbonicus)
,,,species::speckled (parapercis hexophthalma)
,,,species::spotted (diodon hystrix)
,,,species::spotted toby (canthigaster solandri)
,,,species::threadfin (chaetodon auriga)
,,,species::threespot dascyllus (dascyllus trimaculatus)
,,,species::thumbprint (lethrinus harak)
,,,species::titan (balistoides viridescens)
,,,species::whitetail (acanthurus thompsoni)
,,,species::yellowhead (chaetodon xanthocephalus)
