bait,count,mean,std,min,max
mackerel,6,57.166666666666664,6.462713568360172,49,67
fischmix,3,56.666666666666664,7.637626158259733,50,65
sargassum,6,55.166666666666664,6.431692364119002,49,64
glasnudel,6,52.333333333333336,6.7428974978614855,43,62
control,7,50.714285714285715,7.4097747539828696,40,63
meersalat,7,50.57142857142857,8.303757038376121,37,60
