species,baits
Hemitaurichthys,"MACKEREL, MEERSALAT"
Heniochus,"FISCHMIX, MACKEREL, MEERSALAT"
Hipposcarus,"FISCHMIX, MACKEREL, MEERSALAT"
Holocentridae,"CONTROL, GLASNUDEL, SARGASSUM"
Honeycomb (Siganus stellatus),"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Humpback Unicorn (Naso brachycentron),"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, SARGASSUM"
Humphead (Cheilinus undulatus),"FISCHMIX, GLASNUDEL"
Humpnose Bigeye (Monotaxis grandoculis),"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Indian Half-and-Half (Pycnochromis dimidiatus),"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Indian Longnose (Hipposcarus harid),"FISCHMIX, MACKEREL, MEERSALAT"
Indian Redfin (Chaetodon trifasciatus),"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Labrichthys,"CONTROL, MACKEREL, MEERSALAT, SARGASSUM"
Labridae,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Labroides,"FISCHMIX, GLASNUDEL, MACKEREL"
Leopard (Cephalopholis leopardus),"FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Lethrinidae,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Lethrinus,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Lined (Chaetodon lineolatus),"CONTROL, GLASNUDEL, MACKEREL, SARGASSUM"
Lined Bristletooth (Ctenochaetus striatus),"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Linedcheeked (Oxycheilinus digramma),"GLASNUDEL, MACKEREL, MEERSALAT"
Longbarbel (Parupeneus macronemus),"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Longfin Banner (Heniochus acuminatus),"MACKEREL, MEERSALAT"
Longnose (Forcipiger flavissimus),"CONTROL, GLASNUDEL, SARGASSUM"
Longnose (Oxymonacanthus longirostris),"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Lutjanidae,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Lutjanus,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Lyretail Hogfish (Bodianus anthioides),"FISCHMIX, MACKEREL, MEERSALAT"
Masked Banner (Heniochus monoceros),"FISCHMIX, MEERSALAT"
Meiacanthus,"CONTROL, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Meyer's (Chaetodon meyeri),"CONTROL, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Monacanthidae,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Monk (Acanthurus gahhm),MACKEREL
Monotaxis,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Moon (Thalassoma lunare),"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Moorish Idol (Zanclus cornutus),"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, SARGASSUM"
Mozambique Fangblenny (Meiacanthus mossambicus),"CONTROL, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Mullidae,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Mulloidichthys,"CONTROL, MEERSALAT, SARGASSUM"
Muraenidae,MACKEREL
Naso,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Nemipteridae,MACKEREL
Novaculichthys,MEERSALAT
Orange-lined (Balistapus undulatus),"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Orangespotted (Lethrinus erythracanthus),"CONTROL, GLASNUDEL, MEERSALAT, SARGASSUM"
Oxycheilinus,"GLASNUDEL, MACKEREL, MEERSALAT"
Oxymonacanthus,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Paletail Unicorn (Naso brevirostris),"GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Paracirrhites,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Parapercis,"CONTROL, FISCHMIX, MACKEREL, MEERSALAT, SARGASSUM"
Parupeneus,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Peacock (Cephalopholis argus),"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Pinguipedidae,"CONTROL, FISCHMIX, MACKEREL, MEERSALAT, SARGASSUM"
Pomacanthidae,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Pomacentridae,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Potato (Epinephelus tukula),MACKEREL
Pseudocheilinus,"CONTROL, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Pycnochromis,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Pygoplites,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Pyramid (Hemitaurichthys zoster),"MACKEREL, MEERSALAT"
Queenfish (Scomberoides lysan),MACKEREL
Raccoon (Chaetodon lunula),"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Red (Lutjanus bohar),"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Red-breasted (Cheilinus fasciatus),"CONTROL, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Redmouth (Aethaloperca rogaa),"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Regal (Pygoplites diacanthus),"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Rockmover (Novaculichthys taeniourus),MEERSALAT
Saddleback (Chaetodon falcula),"CONTROL, MACKEREL, MEERSALAT, SARGASSUM"
Sailfin Tang (Zebrasoma desjardinii),MACKEREL
Scaridae,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Scarus,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Scissortail Sergeant (Abudefduf sexfasciatus),"CONTROL, FISCHMIX, MACKEREL, MEERSALAT, SARGASSUM"
Scolopsis,MACKEREL
Scomberoides,MACKEREL
Scombridae,"CONTROL, GLASNUDEL, MEERSALAT"
Scrawled (Aluterus scriptus),CONTROL
Serranidae,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Sidespot (Parupeneus pleurostigma),"GLASNUDEL, MEERSALAT, SARGASSUM"
Siganidae,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Siganus,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Sixbar (Thalassoma hardwicke),"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Slingjaw (Epibulus insidiator),"CONTROL, GLASNUDEL, MEERSALAT, SARGASSUM"
Snubnose (Lethrinus borbonicus),"CONTROL, GLASNUDEL, MEERSALAT"
Speckled (Parapercis hexophthalma),"CONTROL, FISCHMIX, MACKEREL, MEERSALAT, SARGASSUM"
Spotted (Cetoscarus ocellatus),SARGASSUM
Spotted (Chaetodon guttatissimus),"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Spotted (Diodon hystrix),MACKEREL
Spotted Toby (Canthigaster solandri),"CONTROL, GLASNUDEL, MACKEREL, MEERSALAT"
Stareye (Calotomus carolinus),"MEERSALAT, SARGASSUM"
Stethojulis,MACKEREL
Swarthy (Scarus niger),"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Taeniura,CONTROL
Teardrop (Chaetodon interruptus),SARGASSUM
Ternate (Chromis ternatensis),"FISCHMIX, MACKEREL"
Tetraodontidae,"CONTROL, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Thalassoma,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
