control,fischmix,mackerel,sargassum,ulva_gutweed,ulva_salad
species::regal (pygoplites diacanthus),species::yellowhead (chaetodon xanthocephalus),species::monk (acanthurus gahhm),species::regal (pygoplites diacanthus),species::orangespotted (lethrinus erythracanthus),species::paletail unicorn (naso brevirostris)
species::saddleback (chaetodon falcula),,species::moon (thalassoma lunare),species::saddleback (chaetodon falcula),species::paletail unicorn (naso brevirostris),species::peacock (cephalopholis argus)
species::scissortail sergeant (abudefduf sexfasciatus),,species::moorish idol (zanclus cornutus),species::scissortail sergeant (abudefduf sexfasciatus),species::peacock (cephalopholis argus),species::pyramid (hemitaurichthys zoster)
species::scrawled (aluterus scriptus),,species::mozambique fangblenny (meiacanthus mossambicus),species::sidespot (parupeneus pleurostigma),species::raccoon (chaetodon lunula),species::raccoon (chaetodon lunula)
species::sixbar (thalassoma hardwicke),,species::orange-lined (balistapus undulatus),species::sixbar (thalassoma hardwicke),species::red (lutjanus bohar),species::red (lutjanus bohar)
species::slingjaw (epibulus insidiator),,species::paletail unicorn (naso brevirostris),species::slingjaw (epibulus insidiator),species::red-breasted (cheilinus fasciatus),species::red-breasted (cheilinus fasciatus)
species::speckled (parapercis hexophthalma),,species::peacock (cephalopholis argus),species::speckled (parapercis hexophthalma),species::redmouth (aethaloperca rogaa),species::redmouth (aethaloperca rogaa)
species::spotted (chaetodon guttatissimus),,species::potato (epinephelus tukula),species::spotted (cetoscarus ocellatus),species::regal (pygoplites diacanthus),species::regal (pygoplites diacanthus)
species::spotted toby (canthigaster solandri),,species::pyramid (hemitaurichthys zoster),species::spotted (chaetodon guttatissimus),species::sidespot (parupeneus pleurostigma),species::rockmover (novaculichthys taeniourus)
species::swarthy (scarus niger),,species::raccoon (chaetodon lunula),species::stareye (calotomus carolinus),species::sixbar (thalassoma hardwicke),species::saddleback (chaetodon falcula)
species::threadfin (chaetodon auriga),,species::red (lutjanus bohar),species::swarthy (scarus niger),species::slingjaw (epibulus insidiator),species::scissortail sergeant (abudefduf sexfasciatus)
species::titan (balistoides viridescens),,species::red-breasted (cheilinus fasciatus),species::threadfin (chaetodon auriga),species::snubnose (lethrinus borbonicus),species::sidespot (parupeneus pleurostigma)
