taxon_key,n_algaemix,n_mackerel,mean_algaemix,mean_mackerel,median_algaemix,median_mackerel,mean_diff_algaemix_minus_mackerel,mw_u_stat,mw_p_exact,perm_p_mean_diff,cliffs_delta_algaemix_minus_mackerel,bootstrap95ci_mean_diff_lo,bootstrap95ci_mean_diff_hi,presence_algaemix_pos,presence_algaemix_zero,presence_mackerel_pos,presence_mackerel_zero,fisher_p_presence,mw_p_exact_holm_focus2,mw_p_exact_bh_focus2,perm_p_mean_diff_holm_focus2,perm_p_mean_diff_bh_focus2,fisher_p_presence_holm_focus2,fisher_p_presence_bh_focus2,mw_p_from_existing,mw_p_holm_within_taxon_existing
species::paletail unicorn (naso brevirostris),3,4,30.333333333333332,0.0,26.0,0.0,30.333333333333332,12.0,0.05714285714285714,0.02679866006699665,1.0,13.0,52.0,3,0,0,4,0.028571428571428567,0.11428571428571428,0.05714285714285714,0.0535973201339933,0.02679866006699665,0.057142857142857134,0.028571428571428567,0.0319112047696387,0.1803916993698696
species::honeycomb (siganus stellatus),3,4,1.3333333333333333,0.0,1.0,0.0,1.3333333333333333,12.0,0.05714285714285714,0.02679866006699665,1.0,1.0,2.0,3,0,0,4,0.028571428571428567,0.11428571428571428,0.05714285714285714,0.0535973201339933,0.02679866006699665,0.057142857142857134,0.028571428571428567,0.0300652832283116,0.1803916993698696
