taxon_key,n_total,n_koeder,h_stat,p_value,eta_sq,dominant_koeder_mean,weakest_koeder_mean,mean_diff_max_minus_min,mean_algae_strings,mean_algaemix,mean_control,mean_mackerel,p_value_holm,p_value_bh,significant_holm,significant_bh
species::paletail unicorn (naso brevirostris),11,4,9.64824120603015,0.021805509390343192,0.9497487437185929,algaemix,control,30.333333333333332,6.666666666666667,30.333333333333332,0.0,0.0,0.08722203756137277,0.06605832063415869,False,False
species::honeycomb (siganus stellatus),11,4,8.735042735042734,0.033029160317079344,0.8192918192918192,algae_strings,control,2.0,2.0,1.3333333333333333,0.0,0.0,0.09908748095123804,0.06605832063415869,False,False
species::humpback (lutjanus gibbus),11,4,5.162601626016264,0.16027058091663646,0.3089430894308949,mackerel,algae_strings,3.0,0.0,0.6666666666666666,0.0,3.0,0.3205411618332729,0.2136941078888486,False,False
family_label::parrotfishes feeding,11,4,3.3580246913580276,0.3396479945026112,0.051146384479718233,algae_strings,control,1.3333333333333333,1.3333333333333333,0.6666666666666666,0.0,0.0,0.3396479945026112,0.3396479945026112,False,False
