feature,n_videos,n_fish,n_algae,mean_fish,mean_algae,beta_bait_fish_vs_algae,beta_site_utumbi,beta_interaction,p_perm_bait,p_perm_interaction,r2,direction,feature_type,p_bh_bait,p_bh_interaction,sig_bait_bh,sig_interaction_bh
plankton,28,9,19,77.88888888888889,72.57894736842105,0.2116357886245347,0.12830589324010358,-0.04720050918063241,0.7,0.9233333333333333,0.025845997688718314,fish,diet,0.8366666666666667,0.98,False,False
algae,28,9,19,77.88888888888889,71.05263157894737,0.19493038015821856,0.06334653514671407,0.017758848912756527,0.71,0.98,0.02528102345213168,fish,diet,0.8366666666666667,0.98,False,False
fish,28,9,19,3.7777777777777777,3.6315789473684212,0.09522214885474203,-0.46459407996129776,0.14758754465266027,0.75,0.69,0.23716811329370213,fish,diet,0.8366666666666667,0.98,False,False
invertebrates,28,9,19,6.777777777777778,4.842105263157895,0.0648582769184892,-0.15132856213710183,0.5303818453844122,0.8366666666666667,0.15666666666666668,0.2166070942304461,fish,diet,0.8366666666666667,0.6266666666666667,False,False
