feature,n_videos,n_fish,n_algae,mean_fish,mean_algae,beta_bait_fish_vs_algae,beta_site_utumbi,beta_interaction,p_perm_bait,p_perm_interaction,r2,direction,feature_type,p_bh_bait,p_bh_interaction,sig_bait_bh,sig_interaction_bh
plankton,28,9,19,77.88888888888889,72.57894736842105,0.2116357886245347,0.12830589324010358,-0.04720050918063241,0.7,0.9233333333333333,0.025845997688718314,fish,diet,0.8366666666666667,0.98,False,False
algae,28,9,19,77.88888888888889,71.05263157894737,0.19493038015821856,0.06334653514671407,0.017758848912756527,0.71,0.98,0.02528102345213168,fish,diet,0.8366666666666667,0.98,False,False
fish,28,9,19,3.7777777777777777,3.6315789473684212,0.09522214885474203,-0.46459407996129776,0.14758754465266027,0.75,0.69,0.23716811329370213,fish,diet,0.8366666666666667,0.98,False,False
invertebrates,28,9,19,6.777777777777778,4.842105263157895,0.0648582769184892,-0.15132856213710183,0.5303818453844122,0.8366666666666667,0.15666666666666668,0.2166070942304461,fish,diet,0.8366666666666667,0.6266666666666667,False,False
moorish_idol,28,9,19,1.4444444444444444,1.263157894736842,0.7513611467192197,0.7925136295952961,-1.2836058077700767,0.0033333333333333335,0.0033333333333333335,0.5032639903866958,fish,word_group,0.060000000000000005,0.060000000000000005,False,False
wrasses,28,9,19,6.111111111111111,2.473684210526316,0.5559699770460518,0.18781356897980936,0.22868443547833417,0.006666666666666667,0.4666666666666667,0.7248724545040715,fish,word_group,0.060000000000000005,0.9,False,False
surgeonfishes,28,9,19,15.555555555555555,4.0,1.0800712417902871,-0.41714227891918515,-0.7744770670876894,0.03,0.12666666666666668,0.45560085697431885,fish,word_group,0.156,0.7600000000000001,False,False
snappers,28,9,19,2.6666666666666665,1.0526315789473684,0.73697704309663,0.09939162569735437,-0.39171215321283936,0.04,0.29333333333333333,0.3072724442787633,fish,word_group,0.156,0.8325,False,False
triggerfishes,28,9,19,4.333333333333333,1.894736842105263,0.2838255756757151,0.4176003317119299,0.42760414552752973,0.043333333333333335,0.1,0.7816008164345107,fish,word_group,0.156,0.7600000000000001,False,False
groupers_large,28,9,19,2.4444444444444446,1.4736842105263157,0.3269778865434822,0.07485065371579701,-0.03169834284803025,0.09666666666666666,0.9633333333333334,0.27638638463245435,fish,word_group,0.29,1.0,False,False
elongate_sand_burrow_dwellers,28,9,19,0.5555555555555556,0.3157894736842105,0.3034212794122057,-0.24078902963924512,-0.24180819669576592,0.33666666666666667,0.36,0.23197669775362995,fish,word_group,0.8657142857142858,0.8325,False,False
butterflyfishes,28,9,19,2.3333333333333335,2.210526315789474,0.103060378019855,-0.1708398589594864,-0.04492169537934976,0.44333333333333336,0.8266666666666667,0.17435741230171709,fish,word_group,0.8880000000000001,1.0,False,False
emperors,28,9,19,1.7777777777777777,2.6315789473684212,-0.3245142115380314,-0.9315826209187488,0.5791198788559565,0.49,0.32666666666666666,0.3294016645579567,algae,word_group,0.8880000000000001,0.8325,False,False
trumpetfishes,28,9,19,0.6666666666666666,1.0,-0.2079441541679834,0.22873279346935874,-0.07832505379173177,0.49333333333333335,0.8633333333333333,0.20506865468304325,algae,word_group,0.8880000000000001,1.0,False,False
