site,feature_type,feature,n_total,n_baits,h_stat,p_value,eta_sq,dominant_bait,weakest_bait,mean_diff_max_minus_min,p_value_holm,p_value_bh,significant_holm,significant_bh
utumbi,word_group,wrasses,18,6,13.5005417118093,0.019113505990571506,0.7083784759841083,fischmix,ulva_gutweed,5.5,0.43961063778314463,0.12754525634592595,False,False
utumbi,word_group,triggerfishes,18,6,13.21014089729329,0.021487120074739206,0.6841784081077741,fischmix,control,6.0,0.4727166416442625,0.12754525634592595,False,False
utumbi,word_group,fusiliers,18,6,12.821454678362576,0.025110634216664065,0.651787889863548,ulva_salad,ulva_gutweed,74.33333333333333,0.5273233185499454,0.12754525634592595,False,False
utumbi,word_group,angelfishes,18,6,12.631944444444445,0.02708313120314237,0.6359953703703703,ulva_gutweed,ulva_salad,1.6666666666666665,0.5416626240628474,0.12754525634592595,False,False
utumbi,word_group,eels,18,6,12.572916666666675,0.027727229640418686,0.6310763888888896,mackerel,control,1.3333333333333333,0.5416626240628474,0.12754525634592595,False,False
utumbi,word_group,rabbitfishes,18,6,9.238383838383832,0.09992534095023269,0.3531986531986527,ulva_salad,sargassum,3.0,1.0,0.2899470020815706,False,False
utumbi,word_group,small_ovals_damselfishes,18,6,9.176136363636354,0.10224157139305416,0.34801136363636287,mackerel,fischmix,76.0,1.0,0.2899470020815706,False,False
utumbi,word_group,goatfishes,18,6,8.920121173469383,0.11229298725322368,0.3266767644557819,sargassum,mackerel,4.0,1.0,0.2899470020815706,False,False
utumbi,word_group,snappers,18,6,8.891823687752353,0.11345752255365806,0.32431864064602944,mackerel,ulva_salad,1.666666666666667,1.0,0.2899470020815706,False,False
utumbi,word_group,hawkfishes,18,6,8.499999999999996,0.1307477892744255,0.29166666666666635,fischmix,mackerel,1.6666666666666667,1.0,0.3007199153311787,False,False
utumbi,word_group,moorish_idol,18,6,8.004166666666663,0.15600614385857112,0.2503472222222219,sargassum,mackerel,2.0,1.0,0.3261946644315578,False,False
utumbi,word_group,emperors,18,6,6.670138888888879,0.24635074960360268,0.1391782407407399,fischmix,control,1.25,1.0,0.4389091247794158,False,False
utumbi,word_group,groupers_large,18,6,6.640624999999982,0.2487683112298823,0.13671874999999853,fischmix,ulva_salad,1.1666666666666667,1.0,0.4389091247794158,False,False
utumbi,word_group,parrotfishes,18,6,6.252133402995473,0.2824525853523582,0.10434445024962276,ulva_salad,fischmix,28.833333333333336,1.0,0.4389091247794158,False,False
utumbi,word_group,filefishes,18,6,6.210791037951519,0.28624508137787985,0.10089925316262656,control,fischmix,1.0,1.0,0.4389091247794158,False,False
utumbi,word_group,coral_breams,18,6,5.647809206877415,0.3420100917330949,0.05398410057311794,ulva_gutweed,fischmix,1.0,1.0,0.48420625013039775,False,False
utumbi,word_group,trumpetfishes,18,6,5.472718253968266,0.36094669842359645,0.03939318783068887,ulva_salad,fischmix,1.1666666666666667,1.0,0.48420625013039775,False,False
utumbi,word_group,puffers,18,6,5.312499999999992,0.37894402184118087,0.026041666666666,control,fischmix,0.75,1.0,0.48420625013039775,False,False
utumbi,word_group,porcupinefishes,18,6,4.249999999999978,0.5140118424932254,0.0,sargassum,control,0.3333333333333333,1.0,0.6222248619654834,False,False
utumbi,word_group,elongate_sand_burrow_dwellers,18,6,3.96666666666666,0.5542250766753937,0.0,fischmix,mackerel,0.5,1.0,0.6373588381767028,False,False
utumbi,word_group,surgeonfishes,18,6,3.595050618672652,0.6090565726342929,0.0,control,sargassum,7.916666666666666,1.0,0.6670619605042256,False,False
utumbi,word_group,blennies,18,6,2.866414835164822,0.7205716024519725,0.0,fischmix,sargassum,0.8333333333333334,1.0,0.7533248571088804,False,False
utumbi,word_group,butterflyfishes,18,6,1.638888888888868,0.8965069808456266,0.0,control,sargassum,0.33333333333333326,1.0,0.8965069808456265,False,False
