filename,date,standort,koeder
20240515-milimani-mackerel.csv,20240515,milimani,mackerel
20241025-milimani-mackerel.csv,20241025,milimani,mackerel
20241026-milimani-ulva_gutweed.csv,20241026,milimani,ulva_gutweed
20241027-milimani-ulva_salad.csv,20241027,milimani,ulva_salad
20241029-milimani-ulva_gutweed.csv,20241029,milimani,ulva_gutweed
20241030-milimani-ulva_gutweed.csv,20241030,milimani,ulva_gutweed
20241105-milimani-ulva_salad.csv,20241105,milimani,ulva_salad
20241110-milimani-ulva_salad.csv,20241110,milimani,ulva_salad
20241111-milimani-control.csv,20241111,milimani,control
20241112-milimani-ulva_salad.csv,20241112,milimani,ulva_salad
20241114-milimani-control.csv,20241114,milimani,control
20241115-milimani-control.csv,20241115,milimani,control
20241124-milimani-mackerel.csv,20241124,milimani,mackerel
20241127-milimani-sargassum.csv,20241127,milimani,sargassum
20241128-milimani-sargassum.csv,20241128,milimani,sargassum
20241129-milimani-sargassum.csv,20241129,milimani,sargassum
20241210-milimani-fischmix.csv,20241210,milimani,fischmix
20240106-nursery-mackerel.csv,20240106,nursery,mackerel
20240108-nursery-control.csv,20240108,nursery,control
20240223-nursery-mackerel.csv,20240223,nursery,mackerel
20241126-nursery-mackerel.csv,20241126,nursery,mackerel
20241204-nursery-algae_strings.csv,20241204,nursery,algae_strings
20241205-nursery-algae_strings.csv,20241205,nursery,algae_strings
20241206-nursery-algae_strings.csv,20241206,nursery,algae_strings
20241208-nursery-algaemix.csv,20241208,nursery,algaemix
20241209-nursery-algaemix.csv,20241209,nursery,algaemix
20241210-nursery-algaemix.csv,20241210,nursery,algaemix
20251212-nursery-mackerel.csv,20251212,nursery,mackerel
20240516-utumbi-mackerel.csv,20240516,utumbi,mackerel
20241025-utumbi-ulva_salad.csv,20241025,utumbi,ulva_salad
20241026-utumbi-mackerel.csv,20241026,utumbi,mackerel
20241027-utumbi-ulva_salad.csv,20241027,utumbi,ulva_salad
20241029-utumbi-ulva_gutweed.csv,20241029,utumbi,ulva_gutweed
20241030-utumbi-ulva_gutweed.csv,20241030,utumbi,ulva_gutweed
20241105-utumbi-control.csv,20241105,utumbi,control
20241110-utumbi-ulva_salad.csv,20241110,utumbi,ulva_salad
20241111-utumbi-control.csv,20241111,utumbi,control
20241112-utumbi-ulva_gutweed.csv,20241112,utumbi,ulva_gutweed
20241114-utumbi-control.csv,20241114,utumbi,control
20241115-utumbi-control.csv,20241115,utumbi,control
20241124-utumbi-mackerel.csv,20241124,utumbi,mackerel
20241127-utumbi-sargassum.csv,20241127,utumbi,sargassum
20241128-utumbi-sargassum.csv,20241128,utumbi,sargassum
20241129-utumbi-sargassum.csv,20241129,utumbi,sargassum
20241209-utumbi-fischmix.csv,20241209,utumbi,fischmix
20241210-utumbi-fischmix.csv,20241210,utumbi,fischmix
