filename,date,standort,koeder,taxon_key,maxn
20240515-milimani-mackerel.csv,20240515,milimani,mackerel,species::goldbar (thalassoma hebraicum),1
20240515-milimani-mackerel.csv,20240515,milimani,mackerel,species::brown tang (zebrasoma scopas),4
20240515-milimani-mackerel.csv,20240515,milimani,mackerel,species::indian half-and-half (pycnochromis dimidiatus),105
20240515-milimani-mackerel.csv,20240515,milimani,mackerel,species::speckled (parapercis hexophthalma),2
20240515-milimani-mackerel.csv,20240515,milimani,mackerel,species::indian longnose (hipposcarus harid),12
20240515-milimani-mackerel.csv,20240515,milimani,mackerel,species::bird wrasse (gomphosus caeruleus),3
20240515-milimani-mackerel.csv,20240515,milimani,mackerel,species::lined bristletooth (ctenochaetus striatus),7
20240515-milimani-mackerel.csv,20240515,milimani,mackerel,species::moon (thalassoma lunare),1
20240515-milimani-mackerel.csv,20240515,milimani,mackerel,species::swarthy (scarus niger),1
20240515-milimani-mackerel.csv,20240515,milimani,mackerel,species::brown pigmy (centropyge multispinis),4
20240515-milimani-mackerel.csv,20240515,milimani,mackerel,species::bullethead (chlorurus sordidus),1
20240515-milimani-mackerel.csv,20240515,milimani,mackerel,species::orange-lined (balistapus undulatus),2
20240515-milimani-mackerel.csv,20240515,milimani,mackerel,family_label::parrotfishes (scaridae),16
20240515-milimani-mackerel.csv,20240515,milimani,mackerel,species::raccoon (chaetodon lunula),2
20240515-milimani-mackerel.csv,20240515,milimani,mackerel,species::green (amblyglyphidodon indicus),3
20240515-milimani-mackerel.csv,20240515,milimani,mackerel,family_label::wrasses (labridae),1
20240515-milimani-mackerel.csv,20240515,milimani,mackerel,species::paletail unicorn (naso brevirostris),2
20240515-milimani-mackerel.csv,20240515,milimani,mackerel,genus::genus chromis,87
20240515-milimani-mackerel.csv,20240515,milimani,mackerel,family_label::puffers (tetraodontidae),2
20240515-milimani-mackerel.csv,20240515,milimani,mackerel,species::longbarbel (parupeneus macronemus),3
20240515-milimani-mackerel.csv,20240515,milimani,mackerel,species::spotted toby (canthigaster solandri),2
20240515-milimani-mackerel.csv,20240515,milimani,mackerel,species::disappearing (pseudocheilinus evanidus),4
20240515-milimani-mackerel.csv,20240515,milimani,mackerel,species::mozambique fangblenny (meiacanthus mossambicus),3
20240515-milimani-mackerel.csv,20240515,milimani,mackerel,species::regal (pygoplites diacanthus),2
20240515-milimani-mackerel.csv,20240515,milimani,mackerel,species::sixbar (thalassoma hardwicke),1
20240515-milimani-mackerel.csv,20240515,milimani,mackerel,species::wirenet (cantherhines pardalis),1
20240515-milimani-mackerel.csv,20240515,milimani,mackerel,species::redmouth (aethaloperca rogaa),1
20240515-milimani-mackerel.csv,20240515,milimani,mackerel,family_label::groupers (serranidae),1
20240515-milimani-mackerel.csv,20240515,milimani,mackerel,species::peacock (cephalopholis argus),1
20240515-milimani-mackerel.csv,20240515,milimani,mackerel,species::freckled (paracirrhites forsteri),1
20240515-milimani-mackerel.csv,20240515,milimani,mackerel,species::red-breasted (cheilinus fasciatus),1
20240515-milimani-mackerel.csv,20240515,milimani,mackerel,species::moorish idol (zanclus cornutus),2
20240515-milimani-mackerel.csv,20240515,milimani,mackerel,species::red (lutjanus bohar),1
20240515-milimani-mackerel.csv,20240515,milimani,mackerel,species::yellowhead (chaetodon xanthocephalus),1
20240515-milimani-mackerel.csv,20240515,milimani,mackerel,species::blackeye (hemigymnus melapterus),1
20240515-milimani-mackerel.csv,20240515,milimani,mackerel,species::potato (epinephelus tukula),1
20240515-milimani-mackerel.csv,20240515,milimani,mackerel,species::threadfin (chaetodon auriga),3
20240515-milimani-mackerel.csv,20240515,milimani,mackerel,species::axilspot hogfish (bodianus axillaris),1
20240515-milimani-mackerel.csv,20240515,milimani,mackerel,species::eclipse (chaetodon bennetti),1
20240515-milimani-mackerel.csv,20240515,milimani,mackerel,species::honeycomb (siganus stellatus),2
20240515-milimani-mackerel.csv,20240515,milimani,mackerel,species::humpnose bigeye (monotaxis grandoculis),5
20240515-milimani-mackerel.csv,20240515,milimani,mackerel,species::lined (chaetodon lineolatus),2
20240515-milimani-mackerel.csv,20240515,milimani,mackerel,species::titan (balistoides viridescens),1
20240515-milimani-mackerel.csv,20240515,milimani,mackerel,species::checkerboard (halichoeres hortulanus),1
20240515-milimani-mackerel.csv,20240515,milimani,mackerel,species::barred (hemigymnus fasciatus),3
20240515-milimani-mackerel.csv,20240515,milimani,mackerel,species::indian redfin (chaetodon trifasciatus),2
20240515-milimani-mackerel.csv,20240515,milimani,mackerel,species::black-backed (chaetodon melannotus),2
20240515-milimani-mackerel.csv,20240515,milimani,mackerel,species::saddleback (chaetodon falcula),2
20240515-milimani-mackerel.csv,20240515,milimani,mackerel,species::longfin banner (heniochus acuminatus),2
20240515-milimani-mackerel.csv,20240515,milimani,mackerel,species::humpback unicorn (naso brachycentron),1
20240515-milimani-mackerel.csv,20240515,milimani,mackerel,family_label::cornetfishes (fistulariidae),1
20240515-milimani-mackerel.csv,20240515,milimani,mackerel,species::meyer's (chaetodon meyeri),1
20240515-milimani-mackerel.csv,20240515,milimani,mackerel,species::trumpetfish (aulostomus chinensis),1
20241025-milimani-mackerel.csv,20241025,milimani,mackerel,species::undulated (gymnothorax undulatus),1
