site,family,algae_present,algae_total,fish_present,fish_total,algae_rate,fish_rate,present_total,direction_observed,fisher_p_two_sided,fisher_p_directional,q_bh_two_sided_site,q_holm_two_sided_site,q_bh_directional_site,q_holm_directional_site
utumbi,zanclidae,9,9,3,5,1.0,0.6,12,algae>fish,0.1098901098901099,0.10989010989010989,0.8791208791208792,1.0,0.7552447552447553,1.0
utumbi,carangidae,5,9,5,5,0.5555555555555556,1.0,10,fish>algae,0.2207792207792208,0.1258741258741259,1.0,1.0,0.7552447552447553,1.0
utumbi,nemipteridae,3,9,0,5,0.3333333333333333,0.0,3,algae>fish,0.25824175824175827,0.23076923076923075,1.0,1.0,0.923076923076923,1.0
utumbi,tetraodontidae,3,9,0,5,0.3333333333333333,0.0,3,algae>fish,0.25824175824175827,0.23076923076923075,1.0,1.0,0.923076923076923,1.0
utumbi,cirrhitidae,8,9,3,5,0.8888888888888888,0.6,11,algae>fish,0.5054945054945055,0.2747252747252747,1.0,1.0,0.9419152276295132,1.0
utumbi,blenniidae,6,9,4,5,0.6666666666666666,0.8,10,fish>algae,1.0,0.5454545454545454,1.0,1.0,1.0,1.0
utumbi,lethrinidae,6,9,4,5,0.6666666666666666,0.8,10,fish>algae,1.0,0.5454545454545454,1.0,1.0,1.0,1.0
utumbi,caesionidae,6,9,3,5,0.6666666666666666,0.6,9,algae>fish,1.0,0.6223776223776223,1.0,1.0,1.0,1.0
utumbi,lutjanidae,8,9,5,5,0.8888888888888888,1.0,13,fish>algae,1.0,0.6428571428571428,1.0,1.0,1.0,1.0
utumbi,monacanthidae,4,9,2,5,0.4444444444444444,0.4,6,algae>fish,1.0,0.6573426573426573,1.0,1.0,1.0,1.0
utumbi,siganidae,5,9,3,5,0.5555555555555556,0.6,8,fish>algae,1.0,0.6573426573426573,1.0,1.0,1.0,1.0
utumbi,scombridae,2,9,1,5,0.2222222222222222,0.2,3,algae>fish,1.0,0.7252747252747253,1.0,1.0,1.0,1.0
utumbi,acanthuridae,9,9,5,5,1.0,1.0,14,algae>fish,1.0,1.0,1.0,1.0,1.0,1.0
utumbi,balistidae,9,9,5,5,1.0,1.0,14,algae>fish,1.0,1.0,1.0,1.0,1.0,1.0
utumbi,chaetodontidae,9,9,5,5,1.0,1.0,14,algae>fish,1.0,1.0,1.0,1.0,1.0,1.0
utumbi,holocentridae,9,9,5,5,1.0,1.0,14,algae>fish,1.0,1.0,1.0,1.0,1.0,1.0
utumbi,labridae,9,9,5,5,1.0,1.0,14,algae>fish,1.0,1.0,1.0,1.0,1.0,1.0
utumbi,mullidae,9,9,5,5,1.0,1.0,14,algae>fish,1.0,1.0,1.0,1.0,1.0,1.0
utumbi,pomacanthidae,9,9,5,5,1.0,1.0,14,algae>fish,1.0,1.0,1.0,1.0,1.0,1.0
utumbi,pomacentridae,9,9,5,5,1.0,1.0,14,algae>fish,1.0,1.0,1.0,1.0,1.0,1.0
utumbi,scaridae,9,9,5,5,1.0,1.0,14,algae>fish,1.0,1.0,1.0,1.0,1.0,1.0
utumbi,serranidae,9,9,5,5,1.0,1.0,14,algae>fish,1.0,1.0,1.0,1.0,1.0,1.0
