filename,date,standort,koeder,total_feeding_events,total_interested_events,feeding_unique_taxa,interested_unique_taxa
20240515-milimani-mackerel.csv,20240515,milimani,mackerel,0,0,0,0
20241025-milimani-mackerel.csv,20241025,milimani,mackerel,0,0,0,0
20241026-milimani-ulva_gutweed.csv,20241026,milimani,ulva_gutweed,0,2,0,1
20241027-milimani-ulva_salad.csv,20241027,milimani,ulva_salad,1,0,1,0
20241029-milimani-ulva_gutweed.csv,20241029,milimani,ulva_gutweed,0,0,0,0
20241030-milimani-ulva_gutweed.csv,20241030,milimani,ulva_gutweed,0,0,0,0
20241105-milimani-ulva_salad.csv,20241105,milimani,ulva_salad,0,0,0,0
20241110-milimani-ulva_salad.csv,20241110,milimani,ulva_salad,0,0,0,0
20241111-milimani-control.csv,20241111,milimani,control,0,0,0,0
20241112-milimani-ulva_salad.csv,20241112,milimani,ulva_salad,0,0,0,0
20241114-milimani-control.csv,20241114,milimani,control,0,0,0,0
20241115-milimani-control.csv,20241115,milimani,control,0,0,0,0
20241124-milimani-mackerel.csv,20241124,milimani,mackerel,13,13,4,5
20241127-milimani-sargassum.csv,20241127,milimani,sargassum,2,7,1,4
20241128-milimani-sargassum.csv,20241128,milimani,sargassum,2,9,1,1
20241129-milimani-sargassum.csv,20241129,milimani,sargassum,2,4,2,3
20241210-milimani-fischmix.csv,20241210,milimani,fischmix,12,18,5,5
20240106-nursery-mackerel.csv,20240106,nursery,mackerel,4,0,2,0
20240108-nursery-control.csv,20240108,nursery,control,0,0,0,0
20240223-nursery-mackerel.csv,20240223,nursery,mackerel,11,8,4,1
20241126-nursery-mackerel.csv,20241126,nursery,mackerel,5,0,1,0
20241204-nursery-algae_strings.csv,20241204,nursery,algae_strings,17,7,6,3
20241205-nursery-algae_strings.csv,20241205,nursery,algae_strings,13,1,5,1
20241206-nursery-algae_strings.csv,20241206,nursery,algae_strings,11,0,4,0
20241208-nursery-algaemix.csv,20241208,nursery,algaemix,54,26,3,4
20241209-nursery-algaemix.csv,20241209,nursery,algaemix,16,4,3,3
20241210-nursery-algaemix.csv,20241210,nursery,algaemix,31,0,5,0
20251212-nursery-mackerel.csv,20251212,nursery,mackerel,3,6,2,4
20240516-utumbi-mackerel.csv,20240516,utumbi,mackerel,6,5,3,4
20241025-utumbi-ulva_salad.csv,20241025,utumbi,ulva_salad,1,1,1,1
20241026-utumbi-mackerel.csv,20241026,utumbi,mackerel,21,8,7,4
20241027-utumbi-ulva_salad.csv,20241027,utumbi,ulva_salad,1,4,1,3
20241029-utumbi-ulva_gutweed.csv,20241029,utumbi,ulva_gutweed,1,1,1,1
20241030-utumbi-ulva_gutweed.csv,20241030,utumbi,ulva_gutweed,0,0,0,0
20241105-utumbi-control.csv,20241105,utumbi,control,1,1,1,1
20241110-utumbi-ulva_salad.csv,20241110,utumbi,ulva_salad,5,3,4,3
20241111-utumbi-control.csv,20241111,utumbi,control,0,0,0,0
20241112-utumbi-ulva_gutweed.csv,20241112,utumbi,ulva_gutweed,0,1,0,1
20241114-utumbi-control.csv,20241114,utumbi,control,0,0,0,0
20241115-utumbi-control.csv,20241115,utumbi,control,0,0,0,0
20241124-utumbi-mackerel.csv,20241124,utumbi,mackerel,17,32,7,9
20241127-utumbi-sargassum.csv,20241127,utumbi,sargassum,10,2,5,2
20241128-utumbi-sargassum.csv,20241128,utumbi,sargassum,1,1,1,1
20241129-utumbi-sargassum.csv,20241129,utumbi,sargassum,2,4,2,3
20241209-utumbi-fischmix.csv,20241209,utumbi,fischmix,31,25,8,7
20241210-utumbi-fischmix.csv,20241210,utumbi,fischmix,16,11,9,4
