site,flag,koeder_a,koeder_b,n_a,n_b,mean_total_a,mean_total_b,u_stat,p_value,p_value_holm,significant_0_05,significant_0_05_holm,sig_label_raw,sig_label_holm
nursery,feeding,algae_strings,algaemix,3,3,13.666666666666666,33.666666666666664,1.0,0.2,0.8,False,False,ns,ns
nursery,feeding,algae_strings,control,3,1,13.666666666666666,0.0,3.0,0.5,1.0,False,False,ns,ns
nursery,feeding,algae_strings,mackerel,3,4,13.666666666666666,5.75,11.5,0.07446183141740546,0.37230915708702733,False,False,ns,ns
nursery,feeding,algaemix,control,3,1,33.666666666666664,0.0,3.0,0.5,1.0,False,False,ns,ns
nursery,feeding,algaemix,mackerel,3,4,33.666666666666664,5.75,12.0,0.05714285714285714,0.34285714285714286,False,False,ns,ns
nursery,feeding,control,mackerel,1,4,0.0,5.75,0.0,0.4,1.0,False,False,ns,ns
