comparison_key,comparison,level,metric_source,taxon,n_present_videos_total,groups,mean_algae_strings,occ_algae_strings,n_algae_strings,mean_algaemix,occ_algaemix,n_algaemix,mean_mackerel,occ_mackerel,n_mackerel,test,statistic,p_value,effect_name,effect_size,perm_p_value_mean_diff,p_value_holm,p_value_bh,sig_raw,sig_holm,sig_bh,significant_raw,significant_holm,significant_bh
three_baits,Vergleich 3: algae_strings vs algaemix vs mackerel,family,family_maxn_by_taxon,mullidae,10,algae_strings | algaemix | mackerel,5.666666666666667,1.0,3,4.333333333333333,1.0,3,3.75,1.0,4,Kruskal-Wallis,1.7093558282208579,0.42542019085885663,epsilon_squared,0.0,,1.0,0.6806723053741706,ns,ns,ns,False,False,False
three_baits,Vergleich 3: algae_strings vs algaemix vs mackerel,family,family_maxn_by_taxon,zanclidae,8,algae_strings | algaemix | mackerel,1.6666666666666667,1.0,3,4.0,1.0,3,2.25,0.5,4,Kruskal-Wallis,1.481132075471693,0.47684392745947624,epsilon_squared,0.0,,1.0,0.7152658911892144,ns,ns,ns,False,False,False
three_baits,Vergleich 3: algae_strings vs algaemix vs mackerel,family,family_maxn_by_taxon,monacanthidae,4,algae_strings | algaemix | mackerel,0.3333333333333333,0.3333333333333333,3,0.6666666666666666,0.6666666666666666,3,0.25,0.25,4,Kruskal-Wallis,1.1875000000000044,0.5522524501630192,epsilon_squared,0.0,,1.0,0.7796505178772035,ns,ns,ns,False,False,False
three_baits,Vergleich 3: algae_strings vs algaemix vs mackerel,family,family_maxn_by_taxon,tetraodontidae,7,algae_strings | algaemix | mackerel,0.6666666666666666,0.6666666666666666,3,1.0,0.6666666666666666,3,1.25,0.75,4,Kruskal-Wallis,0.8750000000000018,0.6456485264278915,epsilon_squared,0.0,,1.0,0.8425745582107477,ns,ns,ns,False,False,False
three_baits,Vergleich 3: algae_strings vs algaemix vs mackerel,family,family_maxn_by_taxon,pomacentridae,10,algae_strings | algaemix | mackerel,6.666666666666667,1.0,3,8.333333333333334,1.0,3,11.25,1.0,4,Kruskal-Wallis,0.8098159509202425,0.667038191916842,epsilon_squared,0.0,,1.0,0.8425745582107477,ns,ns,ns,False,False,False
three_baits,Vergleich 3: algae_strings vs algaemix vs mackerel,family,family_maxn_by_taxon,fistulariidae,6,algae_strings | algaemix | mackerel,0.6666666666666666,0.6666666666666666,3,2.0,0.6666666666666666,3,1.75,0.5,4,Kruskal-Wallis,0.546357615894032,0.7609567103563012,epsilon_squared,0.0,,1.0,0.9131480524275615,ns,ns,ns,False,False,False
three_baits,Vergleich 3: algae_strings vs algaemix vs mackerel,family,family_maxn_by_taxon,carangidae,9,algae_strings | algaemix | mackerel,1.6666666666666667,1.0,3,1.3333333333333333,1.0,3,3.5,0.75,4,Kruskal-Wallis,0.3551324503311212,0.8373055468011358,epsilon_squared,0.0,,1.0,0.9569206249155838,ns,ns,ns,False,False,False
three_baits,Vergleich 3: algae_strings vs algaemix vs mackerel,family,family_maxn_by_taxon,chaetodontidae,10,algae_strings | algaemix | mackerel,4.666666666666667,1.0,3,5.0,1.0,3,3.75,1.0,4,Kruskal-Wallis,0.23842592592591896,0.8876187507132051,epsilon_squared,0.0,,1.0,0.9683113644144055,ns,ns,ns,False,False,False
three_baits,Vergleich 3: algae_strings vs algaemix vs mackerel,family,family_maxn_by_taxon,diodontidae,3,algae_strings | algaemix | mackerel,0.3333333333333333,0.3333333333333333,3,0.3333333333333333,0.3333333333333333,3,0.25,0.25,4,Kruskal-Wallis,0.07142857142856229,0.9649159443723745,epsilon_squared,0.0,,1.0,0.9696660244823194,ns,ns,ns,False,False,False
three_baits,Vergleich 3: algae_strings vs algaemix vs mackerel,family,family_maxn_by_taxon,pomacanthidae,5,algae_strings | algaemix | mackerel,0.6666666666666666,0.6666666666666666,3,0.6666666666666666,0.3333333333333333,3,0.75,0.5,4,Kruskal-Wallis,0.061607142857137066,0.9696660244823194,epsilon_squared,0.0,,1.0,0.9696660244823194,ns,ns,ns,False,False,False
