comparison_key,comparison,level,metric_source,taxon,n_present_videos_total,groups,mean_algaemix,occ_algaemix,n_algaemix,mean_mackerel,occ_mackerel,n_mackerel,test,statistic,p_value,effect_name,effect_size,perm_p_value_mean_diff,p_value_holm,p_value_bh,sig_raw,sig_holm,sig_bh,significant_raw,significant_holm,significant_bh
mix_vs_mackerel,Vergleich 2: algaemix vs mackerel,family,family_maxn_by_taxon,acanthuridae,7,algaemix | mackerel,26.666666666666668,1.0,3,5.5,1.0,4,Mann-Whitney U,12.0,0.05714285714285714,cliffs_delta,1.0,0.02857142857142857,1.0,0.45714285714285713,ns,ns,ns,False,False,False
mix_vs_mackerel,Vergleich 2: algaemix vs mackerel,family,family_maxn_by_taxon,balistidae,6,algaemix | mackerel,4.333333333333333,1.0,3,1.0,0.75,4,Mann-Whitney U,12.0,0.05714285714285714,cliffs_delta,1.0,0.02857142857142857,1.0,0.45714285714285713,ns,ns,ns,False,False,False
mix_vs_mackerel,Vergleich 2: algaemix vs mackerel,family,family_maxn_by_taxon,nemipteridae,5,algaemix | mackerel,14.0,1.0,3,2.0,0.5,4,Mann-Whitney U,12.0,0.05714285714285714,cliffs_delta,1.0,0.02857142857142857,1.0,0.45714285714285713,ns,ns,ns,False,False,False
mix_vs_mackerel,Vergleich 2: algaemix vs mackerel,family,family_maxn_by_taxon,lutjanidae,7,algaemix | mackerel,36.0,1.0,3,15.25,1.0,4,Mann-Whitney U,11.0,0.11428571428571428,cliffs_delta,0.8333333333333334,0.11428571428571428,1.0,0.6857142857142857,ns,ns,ns,False,False,False
mix_vs_mackerel,Vergleich 2: algaemix vs mackerel,family,family_maxn_by_taxon,lethrinidae,4,algaemix | mackerel,0.3333333333333333,0.3333333333333333,3,1.5,0.75,4,Mann-Whitney U,2.0,0.22857142857142856,cliffs_delta,-0.6666666666666666,0.22857142857142856,1.0,0.6857142857142857,ns,ns,ns,False,False,False
mix_vs_mackerel,Vergleich 2: algaemix vs mackerel,family,family_maxn_by_taxon,muraenidae,2,algaemix | mackerel,1.0,0.6666666666666666,3,0.0,0.0,4,Mann-Whitney U,10.0,0.22857142857142856,cliffs_delta,0.6666666666666666,0.14285714285714285,1.0,0.6857142857142857,ns,ns,ns,False,False,False
mix_vs_mackerel,Vergleich 2: algaemix vs mackerel,family,family_maxn_by_taxon,siganidae,5,algaemix | mackerel,5.0,1.0,3,1.75,0.5,4,Mann-Whitney U,10.0,0.22857142857142856,cliffs_delta,0.6666666666666666,0.11428571428571428,1.0,0.6857142857142857,ns,ns,ns,False,False,False
mix_vs_mackerel,Vergleich 2: algaemix vs mackerel,family,family_maxn_by_taxon,pinguipedidae,6,algaemix | mackerel,0.6666666666666666,0.6666666666666666,3,2.25,1.0,4,Mann-Whitney U,2.0,0.22857142857142856,cliffs_delta,-0.6666666666666666,0.2857142857142857,1.0,0.6857142857142857,ns,ns,ns,False,False,False
mix_vs_mackerel,Vergleich 2: algaemix vs mackerel,family,family_maxn_by_taxon,labridae,7,algaemix | mackerel,1.3333333333333333,1.0,3,4.5,1.0,4,Mann-Whitney U,2.5,0.4,cliffs_delta,-0.5833333333333334,0.37142857142857144,1.0,0.7384615384615386,ns,ns,ns,False,False,False
mix_vs_mackerel,Vergleich 2: algaemix vs mackerel,family,family_maxn_by_taxon,caesionidae,5,algaemix | mackerel,5.666666666666667,1.0,3,2.25,0.5,4,Mann-Whitney U,9.5,0.4,cliffs_delta,0.5833333333333334,0.2571428571428571,1.0,0.7384615384615386,ns,ns,ns,False,False,False
