comparison_key,comparison,level,metric_source,taxon,n_present_videos_total,groups,mean_algaemix,occ_algaemix,n_algaemix,mean_mackerel,occ_mackerel,n_mackerel,test,statistic,p_value,effect_name,effect_size,perm_p_value_mean_diff,p_value_holm,p_value_bh,sig_raw,sig_holm,sig_bh,significant_raw,significant_holm,significant_bh
mix_vs_mackerel,Vergleich 2: algaemix vs mackerel,species,species_maxn_by_taxon,arabian monocle (scolopsis ghanam),5,algaemix | mackerel,14.0,1.0,3,2.0,0.5,4,Mann-Whitney U,12.0,0.05714285714285714,cliffs_delta,1.0,0.02857142857142857,1.0,0.9428571428571428,ns,ns,ns,False,False,False
mix_vs_mackerel,Vergleich 2: algaemix vs mackerel,species,species_maxn_by_taxon,paletail unicorn (naso brevirostris),6,algaemix | mackerel,26.666666666666668,1.0,3,3.25,0.75,4,Mann-Whitney U,12.0,0.05714285714285714,cliffs_delta,1.0,0.02857142857142857,1.0,0.9428571428571428,ns,ns,ns,False,False,False
mix_vs_mackerel,Vergleich 2: algaemix vs mackerel,species,species_maxn_by_taxon,sailfin tang (zebrasoma desjardinii),5,algaemix | mackerel,2.3333333333333335,1.0,3,0.5,0.5,4,Mann-Whitney U,12.0,0.05714285714285714,cliffs_delta,1.0,0.02857142857142857,1.0,0.9428571428571428,ns,ns,ns,False,False,False
mix_vs_mackerel,Vergleich 2: algaemix vs mackerel,species,species_maxn_by_taxon,yellowstripe (mulloidichthys flavolineatus),3,algaemix | mackerel,4.333333333333333,1.0,3,0.0,0.0,4,Mann-Whitney U,12.0,0.05714285714285714,cliffs_delta,1.0,0.02857142857142857,1.0,0.9428571428571428,ns,ns,ns,False,False,False
mix_vs_mackerel,Vergleich 2: algaemix vs mackerel,species,species_maxn_by_taxon,humpback (lutjanus gibbus),7,algaemix | mackerel,36.0,1.0,3,14.75,1.0,4,Mann-Whitney U,11.0,0.11428571428571428,cliffs_delta,0.8333333333333334,0.11428571428571428,1.0,0.9428571428571428,ns,ns,ns,False,False,False
mix_vs_mackerel,Vergleich 2: algaemix vs mackerel,species,species_maxn_by_taxon,blue barred (scarus ghobban),4,algaemix | mackerel,2.0,1.0,3,0.25,0.25,4,Mann-Whitney U,11.5,0.11428571428571428,cliffs_delta,0.9166666666666666,0.08571428571428572,1.0,0.9428571428571428,ns,ns,ns,False,False,False
mix_vs_mackerel,Vergleich 2: algaemix vs mackerel,species,species_maxn_by_taxon,brown tang (zebrasoma scopas),4,algaemix | mackerel,1.0,1.0,3,0.25,0.25,4,Mann-Whitney U,10.5,0.22857142857142856,cliffs_delta,0.75,0.14285714285714285,1.0,0.9428571428571428,ns,ns,ns,False,False,False
mix_vs_mackerel,Vergleich 2: algaemix vs mackerel,species,species_maxn_by_taxon,humpnose bigeye (monotaxis grandoculis),3,algaemix | mackerel,0.0,0.0,3,1.25,0.75,4,Mann-Whitney U,1.5,0.22857142857142856,cliffs_delta,-0.75,0.14285714285714285,1.0,0.9428571428571428,ns,ns,ns,False,False,False
mix_vs_mackerel,Vergleich 2: algaemix vs mackerel,species,species_maxn_by_taxon,snubnose (lethrinus borbonicus),3,algaemix | mackerel,0.0,0.0,3,0.75,0.75,4,Mann-Whitney U,1.5,0.22857142857142856,cliffs_delta,-0.75,0.14285714285714285,1.0,0.9428571428571428,ns,ns,ns,False,False,False
mix_vs_mackerel,Vergleich 2: algaemix vs mackerel,species,species_maxn_by_taxon,speckled (parapercis hexophthalma),6,algaemix | mackerel,0.6666666666666666,0.6666666666666666,3,2.25,1.0,4,Mann-Whitney U,2.0,0.22857142857142856,cliffs_delta,-0.6666666666666666,0.2857142857142857,1.0,0.9428571428571428,ns,ns,ns,False,False,False
