comparison_key,comparison,level,metric_source,taxon,n_present_videos_total,groups,mean_algae_strings,occ_algae_strings,n_algae_strings,mean_algaemix,occ_algaemix,n_algaemix,mean_mackerel,occ_mackerel,n_mackerel,test,statistic,p_value,effect_name,effect_size,perm_p_value_mean_diff,p_value_holm,p_value_bh,sig_raw,sig_holm,sig_bh,significant_raw,significant_holm,significant_bh
three_baits,Vergleich 3: algae_strings vs algaemix vs mackerel,species,species_maxn_by_taxon,yellowstripe (mulloidichthys flavolineatus),4,algae_strings | algaemix | mackerel,1.6666666666666667,0.3333333333333333,3,4.333333333333333,1.0,3,0.0,0.0,4,Kruskal-Wallis,5.561538461538463,0.061990803798489036,epsilon_squared,0.508791208791209,,1.0,0.3143819335494801,ns,ns,ns,False,False,False
three_baits,Vergleich 3: algae_strings vs algaemix vs mackerel,species,species_maxn_by_taxon,speckled (parapercis hexophthalma),7,algae_strings | algaemix | mackerel,0.3333333333333333,0.3333333333333333,3,0.6666666666666666,0.6666666666666666,3,2.25,1.0,4,Kruskal-Wallis,4.648936170212762,0.09783547035714715,epsilon_squared,0.3784194528875374,,1.0,0.43538550213974253,ns,ns,ns,False,False,False
three_baits,Vergleich 3: algae_strings vs algaemix vs mackerel,species,species_maxn_by_taxon,moon (thalassoma lunare),9,algae_strings | algaemix | mackerel,0.6666666666666666,0.6666666666666666,3,1.3333333333333333,1.0,3,4.5,1.0,4,Kruskal-Wallis,4.643229166666661,0.09811504273571663,epsilon_squared,0.3776041666666658,,1.0,0.43538550213974253,ns,ns,ns,False,False,False
three_baits,Vergleich 3: algae_strings vs algaemix vs mackerel,species,species_maxn_by_taxon,red-breasted (cheilinus fasciatus),6,algae_strings | algaemix | mackerel,1.3333333333333333,1.0,3,0.6666666666666666,0.6666666666666666,3,0.25,0.25,4,Kruskal-Wallis,4.374999999999999,0.1121968905203438,epsilon_squared,0.33928571428571414,,1.0,0.4685870133496712,ns,ns,ns,False,False,False
three_baits,Vergleich 3: algae_strings vs algaemix vs mackerel,species,species_maxn_by_taxon,brown tang (zebrasoma scopas),5,algae_strings | algaemix | mackerel,0.3333333333333333,0.3333333333333333,3,1.0,1.0,3,0.25,0.25,4,Kruskal-Wallis,3.899999999999998,0.1422740715865137,epsilon_squared,0.2714285714285712,,1.0,0.5086403306158459,ns,ns,ns,False,False,False
three_baits,Vergleich 3: algae_strings vs algaemix vs mackerel,species,species_maxn_by_taxon,longbarbel (parupeneus macronemus),10,algae_strings | algaemix | mackerel,5.666666666666667,1.0,3,2.6666666666666665,1.0,3,3.0,1.0,4,Kruskal-Wallis,3.85481366459627,0.14552508055192295,epsilon_squared,0.26497338065661,,1.0,0.5086403306158459,ns,ns,ns,False,False,False
three_baits,Vergleich 3: algae_strings vs algaemix vs mackerel,species,species_maxn_by_taxon,humpback (lutjanus gibbus),10,algae_strings | algaemix | mackerel,18.0,1.0,3,36.0,1.0,3,14.75,1.0,4,Kruskal-Wallis,3.7225609756097593,0.15547342103303904,epsilon_squared,0.24608013937282275,,1.0,0.5086403306158459,ns,ns,ns,False,False,False
three_baits,Vergleich 3: algae_strings vs algaemix vs mackerel,species,species_maxn_by_taxon,black saddled toby (canthigaster valentini),4,algae_strings | algaemix | mackerel,0.0,0.0,3,0.3333333333333333,0.3333333333333333,3,0.75,0.75,4,Kruskal-Wallis,3.6874999999999973,0.15822297604949864,epsilon_squared,0.2410714285714282,,1.0,0.5086403306158459,ns,ns,ns,False,False,False
three_baits,Vergleich 3: algae_strings vs algaemix vs mackerel,species,species_maxn_by_taxon,trumpetfish (aulostomus chinensis),3,algae_strings | algaemix | mackerel,0.3333333333333333,0.3333333333333333,3,1.0,0.6666666666666666,3,0.0,0.0,4,Kruskal-Wallis,3.4999999999999973,0.17377394345044536,epsilon_squared,0.2142857142857139,,1.0,0.5086403306158459,ns,ns,ns,False,False,False
three_baits,Vergleich 3: algae_strings vs algaemix vs mackerel,species,species_maxn_by_taxon,saddleback (chaetodon falcula),2,algae_strings | algaemix | mackerel,0.0,0.0,3,0.0,0.0,3,0.5,0.5,4,Kruskal-Wallis,3.3749999999999933,0.18498139990730492,epsilon_squared,0.19642857142857048,,1.0,0.5086403306158459,ns,ns,ns,False,False,False
