comparison_key,comparison,level,metric_source,taxon,n_present_videos_total,groups,mean_algae_strings,occ_algae_strings,n_algae_strings,mean_algaemix,occ_algaemix,n_algaemix,test,statistic,p_value,effect_name,effect_size,perm_p_value_mean_diff,p_value_holm,p_value_bh,sig_raw,sig_holm,sig_bh,significant_raw,significant_holm,significant_bh
strings_vs_mix,Vergleich 1: algae_strings vs algaemix,family,feeding_family_by_taxon,acanthuridae,6,algae_strings | algaemix,7.333333333333333,1.0,3,30.333333333333332,1.0,3,Mann-Whitney U,0.0,0.1,cliffs_delta,-1.0,0.1,0.8,0.7,ns,ns,ns,False,False,False
strings_vs_mix,Vergleich 1: algae_strings vs algaemix,family,feeding_family_by_taxon,mullidae,2,algae_strings | algaemix,0.6666666666666666,0.6666666666666666,3,0.0,0.0,3,Mann-Whitney U,7.5,0.4,cliffs_delta,0.6666666666666666,0.4,1.0,0.7,ns,ns,ns,False,False,False
strings_vs_mix,Vergleich 1: algae_strings vs algaemix,family,feeding_family_by_taxon,siganidae,6,algae_strings | algaemix,3.3333333333333335,1.0,3,1.3333333333333333,1.0,3,Mann-Whitney U,7.0,0.4,cliffs_delta,0.5555555555555556,0.4,1.0,0.7,ns,ns,ns,False,False,False
strings_vs_mix,Vergleich 1: algae_strings vs algaemix,family,feeding_family_by_taxon,chaetodontidae,1,algae_strings | algaemix,0.0,0.0,3,0.3333333333333333,0.3333333333333333,3,Mann-Whitney U,3.0,0.7,cliffs_delta,-0.3333333333333333,1.0,1.0,0.7,ns,ns,ns,False,False,False
strings_vs_mix,Vergleich 1: algae_strings vs algaemix,family,feeding_family_by_taxon,lutjanidae,1,algae_strings | algaemix,0.0,0.0,3,0.6666666666666666,0.3333333333333333,3,Mann-Whitney U,3.0,0.7,cliffs_delta,-0.3333333333333333,1.0,1.0,0.7,ns,ns,ns,False,False,False
strings_vs_mix,Vergleich 1: algae_strings vs algaemix,family,feeding_family_by_taxon,labridae,1,algae_strings | algaemix,0.3333333333333333,0.3333333333333333,3,0.0,0.0,3,Mann-Whitney U,6.0,0.7,cliffs_delta,0.3333333333333333,1.0,1.0,0.7,ns,ns,ns,False,False,False
strings_vs_mix,Vergleich 1: algae_strings vs algaemix,family,feeding_family_by_taxon,muraenidae,1,algae_strings | algaemix,0.0,0.0,3,0.3333333333333333,0.3333333333333333,3,Mann-Whitney U,3.0,0.7,cliffs_delta,-0.3333333333333333,1.0,1.0,0.7,ns,ns,ns,False,False,False
strings_vs_mix,Vergleich 1: algae_strings vs algaemix,family,feeding_family_by_taxon,scaridae,4,algae_strings | algaemix,2.0,0.6666666666666666,3,0.6666666666666666,0.6666666666666666,3,Mann-Whitney U,6.5,0.7,cliffs_delta,0.4444444444444444,0.5,1.0,0.7,ns,ns,ns,False,False,False
