filename,area,last_annotation_sec,last_annotation_time,gap_to_47min_sec,first_excluded_sec,first_excluded_time,last_annotation_species,last_annotation_label
20241124-milimani-mackerel.csv,Annotation_reports_coral_reef,1585.213,26:25.213,1234.787,2918.176,48:38.176,,Stomatapoda
20241124-utumbi-mackerel.csv,Annotation_reports_coral_reef,681.526,11:21.526,2138.474,2926.453,48:46.453,Humpnose Bigeye (Monotaxis grandoculis),Humpnose Bigeye (Monotaxis grandoculis)
20241127-milimani-sargassum.csv,Annotation_reports_coral_reef,1097.182,18:17.182,1722.818,2939.055,48:59.055,,Genus Siganus
20241127-utumbi-sargassum.csv,Annotation_reports_coral_reef,103.676,01:43.676,2716.324,2878.760,47:58.760,,Tunas/Mackerels (Scombridae)
20241128-milimani-sargassum.csv,Annotation_reports_coral_reef,509.630,08:29.630,2310.370,3228.901,53:48.901,Spotted (Cetoscarus ocellatus),Spotted (Cetoscarus ocellatus)
20241128-utumbi-sargassum.csv,Annotation_reports_coral_reef,2130.476,35:30.476,689.524,2857.841,47:37.841,,Emperors (Lethrinidae)
20241129-milimani-sargassum.csv,Annotation_reports_coral_reef,2549.585,42:29.585,270.415,2852.269,47:32.269,,Wrasses (Labridae)
20241129-utumbi-sargassum.csv,Annotation_reports_coral_reef,849.298,14:09.298,1970.702,2890.947,48:10.947,Yellowbreast (Anampses twistii),Yellowbreast (Anampses twistii)
20241209-utumbi-fischmix.csv,Annotation_reports_coral_reef,2388.310,39:48.310,431.690,2826.810,47:06.810,Cigar (Cheilio inermis),Cigar (Cheilio inermis)
20241210-milimani-fischmix.csv,Annotation_reports_coral_reef,1651.347,27:31.347,1168.653,2965.177,49:25.177,Longnose (Oxymonacanthus longirostris),Longnose (Oxymonacanthus longirostris)
20241210-utumbi-fischmix.csv,Annotation_reports_coral_reef,2177.383,36:17.383,642.617,3019.745,50:19.745,,Emperors (Lethrinidae)
