koeder,taxon_key
mackerel,family_label::wrasses interested
fischmix,species::black-lipped (chaetodon kleinii)
mackerel,species::blacktip (epinephelus fasciatus)
mackerel,species::false-eye (abudefduf sparoides)
fischmix,species::freckled (paracirrhites forsteri)
mackerel,species::leopard (cephalopholis leopardus)
fischmix,species::undulated (gymnothorax undulatus)
