endpoint,n_videos,n_fish,n_algae,model,beta_bait_fish_vs_algae,direction,f_bait,df_num_bait,f_interaction,df_num_interaction,df_den,p_perm_bait,p_perm_interaction,r2,p_bh_bait,p_bh_interaction,sig_bait_bh_0_05,sig_interaction_bh_0_05
herbivore_acanthuridae_maxn,38,13,25,log1p(y) ~ bait_type + site + bait_type:site,1.0800712417902838,fish,9.881225617034946,3,14.669716430965709,2,32,0.00019998000199980003,0.00019998000199980003,0.6489163495202288,0.0008999100089991002,0.0008999100089991002,True,True
total_feeding_events,38,13,25,log1p(y) ~ bait_type + site + bait_type:site,0.9021032671127707,fish,10.949793445752034,3,12.743500733199854,2,32,9.999000099990002e-05,9.999000099990002e-05,0.6901562486978559,0.0008999100089991002,0.0008999100089991002,True,True
herbivore_core_total_maxn,38,13,25,log1p(y) ~ bait_type + site + bait_type:site,0.7726284265135812,fish,4.775630968079612,3,7.088945057560678,2,32,0.0028997100289971,0.0008999100089991,0.34686345137587615,0.0086991300869913,0.0026997300269973,True,True
total_interested_events,38,13,25,log1p(y) ~ bait_type + site + bait_type:site,0.6868663936178148,fish,3.467136714386041,3,2.5359002268161337,2,32,0.023797620237976203,0.09569043095690431,0.29228419760417734,0.05354464553544646,0.2153034696530347,False,False
herbivore_siganidae_maxn,38,13,25,log1p(y) ~ bait_type + site + bait_type:site,0.05493061443340441,fish,1.5285979960010925,3,1.321307720319362,2,32,0.2502749725027497,0.30446955304469553,0.23351690347028875,0.40615938406159385,0.45670432956704327,False,False
herbivore_blenniidae_maxn,38,13,25,log1p(y) ~ bait_type + site + bait_type:site,-0.08698217340445194,algae,1.3010613322348084,3,1.0755649210625626,2,32,0.27077292270772924,0.3578642135786421,0.23865390791130725,0.40615938406159385,0.46011113174396845,False,False
maxn_video_peak,38,13,25,log1p(y) ~ bait_type + site + bait_type:site,0.2407561974916495,fish,0.8073862316831832,3,1.2088463003697076,2,32,0.47195280471952805,0.29887011298870114,0.40806597318826876,0.6067964632108218,0.45670432956704327,False,False
herbivore_scaridae_maxn,38,13,25,log1p(y) ~ bait_type + site + bait_type:site,0.07118380927938978,fish,0.590147885844131,3,0.7032166129999375,2,32,0.6426357364263574,0.5043495650434956,0.15162274260010244,0.6732326767323268,0.5043495650434956,False,False
species_richness,38,13,25,log1p(y) ~ bait_type + site + bait_type:site,0.06240657751637661,fish,0.454954907163428,3,0.6800343269576771,2,32,0.6732326767323268,0.49925007499250074,0.6238122129103536,0.6732326767323268,0.5043495650434956,False,False
